"编号{id,int}(idx)","排名分界点{rankCutOff,int}(num,rankCutOff)","奖励{prizeFuncs,json_funcs}(json,prizeFuncs)",
70400001,0,"[{type:4,param:80400004,value:360},{type:4,param:80400001,value:27000}]",
70400002,1,"[{type:4,param:80400004,value:350},{type:4,param:80400001,value:26100}]",
70400003,2,"[{type:4,param:80400004,value:335},{type:4,param:80400001,value:25200}]",
70400004,3,"[{type:4,param:80400004,value:325},{type:4,param:80400001,value:24300}]",
70400005,4,"[{type:4,param:80400004,value:310},{type:4,param:80400001,value:23400}]",
70400006,5,"[{type:4,param:80400004,value:300},{type:4,param:80400001,value:22500}]",
70400007,6,"[{type:4,param:80400004,value:295},{type:4,param:80400001,value:22050}]",
70400008,7,"[{type:4,param:80400004,value:290},{type:4,param:80400001,value:21600}]",
70400009,8,"[{type:4,param:80400004,value:280},{type:4,param:80400001,value:21150}]",
70400010,9,"[{type:4,param:80400004,value:275},{type:4,param:80400001,value:20700}]",
70400011,10,"[{type:4,param:80400004,value:270},{type:4,param:80400001,value:20250}]",
70400012,19,"[{type:4,param:80400004,value:265},{type:4,param:80400001,value:19800}]",
70400013,29,"[{type:4,param:80400004,value:260},{type:4,param:80400001,value:19350}]",
70400014,39,"[{type:4,param:80400004,value:240},{type:4,param:80400001,value:18000}]",
70400015,49,"[{type:4,param:80400004,value:220},{type:4,param:80400001,value:16650}]",
70400016,69,"[{type:4,param:80400004,value:205},{type:4,param:80400001,value:15300}]",
70400017,99,"[{type:4,param:80400004,value:185},{type:4,param:80400001,value:13950}]",
70400018,199,"[{type:4,param:80400004,value:170},{type:4,param:80400001,value:12600}]",
70400019,299,"[{type:4,param:80400004,value:155},{type:4,param:80400001,value:11700}]",
70400020,399,"[{type:4,param:80400004,value:145},{type:4,param:80400001,value:10800}]",
70400021,499,"[{type:4,param:80400004,value:130},{type:4,param:80400001,value:9900}]",
70400022,699,"[{type:4,param:80400004,value:120},{type:4,param:80400001,value:9000}]",
70400023,999,"[{type:4,param:80400004,value:115},{type:4,param:80400001,value:8550}]",
70400024,1999,"[{type:4,param:80400004,value:110},{type:4,param:80400001,value:8100}]",
70400025,2999,"[{type:4,param:80400004,value:100},{type:4,param:80400001,value:7650}]",
70400026,3999,"[{type:4,param:80400004,value:95},{type:4,param:80400001,value:7200}]",
70400027,4999,"[{type:4,param:80400004,value:90},{type:4,param:80400001,value:6750}]",
70400028,6999,"[{type:4,param:80400004,value:85},{type:4,param:80400001,value:6300}]",
70400029,9999,"[{type:4,param:80400004,value:80},{type:4,param:80400001,value:5850}]",
70400030,19999,"[{type:4,param:80400004,value:70},{type:4,param:80400001,value:5400}]",
