"编号{id,int}(idx)","怪物队伍id{teamIds,ints}(fun,mtId)","排名分界点{rankCutOff,int}(num,rankCutOff)","战力{combatCap,int}(num,zl)","等级{viewLv,int}(num,lv)",
63200001,"{25000001,25000002,25000003}",0,100000,55,
63200002,"{25000001,25000002,25000003}",1,98000,54,
63200003,"{25000001,25000002,25000003}",2,96000,53,
63200004,"{25000001,25000002,25000003}",3,94000,52,
63200005,"{25000001,25000002,25000003}",4,92000,51,
63200006,"{25000001,25000002,25000003}",5,90000,50,
63200007,"{25000001,25000002,25000003}",6,88000,49,
63200008,"{25000001,25000002,25000003}",7,86000,48,
63200009,"{25000001,25000002,25000003}",8,84000,47,
63200010,"{25000001,25000002,25000003}",9,82000,46,
63200011,"{25000001,25000002,25000003}",10,80000,45,
63200012,"{25000001,25000002,25000003}",19,78000,44,
63200013,"{25000001,25000002,25000003}",29,76000,42,
63200014,"{25000001,25000002,25000003}",39,74000,40,
63200015,"{25000001,25000002,25000003}",49,72000,38,
63200016,"{25000001,25000002,25000003}",69,70000,36,
63200017,"{25000001,25000002,25000003}",99,68000,34,
63200018,"{25000001,25000002,25000003}",199,66000,32,
63200019,"{25000001,25000002,25000003}",299,64000,30,
63200020,"{25000001,25000002,25000003}",399,62000,28,
63200021,"{25000001,25000002,25000003}",499,60000,26,
63200022,"{25000001,25000002,25000003}",699,58000,24,
63200023,"{25000001,25000002,25000003}",999,56000,22,
63200024,"{25000001,25000002,25000003}",1999,54000,20,
63200025,"{25000001,25000002,25000003}",2999,52000,18,
63200026,"{25000001,25000002,25000003}",3999,50000,16,
63200027,"{25000001,25000002,25000003}",4999,48000,14,
63200028,"{25000001,25000002,25000003}",6999,46000,12,
63200029,"{25000001,25000002,25000003}",9999,44000,10,
63200030,"{25000001,25000002,25000003}",19999,42000,8,
