"ID{id,int}(idx)","背景(str,bg)","背景音乐(str,bgm)","主角(num,zjId)","战斗类型(num,mode)","传单敌人(fun,eg1)","传单敌人参数(funcs,eg1_p)","路人敌人(fun,eg2)","路人敌人参数(funcs,eg2_p)","装饰敌人(fun,eg3)","装饰敌人参数(funcs,eg3_p)","静物装饰(funcs,bgzs)","静物装饰参数(funcs,bgzs_p)","boss半身像ID(str,bbsx)","boss说话(fun,btext)","boss描述(fun,bdes)",
40200001,10011301,,40300001,1,"{40300011,40300012,40300010}","{{5,0,6800},{6,3000,6800},{5,6000,6800}}","{40300011,40301001,40301002}","{{1,3500,8800},{3,2000,7900},{2,200,7900}}",,,,,,,,
40200002,10011302,,40300001,1,"{40300011,40300012,40300010}","{{5,0,6800},{6,3000,6800},{5,6000,6800}}","{40300011,40301001,40301002}","{{1,3500,8800},{3,2000,7900},{2,200,7900}}",,,,,,,,
40200003,10011303,,40300001,1,"{40300011,40300010,40300011}","{{6,0,6800},{5,3000,6800},{5,6000,6800}}","{40303001,40300010,40303002,40303005,40303004,40303003}","{{1,3000,6700},{7,1500,8800},{3,4000,8200},{1,0,7500},{3,4500,8200},{2,0,7500}}",,,,,,,,
40200004,10011304,,40300001,1,"{40300011,40300010,40300011}","{{6,0,6800},{5,3000,6800},{5,6000,6800}}","{40303001,40300010,40303002,40303005,40303004,40303003}","{{1,3000,6700},{7,1500,8800},{3,4000,8200},{1,0,7500},{3,4500,8200},{2,0,7500}}",,,,,,,,
40200005,10011305,,40300001,1,"{40300011,40300010,40300011}","{{5,0,6800},{6,3000,6800},{5,6000,6800}}","{40300010,40300011,40301001,40301002}","{{7,500,7400},{1,3500,8800},{3,2000,7900},{2,200,7900}}",,,,,,,,
40200006,10011306,,40300001,1,"{40300011,40300012,40300010}","{{5,0,6800},{6,3000,6800},{5,6000,6800}}","{40300011,40301001,40301002}","{{1,3500,8800},{3,2000,7900},{2,200,7900}}",,,"{""ludeng""}","{{766,586}}",,,,
40200007,10011307,,40300001,1,"{40300011,40300010,40300011}","{{5,0,6800},{6,3000,6800},{5,6000,6800}}","{40300010,40300011,40301001,40301002}","{{7,500,7400},{1,3500,8800},{3,2000,7900},{2,200,7900}}",,,,,,,,
40200008,10011308,,40300001,1,"{40300011,40300010,40300011}","{{5,0,6800},{6,3000,6800},{5,6000,6800}}","{40300010,40300011,40301001,40301002}","{{7,500,7400},{1,3500,8800},{3,2000,7900},{2,200,7900}}",,,,,,,,
40200009,10011309,,40300001,1,"{40300012,40300011,40300012}","{{5,0,6800},{6,3000,6800},{5,6000,6800}}","{40309003,40309002,40309004,40309005}","{{1,3500,8800},{7,1200,7600},{2,2000,7900},{3,4000,7600}}",,,,,,,,
40200010,,,,2,,,,,,,,,10032201,"{""今天天起真不错啊"",""叫你尝尝杂家的厉害"",""成都看海有来无回""}","{""枉死城"",""未知"",""漂亮MM"",""枉死城经常带高端客户到酒吧喝酒，公司团建场所对酒吧有一定需求，喜欢被人奉承。曝光频率最高的是更换女友的速度，身边不乏美女""}",
