"ID{id,int}(idx)","红颜名字(str,name)","美女介绍(str,desc)","弹窗小介绍(str,d1)","红颜头像(num,tx)","方头像背景框(str,wxtxk)","圆头像(num,ctx)","半身像(num,bsx)","换装形象(num,xx)","全身像(num,qsx)","约会背景(num,yhg)","微信聊天背景(str,vbg)","昵称(str,nc)","年龄(num,ag)","职业(str,p)","兴趣(str,xq)","分类(num,type)","三维(str,sw)","寻访出现地点(num,pid)","羁绊员工{workerCid,int}(num,workerCid)","初始亲密{initIntimacy,int}(num,initIntimacy)","初始魅力{initCharm,int}(num,initCharm)","激活技能需要的亲密度{activateSkillReqIntm,ints}(fun,activateSkillReqIntm)","对应的激活的技能{activateSkillIds,ints}(fun,activateSkillIds)","初始技能{skills,ints}(fun,skills)","需求美女好感度{reqFeelling,int}(num,sn)","招募几率{recruitRate,int}(num,rr)
","需求势力{reqFightForce,long}","解锁描述(str,sd)","寻访描述(str,xfms)","音效(num,mc)","微信对话触发配置{dialogTrgs,json_triggerCfgs}","随机聊天{randomDialogs,ints}","表白成功剧情(num,bbcg)","表白失败剧情(num,bbsb)","未获取联系方式剧情(num,hqsb)","微信撩妹(funcs,weChat)","约会剧情配置(funcs,beautyStartDate)","美女约会(funcs,beautyDate)","文字描述1","文字描述2","文字描述3","文字描述4","文字描述5","文字描述6","文字描述7",
20200001,林思琦,虽然有着黑暗的过去，却一直渴望光明的人。,初始魅力：40,10031107,wx_07,10034107,10032107,10032607,10033107,10011012,wx_bg1,林思琦,25,秘书,旅行,4,89：61：94,50600004,20100001,1,40,"{10,20,50,100,150,200}","{21020011,21020012,21020013,21020014,21020015,21020016}",,-1,0,0,达到精英小老板,额~那个，你会真心待我的，对吗？,89340101,[],"{57025016,57053101,57053201}",53201007,53201008,53204009,"{{57013001,57013101,57013201,57020101,57020102,57020103},{57013001,57013101,57013201,57020104,57020105,57020106,57020107},{57013001,57013101,57013201,57020108,57020109,57020110,57020111,57020112}}","{{0,1,0,1,0},{""哈咯，林思琦，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57030101,57030102,57030103,57030104,57030105}",120200001,220200001,320200001,420200001,520200001,620200001,720200001,
20200002,李一玲,留学生，拥有让人感觉温暖的甜美笑容。因为喜欢婚纱兼职做了婚纱模特，期待有一天能穿上自己设计的婚纱嫁给心上人。,初始魅力：40,10031116,wx_21,10034116,10032116,10032616,10033116,10011013,wx_bg2,李一玲,22,婚纱模特,化妆,4,93：63：98,50600001,20100002,1,40,"{10,20,50,100,150,200}","{21020021,21020022,21020023,21020024,21020025,21020026}",,150,4000,0,去散心,你掀起我的头纱，便能看到我因为幸福而露出的微笑。,89340102,[],"{57025016,57053101,57053201}",53202007,53202008,53204009,"{{57013001,57013101,57013201,57020201,57020202,57020203},{57013001,57013101,57013201,57020204,57020205,57020206,57020207},{57013001,57013101,57013201,57020208,57020209,57020210,57020211,57020212}}","{{0,1,0,1,0},{""哈咯，李一玲，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57030201,57030202,57030203,57030204,57030205}",120200002,220200002,320200002,420200002,520200002,620200002,720200002,
20200003,金敏恩,政客家庭出生的他，十分厌恶官场的虚伪。于是她逃出家族的掌控，做了一个健身教练，自由自在的生活。,初始魅力：35,10031104,wx_80,10034104,10032104,10032604,10033104,10011014,wx_bg3,金敏恩,22,运动教练,格斗,2,89：61：94,50600003,20100003,1,35,"{10,20,50,100,150,200}","{21020031,21020032,21020033,21020034,21020035,21020036}",,150,4000,0,去散心,你要和我一样，每天都元气满满哦！,89340103,[],"{57051101,57051201,57051301}",53203007,53203008,53204009,"{{57011001,57011101,57020301,57020302,57020303},{57011001,57011101,57020304,57020305,57020306,57020307},{57011001,57011101,57020308,57020309,57020310,57020311,57020312}}","{{0,1,0,1,0},{""哈咯，金敏恩，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57030301,57030302,57030303,57030304,57030305}",120200003,220200003,320200003,420200003,520200003,620200003,720200003,
20200004,徐晨橙,与奶奶一起长大的她，渴望拥有一个温暖的家，不懈的追逐着这个目标。,初始魅力：30,10031102,wx_21,10034102,10032102,10032602,10033102,10011015,wx_bg2,徐晨橙,23,街头少女,街舞,2,90：61：95,50600007,20100004,1,30,"{10,20,50,100,150,200}","{21020041,21020042,21020043,21020044,21020045,21020046}",,150,4000,0,去散心,你信不信我跳起来，，扑入你怀里。,89340104,[],"{57051101,57051201,57051301}",53204007,53204008,53204009,"{{57011001,57011101,57015000},{57011001,57011101,57015001},{57011001,57011101,57015002}}","{{1,0,1,0,1,0,1},{""我好像有点感冒了。"",""笨蛋，都不知道好好注意身体。"",""你这么聪明，那猜猜看我为什么感冒？"",""因为着凉了？"",""不，因为我对你完全没有抵抗力。"",""我刚才还真的担心你呢！"",""说实话，最近还挺想你的。""}}","{57030401,57030402,57030403,57030404,57030405}",120200004,220200004,320200004,420200004,520200004,620200004,720200004,
20200005,宋琪琪,勤工俭学的留学生，拥有极高的艺术天分，为人十分认真。,初始魅力：45,10031119,wx_07,10034119,10032119,10032619,10033119,10011016,wx_bg4,宋琪琪,25,油漆工,运动,2,90：62：95,50600010,20100005,1,45,"{10,20,50,100,150,200}","{21020051,21020052,21020053,21020054,21020055,21020056}",,150,4000,0,去散心,我能画出一整片薰衣草，却画不出另一个你。,89340105,[],"{57051101,57051201,57051301}",53205007,53205008,53204009,"{{57011001,57011101,57020501,57020502,57020503},{57011001,57011101,57020504,57020505,57020506,57020507},{57011001,57011101,57020508,57020509,57020510,57020511,57020512}}","{{0,1,0,1,0},{""哈咯，宋琪琪，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57030501,57030502,57030503,57030504,57030505}",120200005,220200005,320200005,420200005,520200005,620200005,720200005,
20200006,长泽菲雅,因不满家里安排的相亲对象，和父母决裂。即使再辛苦也不想被别人控制命运。,初始魅力：40,10031128,wx_21,10034128,10032128,10032628,10033128,10011017,wx_bg1,长泽菲雅,25,大学生,球类运动,4,86：59：91,50600011,20100006,1,40,"{10,20,50,100,150,200}","{21020061,21020062,21020063,21020064,21020065,21020066}",,150,4000,0,去散心,我最喜欢和你一起，夏天在海边喝冷饮。,89340106,[],"{57025016,57053101,57053201}",53206007,53206008,53204009,"{{57013001,57013101,57013201,57020601,57020602,57020603},{57013001,57013101,57013201,57020604,57020605,57020606,57020607},{57013001,57013101,57013201,57020608,57020609,57020610,57020611,57020612}}","{{0,1,0,1,0},{""哈咯，长泽菲雅，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57030601,57030602,57030603,57030604,57030605}",120200006,220200006,320200006,420200006,520200006,620200006,720200006,
20200007,韩娅,十分随性，喜欢旅游。讨厌现在旅游行业宰人的现状，发誓要做出最完美的旅行路线攻略。,初始魅力：35,10031124,wx_80,10034124,10032124,10032624,10033124,10011018,wx_bg2,韩娅,22,背包客,旅行,1,89：61：94,50600014,20100007,1,35,"{10,20,50,100,150,200}","{21020071,21020072,21020073,21020074,21020075,21020076}",,150,4000,0,去散心,很意外的是，我攻略了最完美的旅行路线，而你攻略了我。,89340107,[],"{57025001,57025002,57025003,57025004,57025005,57050101,57050201,57050301,57050401,57050501}",53207007,53207008,53204009,"{{57020001,57020101,57020201,57020301,57020401,57020701,57020702,57020703},{57020001,57020101,57020201,57020301,57020401,57020704,57020705,57020706,57020707},{57020001,57020101,57020201,57020301,57020401,57020708,57020709,57020710,57020711,57020712}}","{{0,1,0,1,0},{""哈咯，韩娅，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57030701,57030702,57030703,57030704,57030705}",120200007,220200007,320200007,420200007,520200007,620200007,720200007,
20200008,高桥椿,热爱中国的古迹，特别是长城。一直在为被人遗忘的遗迹保护做贡献。,初始魅力：40,10031111,wx_07,10034111,10032111,10032611,10033111,10011012,wx_bg3,高桥椿,26,记者,摄影,1,87：59：91,50600014,20100008,1,40,"{10,20,50,100,150,200}","{21020081,21020082,21020083,21020084,21020085,21020086}",,150,4000,0,去散心,嘿，伙计！你已经深深的存在了我的脑海里。,89340108,[],"{57025001,57025002,57025003,57025004,57025005,57050101,57050201,57050301,57050401,57050501}",53208007,53208008,53204009,"{{57020001,57020101,57020201,57020301,57020401,57020801,57020802,57020803},{57020001,57020101,57020201,57020301,57020401,57020804,57020805,57020806,57020807},{57020001,57020101,57020201,57020301,57020401,57020808,57020809,57020810,57020811,57020812}}","{{0,1,0,1,0},{""哈咯，高桥椿，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57030801,57030802,57030803,57030804,57030805}",120200008,220200008,320200008,420200008,520200008,620200008,720200008,
20200009,洛小桐,知名小说家，出生商人世家，见多了商界的尔虞我诈，发誓自己绝不进入商界。,初始魅力：60,10031108,wx_21,10034108,10032108,10032608,10033108,10011013,wx_bg4,洛小桐,25,作家,阅读,4,92：63：97,50600001,20100009,1,60,"{10,20,50,100,150,200}","{21020091,21020092,21020093,21020094,21020095,21020096}",,150,4000,0,去散心,看见了你，我便没有了执笔的动力。,89340109,[],"{57025016,57053101,57053201}",53209007,53209008,53204009,"{{57013001,57013101,57013201,57020901,57020902,57020903},{57013001,57013101,57013201,57020904,57020905,57020906,57020907},{57013001,57013101,57013201,57020908,57020909,57020910,57020911,57020912}}","{{0,1,0,1,0},{""哈咯，洛小桐，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57030901,57030902,57030903,57030904,57030905}",120200009,220200009,320200009,420200009,520200009,620200009,720200009,
20200010,谢蜜儿,俄罗斯贵族少女，因不愿被家族控制而离家出走，希望通过自己的努力摆脱这个命运。,初始魅力：60,10031122,wx_80,10034122,10032122,10032622,10033122,10011014,wx_bg1,谢蜜儿,25,大学生,舞蹈,2,91：62：96,50600002,20100010,1,60,"{10,20,50,100,150,200}","{21020101,21020102,21020103,21020104,21020105,21020106}",,150,4000,0,去散心,我刚烹煮了一桌大餐，就等你来了。,89340110,[],"{57051101,57051201,57051301}",53210007,53210008,53204009,"{{57011001,57011101,57021001,57021002,57021003},{57011001,57011101,57021004,57021005,57021006,57021007},{57011001,57011101,57021008,57021009,57021010,57021011,57021012}}","{{0,1,0,1,0},{""哈咯，谢蜜儿，你在吗？"",""在呀在呀！"",""我们出去玩吧"",""去哪儿玩呀？"",""让我想想""}}","{57031001,57031002,57031003,57031004,57031005}",120200010,220200010,320200010,420200010,520200010,620200010,720200010,
