"ID{id,int}(idx)","剧情类型{type,int}","美女ID{beautyCid,int}","需求好感度{reqFeeling,int}","替代剧情{replacePlot,int}","剧情ID(num,plotId)","正确的选择{rightSelect,int}","奖励1{prize1,json_funcs}","奖励2{prize2,json_funcs}","自动奖励{autoPrize,json_funcs}",
50800101,2,20200001,0,50810101,53201001,1,"[{type:41,param:0,value:20200001}]",[],"[{type:41,param:0,value:20200001}]",
50800102,2,20200001,10,50810102,,-1,[],[],[],
50800103,2,20200001,30,50810103,,-1,[],[],[],
50800104,2,20200001,60,50810104,,-1,[],[],[],
50800105,2,20200001,100,50810105,,-1,[],[],[],
50800106,2,20200001,150,50810106,,-1,[],[],[],
50800201,2,20200002,0,50810201,53202001,1,"[{type:41,param:0,value:20200002}]",[],"[{type:41,param:0,value:20200002}]",
50800202,2,20200002,10,50810202,,-1,[],[],[],
50800203,2,20200002,30,50810203,,-1,[],[],[],
50800204,2,20200002,60,50810204,,-1,[],[],[],
50800205,2,20200002,100,50810205,,-1,[],[],[],
50800206,2,20200002,150,50810206,,-1,[],[],[],
50800301,2,20200003,0,50810301,53203001,1,"[{type:41,param:0,value:20200003}]",[],"[{type:41,param:0,value:20200003}]",
50800302,2,20200003,10,50810302,,-1,[],[],[],
50800303,2,20200003,30,50810303,,-1,[],[],[],
50800304,2,20200003,60,50810304,,-1,[],[],[],
50800305,2,20200003,100,50810305,,-1,[],[],[],
50800306,2,20200003,150,50810306,,-1,[],[],[],
50800401,2,20200004,0,50810401,53204001,1,"[{type:41,param:0,value:20200004}]",[],"[{type:41,param:0,value:20200004}]",
50800402,2,20200004,10,50810402,,-1,[],[],[],
50800403,2,20200004,30,50810403,,-1,[],[],[],
50800404,2,20200004,60,50810404,,-1,[],[],[],
50800405,2,20200004,100,50810405,,-1,[],[],[],
50800406,2,20200004,150,50810406,,-1,[],[],[],
50800501,2,20200005,0,50810501,53205001,1,"[{type:41,param:0,value:20200005}]",[],"[{type:41,param:0,value:20200005}]",
50800502,2,20200005,10,50810502,,-1,[],[],[],
50800503,2,20200005,30,50810503,,-1,[],[],[],
50800504,2,20200005,60,50810504,,-1,[],[],[],
50800505,2,20200005,100,50810505,,-1,[],[],[],
50800506,2,20200005,150,50810506,,-1,[],[],[],
50800601,2,20200006,0,50810601,53206001,1,"[{type:41,param:0,value:20200006}]",[],"[{type:41,param:0,value:20200006}]",
50800602,2,20200006,10,50810602,,-1,[],[],[],
50800603,2,20200006,30,50810603,,-1,[],[],[],
50800604,2,20200006,60,50810604,,-1,[],[],[],
50800605,2,20200006,100,50810605,,-1,[],[],[],
50800606,2,20200006,150,50810606,,-1,[],[],[],
50800701,2,20200007,0,50810701,53207001,1,"[{type:41,param:0,value:20200007}]",[],"[{type:41,param:0,value:20200007}]",
50800702,2,20200007,10,50810702,,-1,[],[],[],
50800703,2,20200007,30,50810703,,-1,[],[],[],
50800704,2,20200007,60,50810704,,-1,[],[],[],
50800705,2,20200007,100,50810705,,-1,[],[],[],
50800706,2,20200007,150,50810706,,-1,[],[],[],
50800801,2,20200008,0,50810801,53208001,1,"[{type:41,param:0,value:20200008}]",[],"[{type:41,param:0,value:20200008}]",
50800802,2,20200008,10,50810802,,-1,[],[],[],
50800803,2,20200008,30,50810803,,-1,[],[],[],
50800804,2,20200008,60,50810804,,-1,[],[],[],
50800805,2,20200008,100,50810805,,-1,[],[],[],
50800806,2,20200008,150,50810806,,-1,[],[],[],
50800901,2,20200009,0,50810901,53209001,1,"[{type:41,param:0,value:20200009}]",[],"[{type:41,param:0,value:20200009}]",
50800902,2,20200009,10,50810902,,-1,[],[],[],
50800903,2,20200009,30,50810903,,-1,[],[],[],
50800904,2,20200009,60,50810904,,-1,[],[],[],
50800905,2,20200009,100,50810905,,-1,[],[],[],
50800906,2,20200009,150,50810906,,-1,[],[],[],
50801001,2,20200010,0,50811001,53210001,1,"[{type:41,param:0,value:20200010}]",[],"[{type:41,param:0,value:20200010}]",
50801002,2,20200010,10,50811002,,-1,[],[],[],
50801003,2,20200010,30,50811003,,-1,[],[],[],
50801004,2,20200010,60,50811004,,-1,[],[],[],
50801005,2,20200010,100,50811005,,-1,[],[],[],
50801006,2,20200010,150,50811006,,-1,[],[],[],
50801101,2,20200011,0,50811101,53211001,1,"[{type:41,param:0,value:20200011}]",[],"[{type:41,param:0,value:20200011}]",
50801102,2,20200011,10,50811102,,-1,[],[],[],
50801103,2,20200011,30,50811103,,-1,[],[],[],
50801104,2,20200011,60,50811104,,-1,[],[],[],
50801105,2,20200011,100,50811105,,-1,[],[],[],
50801106,2,20200011,150,50811106,,-1,[],[],[],
50801201,2,20200012,0,50811201,53212001,1,"[{type:41,param:0,value:20200012}]",[],"[{type:41,param:0,value:20200012}]",
50801202,2,20200012,10,50811202,,-1,[],[],[],
50801203,2,20200012,30,50811203,,-1,[],[],[],
50801204,2,20200012,60,50811204,,-1,[],[],[],
50801205,2,20200012,100,50811205,,-1,[],[],[],
50801206,2,20200012,150,50811206,,-1,[],[],[],
50801301,2,20200013,0,50811301,53213001,1,"[{type:41,param:0,value:20200013}]",[],"[{type:41,param:0,value:20200013}]",
50801302,2,20200013,10,50811302,,-1,[],[],[],
50801303,2,20200013,30,50811303,,-1,[],[],[],
50801304,2,20200013,60,50811304,,-1,[],[],[],
50801305,2,20200013,100,50811305,,-1,[],[],[],
50801306,2,20200013,150,50811306,,-1,[],[],[],
50801401,2,20200014,0,50811401,53214001,1,"[{type:41,param:0,value:20200014}]",[],"[{type:41,param:0,value:20200014}]",
50801402,2,20200014,10,50811402,,-1,[],[],[],
50801403,2,20200014,30,50811403,,-1,[],[],[],
50801404,2,20200014,60,50811404,,-1,[],[],[],
50801405,2,20200014,100,50811405,,-1,[],[],[],
50801406,2,20200014,150,50811406,,-1,[],[],[],
