"ID{id,int}(idx)","书籍名称(str,name)","书籍简介(str,dec)","图标(str,p1)","属性类型{type,int}(num,type)","初始星级{value,int}(num,value)","经验升级需求{expUpLevelReq,int}(num,expUpLevelReq)","随机升级物品需求{radioUpLevelReqGoodsId,int}(num,radioUpLevelReqGoodsId)","随机几率{radio,int}(num,radio)","物品升级需求{goodsUpLevelReqGoodsId,int}(num,goodsUpLevelReqGoodsId)",
20510101,《战略辩论术》,,10041997,1,1,200,30010002,10000,30011001,
20510201,《语言的修养》,,10041997,1,2,400,30010002,5000,30011002,
20510301,《全面交际》,,10041997,1,3,600,30010002,3333,30011003,
20510302,《小幽默大气场》,,10041997,1,3,600,30010002,3333,30011003,
20510401,《问题就是答案》,,10041997,1,4,800,30010002,2500,30011004,
20510402,《如何高效沟通》,,10041997,1,4,800,30010002,2500,30011004,
20510403,《口才从何而来》,,10041997,1,4,800,30010002,2500,30011004,
20510404,《左右逢源》,,10041997,1,4,800,30010002,2500,30011004,
20510405,《如此吐槽》,,10041997,1,4,800,30010002,2500,30011004,
20510501,《关键对话》,,10041997,1,5,1000,30010002,2000,30011005,
20510502,《谈资》,,10041997,1,5,1000,30010002,2000,30011005,
20510503,《超级脱口秀》,,10041997,1,5,1000,30010002,2000,30011005,
20510504,《效率沟通》,,10041997,1,5,1000,30010002,2000,30011005,
20510505,《倾听他人》,,10041997,1,5,1000,30010002,2000,30011005,
20510506,《探讨人性》,,10041997,1,5,1000,30010002,2000,30011005,
20510507,《社交礼仪》,,10041997,1,5,1000,30010002,2000,30011005,
20510508,《抉择之道》,,10041997,1,5,1000,30010002,2000,30011005,
20510509,《商务法则》,,10041997,1,5,1000,30010002,2000,30011005,
20510510,《与陌生人做朋友》,,10041997,1,5,1000,30010002,2000,30011005,
20510511,《使命必达》,,10041997,1,5,1000,30010002,2000,30011005,
20510512,《好好说话》,,10041997,1,5,1000,30010002,2000,30011005,
20510513,《幽默表达》,,10041997,1,5,1000,30010002,2000,30011005,
20510514,《抉择之道》,,10041997,1,5,1000,30010002,2000,30011005,
20510515,《谁都聊得来》,,10041997,1,5,1000,30010002,2000,30011005,
20510516,《演讲与口才》,,10041997,1,5,1000,30010002,2000,30011005,
20510517,《打造完美口才》,,10041997,1,5,1000,30010002,2000,30011005,
20510518,《说服任何人》,,10041997,1,5,1000,30010002,2000,30011005,
20510519,《风险论》,,10041997,1,5,1000,30010002,2000,30011005,
20510520,《即兴演讲》,,10041997,1,5,1000,30010002,2000,30011005,
20510521,《你只是不会表达》,,10041997,1,5,1000,30010002,2000,30011005,
20510522,《幽默沟通学》,,10041997,1,5,1000,30010002,2000,30011005,
20510601,《方与圆》,,10041997,1,6,1200,30010002,1667,30011006,
20510602,《文字与人心》,,10041997,1,6,1200,30010002,1667,30011006,
20510603,《不抱怨的世界》,,10041997,1,6,1200,30010002,1667,30011006,
20510604,《如何影响他人》,,10041997,1,6,1200,30010002,1667,30011006,
20510605,《如何赢得朋友》,,10041997,1,6,1200,30010002,1667,30011006,
20510606,《影响力》,,10041997,1,6,1200,30010002,1667,30011006,
20510701,《语言的力量》,,10041997,1,7,1400,30010002,1429,30011007,
20510702,《沟通的魅力》,,10041997,1,7,1400,30010002,1429,30011007,
20520101,《思考锻炼》,,10041999,2,1,200,30010003,10000,30011001,
20520201,《如何开始》,,10041999,2,2,400,30010003,5000,30011002,
