"ID{id,int}","排名{rank,int}","积分奖励{score,int}","其他奖励{prize,json_funcs}",
56300001,1,100,"[{type:10,param:0,value:50}]",
56300002,2,95,"[{type:10,param:0,value:45}]",
56300003,3,90,"[{type:10,param:0,value:40}]",
56300004,4,85,"[{type:10,param:0,value:35}]",
56300005,5,80,"[{type:10,param:0,value:30}]",
56300006,6,75,"[{type:10,param:0,value:25}]",
56300007,7,75,"[{type:10,param:0,value:25}]",
56300008,8,70,"[{type:10,param:0,value:20}]",
56300009,9,70,"[{type:10,param:0,value:20}]",
56300010,10,70,"[{type:10,param:0,value:20}]",
56300011,11,60,"[{type:10,param:0,value:20}]",
56300012,12,60,"[{type:10,param:0,value:20}]",
56300013,13,60,"[{type:10,param:0,value:20}]",
56300014,14,60,"[{type:10,param:0,value:20}]",
56300015,15,60,"[{type:10,param:0,value:20}]",
56300016,16,60,"[{type:10,param:0,value:20}]",
56300017,17,60,"[{type:10,param:0,value:20}]",
56300018,18,60,"[{type:10,param:0,value:20}]",
56300019,19,60,"[{type:10,param:0,value:20}]",
56300020,20,60,"[{type:10,param:0,value:20}]",
56300021,21,55,"[{type:10,param:0,value:15}]",
56300022,22,55,"[{type:10,param:0,value:15}]",
56300023,23,55,"[{type:10,param:0,value:15}]",
56300024,24,55,"[{type:10,param:0,value:15}]",
56300025,25,55,"[{type:10,param:0,value:15}]",
56300026,26,55,"[{type:10,param:0,value:15}]",
56300027,27,55,"[{type:10,param:0,value:15}]",
56300028,28,55,"[{type:10,param:0,value:15}]",
56300029,29,55,"[{type:10,param:0,value:15}]",
56300030,30,55,"[{type:10,param:0,value:15}]",
56300031,31,50,"[{type:10,param:0,value:15}]",
56300032,32,50,"[{type:10,param:0,value:15}]",
56300033,33,50,"[{type:10,param:0,value:15}]",
56300034,34,50,"[{type:10,param:0,value:15}]",
56300035,35,50,"[{type:10,param:0,value:15}]",
56300036,36,50,"[{type:10,param:0,value:15}]",
56300037,37,50,"[{type:10,param:0,value:15}]",
56300038,38,50,"[{type:10,param:0,value:15}]",
56300039,39,50,"[{type:10,param:0,value:15}]",
56300040,40,50,"[{type:10,param:0,value:15}]",
56300041,41,55,"[{type:10,param:0,value:15}]",
56300042,42,55,"[{type:10,param:0,value:15}]",
56300043,43,55,"[{type:10,param:0,value:15}]",
56300044,44,55,"[{type:10,param:0,value:15}]",
56300045,45,55,"[{type:10,param:0,value:15}]",
56300046,46,55,"[{type:10,param:0,value:15}]",
56300047,47,55,"[{type:10,param:0,value:15}]",
56300048,48,55,"[{type:10,param:0,value:15}]",
56300049,49,55,"[{type:10,param:0,value:15}]",
56300050,50,55,"[{type:10,param:0,value:15}]",
56300051,51,50,"[{type:10,param:0,value:15}]",
56300052,52,50,"[{type:10,param:0,value:15}]",
56300053,53,50,"[{type:10,param:0,value:15}]",
56300054,54,50,"[{type:10,param:0,value:15}]",
56300055,55,50,"[{type:10,param:0,value:15}]",
56300056,56,50,"[{type:10,param:0,value:15}]",
56300057,57,50,"[{type:10,param:0,value:15}]",
56300058,58,50,"[{type:10,param:0,value:15}]",
56300059,59,50,"[{type:10,param:0,value:15}]",
56300060,60,50,"[{type:10,param:0,value:15}]",
56300061,61,40,"[{type:10,param:0,value:10}]",
56300062,62,40,"[{type:10,param:0,value:10}]",
56300063,63,40,"[{type:10,param:0,value:10}]",
56300064,64,40,"[{type:10,param:0,value:10}]",
56300065,65,40,"[{type:10,param:0,value:10}]",
56300066,66,40,"[{type:10,param:0,value:10}]",
56300067,67,40,"[{type:10,param:0,value:10}]",
56300068,68,40,"[{type:10,param:0,value:10}]",
56300069,69,40,"[{type:10,param:0,value:10}]",
56300070,70,40,"[{type:10,param:0,value:10}]",
56300071,71,40,"[{type:10,param:0,value:10}]",
56300072,72,40,"[{type:10,param:0,value:10}]",
56300073,73,40,"[{type:10,param:0,value:10}]",
56300074,74,40,"[{type:10,param:0,value:10}]",
56300075,75,40,"[{type:10,param:0,value:10}]",
56300076,76,40,"[{type:10,param:0,value:10}]",
56300077,77,40,"[{type:10,param:0,value:10}]",
56300078,78,40,"[{type:10,param:0,value:10}]",
56300079,79,40,"[{type:10,param:0,value:10}]",
56300080,80,40,"[{type:10,param:0,value:10}]",
56300081,81,40,"[{type:10,param:0,value:10}]",
56300082,82,40,"[{type:10,param:0,value:10}]",
56300083,83,40,"[{type:10,param:0,value:10}]",
56300084,84,40,"[{type:10,param:0,value:10}]",
56300085,85,40,"[{type:10,param:0,value:10}]",
56300086,86,40,"[{type:10,param:0,value:10}]",
56300087,87,40,"[{type:10,param:0,value:10}]",
56300088,88,40,"[{type:10,param:0,value:10}]",
56300089,89,40,"[{type:10,param:0,value:10}]",
56300090,90,40,"[{type:10,param:0,value:10}]",
56300091,91,40,"[{type:10,param:0,value:10}]",
56300092,92,40,"[{type:10,param:0,value:10}]",
56300093,93,40,"[{type:10,param:0,value:10}]",
56300094,94,40,"[{type:10,param:0,value:10}]",
56300095,95,40,"[{type:10,param:0,value:10}]",
56300096,96,40,"[{type:10,param:0,value:10}]",
56300097,97,40,"[{type:10,param:0,value:10}]",
56300098,98,40,"[{type:10,param:0,value:10}]",
56300099,99,40,"[{type:10,param:0,value:10}]",
56300100,100,40,"[{type:10,param:0,value:10}]",
