"Buff效果ID(idx)","Buff名称","辅助描述列","Buff名资源调用(str,nameRes)","Buff图标资源调用(str,iconRes)","挂载特效(fun,addEff)","挂载特效位置(fun,addEffPos)","触发特效(fun,trigerEff)","触发特效位置(fun,trigerEffPos)","持续特效(fun,eff)","持续特效位置(fun,effPos)",
45100001,防御增加,,10053037,,,,,,{'10050001'},{8},
45100002,封印,,10053056,,,,,,{'10050002'},{5},
45100003,护盾,,10053004,,,,,,{'10050003'},{5},
45100004,晕眩,,10053051,,,,,,{'10050004'},{8},
45100005,灼烧,,10053052,,,,,,{'10050005'},{2},
45100006,怒气上升,,10053010,,,,,,,,
45100007,怒气下降,,10053021,,,,,,,,
45100008,必定暴击,,10053007,,,,,,,,
45100009,,,,,,,,,,,
45100010,,,,,,,,,,,
45100011,,,,,,,,,,,
45100012,,,,,,,,,,,
45100013,,,,,,,,,,,
45100014,,,,,,,,,,,
45100015,,,,,,,,,,,
45100016,,,,,,,,,,,
45100017,,,,,,,,,,,
45100018,,,,,,,,,,,
45100019,,,,,,,,,,,
45100020,,,,,,,,,,,
45100021,,,,,,,,,,,
45100022,,,,,,,,,,,
45100023,,,,,,,,,,,
45100024,,,,,,,,,,,
45100025,,,,,,,,,,,
45100026,,,,,,,,,,,
45100027,,,,,,,,,,,
45100028,,,,,,,,,,,
45100029,,,,,,,,,,,
45100030,,,,,,,,,,,
45100031,,,,,,,,,,,
45100032,,,,,,,,,,,
