"ID{id,int}(idx)","等级{level,int}(num,lv)","属性上限{attUp,int}(num,ap)","属性下限{attDown,int}(num,ad)","需求经验{reqExp,int}(num,exp)",
22100001,1,10,4,20,
22100002,2,13,5,20,
22100003,3,16,6,20,
22100004,4,19,7,20,
22100005,5,22,8,20,
22100006,6,25,9,20,
22100007,7,28,10,20,
22100008,8,31,11,20,
22100009,9,34,12,20,
22100010,10,37,13,30,
22100011,11,40,14,30,
22100012,12,43,15,30,
22100013,13,46,16,30,
22100014,14,49,17,30,
22100015,15,52,18,40,
22100016,16,55,19,40,
22100017,17,58,20,40,
22100018,18,61,21,40,
22100019,19,64,22,40,
22100020,20,67,23,50,
22100021,21,70,24,50,
22100022,22,73,25,50,
22100023,23,76,26,50,
22100024,24,79,27,50,
22100025,25,82,28,60,
22100026,26,85,29,60,
22100027,27,88,30,60,
22100028,28,91,31,60,
22100029,29,94,32,60,
22100030,30,97,33,70,
22100031,31,100,34,70,
22100032,32,103,35,70,
22100033,33,106,36,70,
22100034,34,109,37,70,
22100035,35,112,38,80,
22100036,36,115,39,80,
22100037,37,118,40,80,
22100038,38,121,41,80,
22100039,39,124,42,80,
22100040,40,127,43,90,
22100041,41,130,44,90,
22100042,42,133,45,90,
22100043,43,136,46,90,
22100044,44,139,47,90,
22100045,45,142,48,100,
22100046,46,145,49,100,
22100047,47,148,50,100,
22100048,48,151,51,100,
22100049,49,154,52,100,
22100050,50,157,53,110,
