"配置档ID{id,int}(idx)","类型{conds,json_conds}(json,conds)","条件描述",
45200001,"[{type:1,value:3000}]",30%触发,
45200002,"[{type:1,value:6000}]",60%触发,
45200003,"[{type:1,value:8000}]",80%触发,
45200004,"[{type:4,value:1000}]",目标生命比例低于10%时,
45200005,"[{type:4,value:1000},{type:1,value:8000}]",目标生命比例低于10%时80%触发怎么怎么样,
45200006,"[{type:8,value:0}]",目标死亡时,
45200007,"[{type:9,value:0}]",自身造成伤害时,
45200008,"[{type:10,value:0}]",自身造成暴击时,
45200009,"[{type:11,value:0}]",自身攻击被格挡时,
45200010,"[{type:12,value:0}]",自身攻击被闪避时,
45200011,"[{type:13,value:0}]",自身释放技能时,
45200012,"[{type:16,value:1}]",目标处于眩晕状态时,
45200013,"[{type:16,value:2}]",目标处于封印状态时,
45200014,"[{type:16,value:3}]",目标处于沉默状态时,
45200015,"[{type:16,value:4}]",目标处于冰冻状态时,
45200016,"[{type:16,value:5}]",目标处于昏睡状态时,
45200017,"[{type:16,value:6}]",目标处于霸体状态时,
45200018,"[{type:16,value:7}]",目标处于魅惑状态时,
45200019,"[{type:16,value:8}]",目标处于混乱状态时,
45200020,"[{type:16,value:9}]",目标处于隐身状态时,
45200021,"[{type:16,value:11}]",目标处于物理免疫状态时,
45200022,"[{type:16,value:12}]",目标处于魔法免疫状态时,
45200023,"[{type:16,value:13}]",目标处于无敌状态时,
45200024,"[{type:16,value:14}]",目标处于反击状态时,
45200025,"[{type:16,value:15}]",目标处于嘲讽状态时,
45200026,"[{type:16,value:16}]",目标处于必定暴击状态时,
45200027,"[{type:16,value:17}]",目标处于必定格挡状态时,
45200028,"[{type:16,value:18}]",目标处于必定闪避状态时,
45200029,"[{type:16,value:28}]",目标处于中毒状态时,
45200030,"[{type:16,value:29}]",目标处于流血状态时,
45200031,"[{type:16,value:30}]",目标处于灼烧状态时,
45200032,"[{type:17,value:1}]",自身处于眩晕状态时,
45200033,"[{type:17,value:2}]",自身处于封印状态时,
45200034,"[{type:17,value:3}]",自身处于沉默状态时,
45200035,"[{type:17,value:4}]",自身处于冰冻状态时,
45200036,"[{type:17,value:5}]",自身处于昏睡状态时,
45200037,"[{type:17,value:6}]",自身处于霸体状态时,
45200038,"[{type:17,value:7}]",自身处于魅惑状态时,
45200039,"[{type:17,value:8}]",自身处于混乱状态时,
45200040,"[{type:17,value:9}]",自身处于隐身状态时,
45200041,"[{type:17,value:11}]",自身处于物理免疫状态时,
45200042,"[{type:17,value:12}]",自身处于魔法免疫状态时,
45200043,"[{type:17,value:13}]",自身处于无敌状态时,
45200044,"[{type:17,value:14}]",自身处于反击状态时,
45200045,"[{type:17,value:15}]",自身处于嘲讽状态时,
45200046,"[{type:17,value:16}]",自身处于必定暴击状态时,
45200047,"[{type:17,value:17}]",自身处于必定格挡状态时,
45200048,"[{type:17,value:18}]",自身处于必定闪避状态时,
45200049,"[{type:17,value:28}]",自身处于中毒状态时,
45200050,"[{type:17,value:29}]",自身处于流血状态时,
45200051,"[{type:17,value:30}]",自身处于灼烧状态时,
45200052,"[{type:18,value:0}]",首次释放对应技能时,
45200053,"[{type:8,value:0},{type:1,value:8000}]",目标死亡时80%触发,
45200054,"[{type:9,value:0},{type:1,value:8000}]",自身造成伤害时80%触发,
45200055,"[{type:10,value:0},{type:1,value:8000}]",自身造成暴击时80%触发,
45200056,"[{type:11,value:0},{type:1,value:8000}]",自身攻击被格挡时80%触发,
45200057,"[{type:12,value:0},{type:1,value:8000}]",自身攻击被闪避时80%触发,
45200058,"[{type:13,value:0},{type:1,value:8000}]",自身释放技能时80%触发,
45200059,"[{type:16,value:1},{type:1,value:8000}]",目标处于眩晕状态时80%触发,
45200060,"[{type:16,value:2},{type:1,value:8000}]",目标处于封印状态时80%触发,
45200061,"[{type:16,value:3},{type:1,value:8000}]",目标处于沉默状态时80%触发,
45200062,"[{type:16,value:4},{type:1,value:8000}]",目标处于冰冻状态时80%触发,
45200063,"[{type:16,value:5},{type:1,value:8000}]",目标处于昏睡状态时80%触发,
45200064,"[{type:16,value:6},{type:1,value:8000}]",目标处于霸体状态时80%触发,
