"ID{id,int}(idx)","类型{type,int}(num,type)","物品ID{goodsCid,int}(num,goodsCid)","奖励{goodsWeightId,int}(num,gw)","积分{integral,int}(num,integral)","货币奖励{currencyPrize,json_funcs}",
70100001,2,30041000,89700020,3,"[{type:4,param:80400013,value:3}]",
70100002,2,30041001,89700021,6,"[{type:4,param:80400013,value:6}]",
70100003,2,30041002,89700022,10,"[{type:4,param:80400013,value:10}]",
70100004,2,30041003,89700023,12,"[{type:4,param:80400013,value:12}]",
70100005,1,30041004,89700024,3,"[{type:4,param:80400012,value:3}]",
70100006,1,30041005,89700025,6,"[{type:4,param:80400012,value:6}]",
70100007,1,30041006,89700026,10,"[{type:4,param:80400012,value:10}]",
70100008,1,30041007,89700027,12,"[{type:4,param:80400012,value:12}]",
70100009,4,30041008,89700028,3,"[{type:4,param:80400015,value:3}]",
70100010,4,30041009,89700029,6,"[{type:4,param:80400015,value:6}]",
70100011,4,30041010,89700030,10,"[{type:4,param:80400015,value:10}]",
70100012,4,30041011,89700031,12,"[{type:4,param:80400015,value:12}]",
70100013,3,30041012,89700032,3,"[{type:4,param:80400014,value:3}]",
70100014,3,30041013,89700033,6,"[{type:4,param:80400014,value:6}]",
70100015,3,30041014,89700034,10,"[{type:4,param:80400014,value:10}]",
70100016,3,30041015,89700035,12,"[{type:4,param:80400014,value:12}]",
