"编号{id,int}(idx)","名称(str,n)","描述(str,d)","图标(str,p2)","出现回合{turn,int}","品质{qua,int}(num,qua)","出现权重{weight,int}","buf类型{bufType,int}(num,bt)","buf值{bufVal,int}(num,bv)","消耗货币类型{costType,int}(num,c)","消耗货币数量{costNum,int}(num,cn)","文字表描述1","文字表描述2",
53600001,初级攻击加成,临时攻击加成50%,10043104,0,1,10000,2,5000,80400008,3,153600001,253600001,
53600002,中级攻击加成,临时攻击加成100%,10043105,0,2,10000,2,10000,80400002,50,153600002,253600002,
53600003,高级攻击加成,临时攻击加成150%,10043106,0,3,10000,2,15000,80400002,100,153600003,253600003,
53600004,初级攻击加成,临时攻击加成5%,10043104,1,1,794,2,500,80400008,1,153600004,253600004,
53600005,初级攻击加成,临时攻击加成6%,10043104,1,1,698,2,600,80400008,1,153600005,253600005,
53600006,初级攻击加成,临时攻击加成7%,10043104,1,1,603,2,700,80400008,1,153600006,253600006,
53600007,初级攻击加成,临时攻击加成8%,10043104,1,1,508,2,800,80400008,1,153600007,253600007,
53600008,初级攻击加成,临时攻击加成9%,10043104,1,1,413,2,900,80400008,1,153600008,253600008,
53600009,初级攻击加成,临时攻击加成10%,10043104,1,1,317,2,1000,80400008,1,153600009,253600009,
53600010,初级技能加成,临时技能加成5%,10043107,1,1,227,3,500,80400008,1,153600010,253600010,
53600011,初级技能加成,临时技能加成6%,10043107,1,1,273,3,600,80400008,1,153600011,253600011,
53600012,初级技能加成,临时技能加成7%,10043107,1,1,318,3,700,80400008,1,153600012,253600012,
53600013,初级技能加成,临时技能加成8%,10043107,1,1,364,3,800,80400008,1,153600013,253600013,
53600014,初级技能加成,临时技能加成9%,10043107,1,1,409,3,900,80400008,1,153600014,253600014,
53600015,初级技能加成,临时技能加成10%,10043107,1,1,455,3,1000,80400008,1,153600015,253600015,
53600016,初级技能加成,临时技能加成11%,10043107,1,1,500,3,1100,80400008,1,153600016,253600016,
53600017,初级技能加成,临时技能加成12%,10043107,1,1,545,3,1200,80400008,1,153600017,253600017,
53600018,初级技能加成,临时技能加成13%,10043107,1,1,591,3,1300,80400008,1,153600018,253600018,
53600019,初级技能加成,临时技能加成14%,10043107,1,1,636,3,1400,80400008,1,153600019,253600019,
53600020,初级技能加成,临时技能加成15%,10043107,1,1,682,3,1500,80400008,1,153600020,253600020,
