"编号{id,int}(idx)","出现权重{weight,int}","奖励{prize,json_func}(json,func)",
53500001,655,"{type:25,param:0,value:4}",
53500002,1310,"{type:25,param:0,value:4}",
53500003,468,"{type:25,param:0,value:8}",
53500004,936,"{type:25,param:0,value:8}",
53500005,281,"{type:25,param:0,value:12}",
53500006,561,"{type:25,param:0,value:12}",
53500007,731,"{type:26,param:0,value:4}",
53500008,1462,"{type:26,param:0,value:4}",
53500009,585,"{type:26,param:0,value:8}",
53500010,1169,"{type:26,param:0,value:8}",
53500011,439,"{type:26,param:0,value:12}",
53500012,877,"{type:26,param:0,value:12}",
53500013,175,"{type:1,param:30030011,value:1}",
53500014,351,"{type:1,param:30030011,value:1}",
