"编号{id,int}","屏蔽词{dirtyWord,str}",
1,谋杀,
2,杀人,
3,吸毒,
4,贩毒,
5,赌博,
6,拐卖,
7,走私,
8,卖淫,
9,造反,
10,监狱,
11,强奸,
12,轮奸,
13,抢劫,
14,先奸后杀,
15,下注,
16,押大,
17,押小,
18,抽头,
19,坐庄,
20,赌马,
21,赌球,
22,筹码,
23,老虎机,
24,轮盘赌,
25,安非他命,
26,大麻,
27,可卡因,
28,海洛因,
29,冰毒,
30,摇头丸,
31,杜冷丁,
32,鸦片,
33,罂粟,
34,迷幻药,
35,白粉,
36,嗑药,
37,吸毒,
38,冰粉,
39,世界以利亚,
40,道教,
41,多维,
42,佛教,
43,佛祖,
44,释迦牟尼,
45,如来,
46,阿弥陀佛,
47,观世音,
48,普贤,
49,文殊,
50,地藏,
51,河殇,
52,回教,
53,密宗,
54,摩门教,
55,穆罕默德,
56,穆斯林,
57,升天,
58,圣母,
59,圣战,
60,耶和华,
61,耶稣,
62,伊斯兰,
63,真主安拉,
64,白莲教,
65,天主教,
66,基督教,
67,东正教,
68,大法,
69,法轮,
70,法轮功,
71,瘸腿帮,
72,真理教,
73,真善忍,
74,转法轮,
75,自焚,
76,走向圆满,
77,黄大仙,
78,风水,
79,跳大神,
80,神汉,
81,神婆,
82,真理教,
83,大卫教,
84,阎王,
85,黑白无常,
86,牛头马面,
87,古兰经,
88,轉法輪,
89,藏独,
90,高丽棒子,
91,回回,
92,疆独,
93,蒙古鞑子,
94,台独,
95,台独分子,
96,台联,
97,台湾民国,
98,西藏独立,
99,新疆独立,
100,南蛮,
101,老毛子,
102,回民吃猪肉,
103,全能神,
104,实际神,
105,东方闪电,
106,毛泽东,
107,周恩来,
108,刘少奇,
109,朱德,
110,彭德怀,
111,林彪,
112,刘伯承,
113,陈毅,
114,贺龙,
115,聂荣臻,
116,徐向前,
117,罗荣桓,
118,叶剑英,
119,李大钊,
120,陈独秀,
121,孙中山,
122,孙文,
123,孙逸仙,
124,邓小平,
125,陈云,
126,江泽民,
127,李鹏,
128,朱镕基,
129,李瑞环,
130,尉健行,
131,李岚清,
132,胡锦涛,
133,罗干,
134,温家宝,
135,吴邦国,
136,曾庆红,
137,贾庆林,
138,黄菊,
139,吴官正,
140,李长春,
141,吴仪,
142,回良玉,
143,曾培炎,
144,周永康,
145,曹刚川,
146,唐家璇,
147,华建敏,
148,陈至立,
149,陈良宇,
150,张德江,
151,张立昌,
152,俞正声,
153,王乐泉,
154,刘云山,
155,王刚,
156,王兆国,
157,刘淇,
158,贺国强,
159,郭伯雄,
160,胡耀邦,
161,王乐泉,
162,王兆国,
163,周永康,
164,李登辉,
165,连战,
166,陈水扁,
167,宋楚瑜,
168,吕秀莲,
169,郁慕明,
170,蒋介石,
171,蒋中正,
172,蒋经国,
173,马英九,
174,习近平,
175,李克强,
176,杨尚昆,
177,王光美,
178,郭振家,
179,陈秋平,
180,蒋达德,
181,陈忠财,
182,樊金源,
183,赵文淦,
184,张国栋,
185,石宗源,
186,于永湛,
187,桂晓风,
188,杨牧之,
189,任泽民,
190,沈仁干,
191,石峰,
192,吴帮国,
193,无帮国,
194,无邦国,
195,无帮过,
196,瘟家宝,
197,假庆林,
198,甲庆林,
199,假青林,
200,离长春,
201,习远平,
202,袭近平,
203,李磕墙,
204,贺过墙,
205,和锅枪,
206,粥永康,
207,轴永康,
208,肘永康,
209,周健康,
210,粥健康,
211,周小康,
212,王刚,
213,王乐泉,
214,王兆国,
215,王岐山,
216,回良玉,
217,刘淇,
218,刘云山,
219,刘延东,
220,李长春,
221,李克强,
222,李源潮,
223,吴邦国,
224,汪洋,
225,张高丽,
226,张德江,
227,周永康,
228,胡锦涛,
229,俞正声,
230,贺国强,
231,贾庆林,
232,徐才厚,
233,郭伯雄,
