"ID(idx）","触发类型(num,type)","触发条件(json,cftj)","剧情配置ID(num,jqid)",
53100001,5,"{mnid:20200001,ix:1}",53228001,
53100002,5,"{mnid:20200001,ix:2}",53228002,
53100003,5,"{mnid:20200001,ix:3}",53228003,
53100004,5,"{mnid:20200001,ix:4}",53228004,
53100005,5,"{mnid:20200001,ix:5}",53228005,
53100006,5,"{mnid:20200001,ix:6}",53228006,
53100007,5,"{mnid:20200016,ix:1}",53218001,
53100008,5,"{mnid:20200016,ix:2}",53218002,
53100009,5,"{mnid:20200016,ix:3}",53218003,
53100010,5,"{mnid:20200016,ix:4}",53218004,
53100011,5,"{mnid:20200016,ix:5}",53218005,
53100012,5,"{mnid:20200016,ix:6}",53218006,
53100013,5,"{mnid:20200018,ix:1}",53220001,
53100014,5,"{mnid:20200018,ix:2}",53220002,
53100015,5,"{mnid:20200018,ix:3}",53220003,
53100016,5,"{mnid:20200018,ix:4}",53220004,
53100017,5,"{mnid:20200018,ix:5}",53220005,
53100018,5,"{mnid:20200018,ix:6}",53220006,
53100021,5,"{mnid:20200037,ix:1}",53224001,
53100022,5,"{mnid:20200037,ix:2}",53224002,
53100023,5,"{mnid:20200037,ix:3}",53224003,
53100024,5,"{mnid:20200037,ix:4}",53224004,
53100025,5,"{mnid:20200037,ix:5}",53224005,
53100026,5,"{mnid:20200037,ix:6}",53224006,
53100027,5,"{mnid:20200033,ix:1}",53217001,
53100028,5,"{mnid:20200033,ix:2}",53217002,
53100029,5,"{mnid:20200033,ix:3}",53217003,
53100030,5,"{mnid:20200033,ix:4}",53217004,
53100031,5,"{mnid:20200033,ix:5}",53217005,
53100032,5,"{mnid:20200033,ix:6}",53217006,
53100033,5,"{mnid:20200038,ix:1}",53226001,
53100034,5,"{mnid:20200038,ix:2}",53226002,
53100035,5,"{mnid:20200038,ix:3}",53226003,
53100036,5,"{mnid:20200038,ix:4}",53226004,
53100037,5,"{mnid:20200038,ix:5}",53226005,
53100038,5,"{mnid:20200038,ix:6}",53226006,
53100039,5,"{mnid:20200035,ix:1}",53223001,
53100040,5,"{mnid:20200035,ix:2}",53223002,
53100041,5,"{mnid:20200035,ix:3}",53223003,
53100042,5,"{mnid:20200035,ix:4}",53223004,
53100043,5,"{mnid:20200035,ix:5}",53223005,
53100044,5,"{mnid:20200035,ix:6}",53223006,
53100045,5,"{mnid:20200034,ix:1}",53222001,
53100046,5,"{mnid:20200034,ix:2}",53222002,
53100047,5,"{mnid:20200034,ix:3}",53222003,
53100048,5,"{mnid:20200034,ix:4}",53222004,
53100049,5,"{mnid:20200034,ix:5}",53222005,
53100050,5,"{mnid:20200034,ix:6}",53222006,
53100051,5,"{mnid:20200036,ix:1}",53225001,
53100052,5,"{mnid:20200036,ix:2}",53225002,
53100053,5,"{mnid:20200036,ix:3}",53225003,
53100054,5,"{mnid:20200036,ix:4}",53225004,
53100055,5,"{mnid:20200036,ix:5}",53225005,
53100056,5,"{mnid:20200036,ix:6}",53225006,
53100057,5,"{mnid:20200017,ix:1}",53219001,
53100058,5,"{mnid:20200017,ix:2}",53219002,
53100059,5,"{mnid:20200017,ix:3}",53219003,
53100060,5,"{mnid:20200017,ix:4}",53219004,
53100061,5,"{mnid:20200017,ix:5}",53219005,
53100062,5,"{mnid:20200017,ix:6}",53219006,
53100063,5,"{mnid:20200039,ix:1}",53227001,
53100064,5,"{mnid:20200039,ix:2}",53227002,
53100065,5,"{mnid:20200039,ix:3}",53227003,
53100066,5,"{mnid:20200039,ix:4}",53227004,
53100067,5,"{mnid:20200039,ix:5}",53227005,
53100068,5,"{mnid:20200039,ix:6}",53227006,
53100069,5,"{mnid:20200019,ix:1}",53221001,
53100070,5,"{mnid:20200019,ix:2}",53221002,
53100071,5,"{mnid:20200019,ix:3}",53221003,
53100072,5,"{mnid:20200019,ix:4}",53221004,
53100073,5,"{mnid:20200019,ix:5}",53221005,
53100074,5,"{mnid:20200019,ix:6}",53221006,
53100075,5,"{mnid:20200009,ix:1}",53208001,
53100076,5,"{mnid:20200009,ix:2}",53208002,
53100077,5,"{mnid:20200009,ix:3}",53208003,
53100078,5,"{mnid:20200009,ix:4}",53208004,
53100079,5,"{mnid:20200009,ix:5}",53208005,
53100080,6,"{mnid:20200009,ix:6}",53208006,
53100081,7,"{mnid:20200009,ix:7}",53208007,
53100082,5,"{mnid:20200002,ix:1}",53201001,
53100083,5,"{mnid:20200002,ix:2}",53201002,
53100084,5,"{mnid:20200002,ix:3}",53201003,
53100085,5,"{mnid:20200002,ix:4}",53201004,
53100086,5,"{mnid:20200002,ix:5}",53201005,
53100087,6,"{mnid:20200002,ix:6}",53201006,
53100088,7,"{mnid:20200002,ix:7}",53201007,
53100089,5,"{mnid:20200010,ix:1}",53209001,
53100090,5,"{mnid:20200010,ix:2}",53209002,
53100091,5,"{mnid:20200010,ix:3}",53209003,
53100092,5,"{mnid:20200010,ix:4}",53209004,
53100093,5,"{mnid:20200010,ix:5}",53209005,
53100094,6,"{mnid:20200010,ix:6}",53209006,
53100095,7,"{mnid:20200010,ix:7}",53209007,
53100096,5,"{mnid:20200003,ix:1}",53202001,
53100097,5,"{mnid:20200003,ix:2}",53202002,
