"编号{id,int}(idx)","数据{data,ints}(fun,data)","说明",
9080001,"{10032402,10032403,10032409,10032405,10032407,10032411,10032405,10032407,10032411}",男子嗣形象组，前三个id是子嗣小时候的形象，后三个id是子嗣成年的形象；幼年和成年的形象一一对应，1号位的幼年id对应4号位成年id，以此类推,
9080002,"{10032401,10032408,10032410,10032404,10032406,10032412,10032404,10032406,10032412}",女子嗣形象组，前三个id是子嗣小时候的形象，后三个id是子嗣成年的形象；幼年和成年的形象一一对应，1号位的幼年id对应4号位成年id，以此类推,
9080004,{1800},活力恢复cd，单位秒,
9080005,{1},培养需要消耗活力,
9080006,{10},培养增加经验,
9080007,{15000},升级随机上限系数,
9080008,{5000},升级随机下限系数,
9080009,"{0,1000,3000,5000,10000,150000,200000}",科举的等级,
9080010,"{2,2,2,3,3,4,4,5,5,5,5,5,5}",活力上限,
9080011,{1},活力恢复数量，单位时间内恢复活力数量,
9080012,{30030006},活力恢复道具id,
9080013,"{0,0,0,300,600,1000,2000,3000,4000,5000,5000}","扩展子嗣容量钻石消耗, 数组长度即为总容量, 首元素填0占位，格式{0,0,333, 1000} 即表示总子嗣容量为3, 扩展2号位消耗333, 3号位消耗1000, 以此类推",
9080014,"{80,180,320,450,560,700,1000}",联姻消耗元宝,
9080015,"{30030008,30030008,30030008,30030009,30030009,30030010,30030010}",联姻消耗物品,
9080016,{100},刷新联姻信息列表消耗元宝,
9080017,{20},子嗣改名消耗元宝数,
9080018,{5},一键功能开启格子需求数量,
9080019,"{0,10,30,50}",子嗣形象对应等级上限，0~10代表子嗣等级上限为10以下（包括10级）使用子嗣形象组数据1号位的形象，以此类推,
9080020,{600},持续时间(秒),
9080021,"{10049001,10049001,10049001,10049001,10049001,10049001,10049003,10049003,10049003}",男子大背景图组，前三个id是子嗣小时候，后三个id是子嗣成年,
9080022,"{10049005,10049005,10049005,10049005,10049005,10049005,10049004,10049004,10049004}",男子小背景图组，前三个id是子嗣小时候，后三个id是子嗣成年,
9080023,"{10049002,10049002,10049002,10049002,10049002,10049002,10049003,10049003,10049003}",女子大背景图组，前三个id是子嗣小时候，后三个id是子嗣成年,
9080024,"{10049006,10049006,10049006,10049006,10049006,10049006,10049004,10049004,10049004}",女子小背景图组，前三个id是子嗣小时候，后三个id是子嗣成年,
9080025,"{10034502,10034503,10034509,10034505,10034507,10034511,10034505,10034507,10034511}",男子头像图组，前三个id是子嗣小时候，后三个id是子嗣成年,
9080026,"{10034501,10034508,10034510,10034504,10034506,10034512,10034504,10034506,10034512}",女子头像图组，前三个id是子嗣小时候，后三个id是子嗣成年,
