"ID{id,int}(idx)","装备类型{type,int}(num,type)","属性类型{attType,ints}(fun,attType)","属性值{value,ints}(fun,value)","计算类型{calType,ints}(fun,calType)","","",
56510001,1,"{1,5}","{109,63}","{1,1}",,,
56510002,1,"{1,5}","{108,63}","{1,1}",,,
56510003,1,"{1,5}","{107,63}","{1,1}",,,
56510004,1,"{1,5}","{107,64}","{1,1}",,,
56510005,1,"{3,5}","{106,65}","{1,1}",,,
56510006,1,"{3,5}","{105,65}","{1,1}",,,
56510007,1,"{1,5}","{46,95}","{1,1}",,,
56510008,1,"{1,5}","{46,96}","{1,1}",,,
56510009,1,"{3,5}","{77,79}","{1,1}",,,
56510010,1,"{3,5}","{75,81}","{1,1}",,,
56510011,1,"{1,5}","{103,62}","{1,1}",,,
56510012,1,"{1,5}","{101,61}","{1,1}",,,
56510013,1,"{1,5}","{102,61}","{1,1}",,,
56510014,1,"{1,5}","{101,61}","{1,1}",,,
56510015,1,"{3,5}","{101,61}","{1,1}",,,
56510016,1,"{3,5}","{101,61}","{1,1}",,,
56510017,1,"{1,5}","{44,90}","{1,1}",,,
56510018,1,"{1,5}","{44,89}","{1,1}",,,
56510019,1,"{3,5}","{73,75}","{1,1}",,,
56510020,1,"{3,5}","{73,77}","{1,1}",,,
56510021,1,"{1,5}","{96,58}","{1,1}",,,
56510022,1,"{1,5}","{98,56}","{1,1}",,,
56510023,1,"{1,5}","{98,59}","{1,1}",,,
56510024,1,"{1,5}","{95,58}","{1,1}",,,
56510025,1,"{3,5}","{97,56}","{1,1}",,,
56510026,1,"{3,5}","{94,57}","{1,1}",,,
56510027,1,"{1,5}","{42,86}","{1,1}",,,
56510028,1,"{1,5}","{42,87}","{1,1}",,,
56510029,1,"{3,5}","{68,72}","{1,1}",,,
56510030,1,"{3,5}","{68,71}","{1,1}",,,
56510031,1,"{1,5}","{96,56}","{1,1}",,,
56510032,1,"{1,5}","{95,56}","{1,1}",,,
56510033,1,"{1,5}","{97,56}","{1,1}",,,
56510034,1,"{1,5}","{94,58}","{1,1}",,,
56510035,1,"{3,5}","{94,56}","{1,1}",,,
56510036,1,"{3,5}","{94,56}","{1,1}",,,
56510037,1,"{1,5}","{42,86}","{1,1}",,,
56510038,1,"{1,5}","{41,84}","{1,1}",,,
56510039,1,"{3,5}","{67,73}","{1,1}",,,
56510040,1,"{3,5}","{69,70}","{1,1}",,,
56510041,1,"{1,5}","{96,57}","{1,1}",,,
56510042,1,"{1,5}","{94,56}","{1,1}",,,
56510043,1,"{3,5}","{92,57}","{1,1}",,,
56510044,1,"{1,5}","{40,84}","{1,1}",,,
56510045,1,"{3,5}","{68,70}","{1,1}",,,
56510046,1,"{1,5}","{93,56}","{1,1}",,,
56510047,1,"{1,5}","{91,55}","{1,1}",,,
56510048,1,"{3,5}","{92,55}","{1,1}",,,
