"ID{id,int}(idx)","对应英雄的CID{heroCid,int}(num,heroCid)","装备星级{star,int}(num,star)","装备数量{num,int}(num,num)","属性类型{attType,ints}(fun,attType)","属性计算类型{calType,ints}(fun,calType)","属性值{value,ints}(fun,value)",
56900001,21000001,1,2,{5},{3},{300},
56900002,21000001,1,4,"{1,4}","{3,3}","{300,600}",
56900003,21000001,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900004,21000001,2,2,{5},{3},{300},
56900005,21000001,2,4,"{1,4}","{3,3}","{300,600}",
56900006,21000001,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900007,21000001,3,2,{5},{3},{300},
56900008,21000001,3,4,"{1,4}","{3,3}","{300,600}",
56900009,21000001,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900010,21000001,4,2,{5},{3},{300},
56900011,21000001,4,4,"{1,4}","{3,3}","{300,600}",
56900012,21000001,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900013,21000001,5,2,{5},{3},{300},
56900014,21000001,5,4,"{1,4}","{3,3}","{300,600}",
56900015,21000001,5,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900016,21000002,1,2,{5},{3},{300},
56900017,21000002,1,4,"{1,4}","{3,3}","{300,600}",
56900018,21000002,1,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900019,21000002,2,2,{5},{3},{300},
56900020,21000002,2,4,"{1,4}","{3,3}","{300,600}",
56900021,21000002,2,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900022,21000002,3,2,{5},{3},{300},
56900023,21000002,3,4,"{1,4}","{3,3}","{300,600}",
56900024,21000002,3,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900025,21000002,4,2,{5},{3},{300},
56900026,21000002,4,4,"{1,4}","{3,3}","{300,600}",
56900027,21000002,4,6,"{1,2,5}","{3,3,3}","{300,600,300}",
56900028,21000002,5,2,{5},{3},{300},
56900029,21000002,5,4,"{1,4}","{3,3}","{300,600}",
