"ID{id,int}(idx)","装备CID{equipCid,int}(num,equipCid)","装备星级{star,int}(num,star)","属性类型{attType,ints}(fun,attType)","属性值{value,ints}(fun,attVal)","计算类型{calType,ints}(fun,calType)","升级到下一星级消耗{costs,json_funcs}(json,costs)",
56700001,56510001,0,"{1,5}","{0,0}","{1,1}",,
56700002,56510001,1,"{1,5}","{436,250}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700003,56510001,2,"{1,5}","{872,500}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700004,56510001,3,"{1,5}","{1308,750}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700005,56510001,4,"{1,5}","{1744,1000}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700006,56510001,5,"{1,5}","{2180,1250}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700007,56510002,0,"{1,5}","{0,0}","{1,1}",,
56700008,56510002,1,"{1,5}","{432,254}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700009,56510002,2,"{1,5}","{864,508}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700010,56510002,3,"{1,5}","{1296,762}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700011,56510002,4,"{1,5}","{1728,1016}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700012,56510002,5,"{1,5}","{2160,1270}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700013,56510003,0,"{1,5}","{0,0}","{1,1}",,
56700014,56510003,1,"{1,5}","{428,254}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700015,56510003,2,"{1,5}","{856,508}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700016,56510003,3,"{1,5}","{1284,762}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700017,56510003,4,"{1,5}","{1712,1016}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700018,56510003,5,"{1,5}","{2140,1270}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700019,56510004,0,"{1,5}","{0,0}","{1,1}",,
56700020,56510004,1,"{1,5}","{428,256}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700021,56510004,2,"{1,5}","{856,512}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700022,56510004,3,"{1,5}","{1284,768}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700023,56510004,4,"{1,5}","{1712,1024}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700024,56510004,5,"{1,5}","{2140,1280}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700025,56510005,0,"{3,5}","{0,0}","{1,1}",,
56700026,56510005,1,"{3,5}","{424,262}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700027,56510005,2,"{3,5}","{848,524}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700028,56510005,3,"{3,5}","{1272,786}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700029,56510005,4,"{3,5}","{1696,1048}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700030,56510005,5,"{3,5}","{2120,1310}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700031,56510006,0,"{3,5}","{0,0}","{1,1}",,
56700032,56510006,1,"{3,5}","{420,258}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700033,56510006,2,"{3,5}","{840,516}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700034,56510006,3,"{3,5}","{1260,774}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700035,56510006,4,"{3,5}","{1680,1032}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700036,56510006,5,"{3,5}","{2100,1290}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700037,56510007,0,"{1,5}","{0,0}","{1,1}",,
56700038,56510007,1,"{1,5}","{186,380}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700039,56510007,2,"{1,5}","{372,760}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700040,56510007,3,"{1,5}","{558,1140}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700041,56510007,4,"{1,5}","{744,1520}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700042,56510007,5,"{1,5}","{930,1900}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700043,56510008,0,"{1,5}","{0,0}","{1,1}",,
56700044,56510008,1,"{1,5}","{184,384}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700045,56510008,2,"{1,5}","{368,768}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700046,56510008,3,"{1,5}","{552,1152}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700047,56510008,4,"{1,5}","{736,1536}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700048,56510008,5,"{1,5}","{920,1920}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700049,56510009,0,"{3,5}","{0,0}","{1,1}",,
56700050,56510009,1,"{3,5}","{306,316}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700051,56510009,2,"{3,5}","{612,632}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700052,56510009,3,"{3,5}","{918,948}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700053,56510009,4,"{3,5}","{1224,1264}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700054,56510009,5,"{3,5}","{1530,1580}","{1,1}","[{type:4,param:80400001,value:-100}]",
56700055,56510010,0,"{3,5}","{0,0}","{1,1}",,
56700056,56510010,1,"{3,5}","{300,324}","{1,1}","[{type:4,param:80400001,value:-100}]",
