"ID{id,int}(idx)","名字(str,n)","头像(str,p)","类型(num,tp)","权重{weight,int}","最大血量{maxLf,long}(num,maxLf)"," 击杀积分{killScorePrize,int}(num,killScorePrize)","击杀奖励{killPrize,int}(num,killPrize)","奖励((fun,s)",
70500001,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500002,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500003,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500004,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500005,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500006,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500007,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500008,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500009,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500010,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500011,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500012,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500013,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500014,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500015,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500016,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500017,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500018,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500019,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500020,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500021,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500022,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500023,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500024,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500025,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500026,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500027,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500028,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500029,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500030,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500031,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500032,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500033,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500034,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
70500035,初级员工,10031201,7,36,10000000,5,89700010,"{30200007,30200012,30200017,30200022,30041017}",
