"ID{id,int}(idx)","说明","初始方向(num,dir)","形象(fun,p2)","扩展参数1(fun,ext1)","扩展参数2(fun,ext2)","路人行为模式(num,aMode)","行为参数(fun,aMode_p)",
40300001,抖音熊,1,"{""dyx"",""dyx_b"",""dyx_z"",""xiongbenxiong""}","{""biaoqing1"",""biaoqing3"",""biaoqing5"",""biaoqing6"",""biaoqing8"",""biaoqing2"",""biaoqing10"",""biaoqing4""}","{""好饿！！！""}",1,,
40300002,熊本熊,1,"{""xiongbenxiong""}","{""biaoqing1"",""biaoqing3"",""biaoqing5"",""biaoqing6"",""biaoqing8"",""biaoqing2"",""biaoqing10"",""biaoqing4""}","{""您瞧好吧！"",""好饿啊""}",1,,
40300010,购物女,1,"{""gouwunv""}","{""biaoqing1"",""biaoqing8""}","{""限量版包包！"",""我恨高跟鞋！"",""5折耶""}",1,,
40300011,酷男,1,"{""kunan""}","{""biaoqing7"",""biaoqing2""}","{""好多美女！"",""小姐姐！等等我！""}",1,,
40300012,商务男接单,1,"{""shangwunan""}","{""biaoqing2"",""biaoqing10"",""biaoqing7""}","{""分分钟一百万"",""晚上去泡妞"",""找个酒吧嗨~""}",1,,
40301001,自拍游客,1,"{""youke""}","{""biaoqing1"",""biaoqing8""}","{""茄子~"",""来拍个""}",0,"{{0,5500},{1,1500,{""action1""}},{3,220,{30,-1,-1,500}},{1,1500,{""action1""}},{2,-1,{{""action1""},{2000,3000}}}}",
40301002,路人情侣,1,"{""qinglv""}","{""biaoqing4"",""biaoqing6""}","{""逛街好累啊~"",""脚磨出泡了""}",1,,
40303001,学生,1,"{""xuesheng""}","{""biaoqing2"",""biaoqing7"",""biaoqing8"",""biaoqing10""}","{""今天没有作业"",""回家打游戏"",""老师生病了""}",1,,
40303002,街道情侣,1,"{""qinglv""}","{""biaoqing7"",""biaoqing8"",""biaoqing9"",""biaoqing10""}","{""好想抱一下!"",""见到活的了"",""老公！快看！""}",0,"{{0,3200},{1,2000,{""idle0""}},{1,1000,{""action1""}},{1,2000,{""idle0""}},{99}}",
40303003,学生背面,2,"{""xueshengbeimian""}","{""biaoqing2"",""biaoqing7"",""biaoqing8"",""biaoqing10""}","{""今天没有作业"",""回家打游戏"",""老师生病了""}",1,,
40303004,狗,1,"{""dog""}",,,0,"{{0,3000},{1,5333,{""idle0""}},{99}}",
40303005,商务男路人,1,"{""shangwunan""}","{""biaoqing2"",""biaoqing10""}","{""分分钟100万"",""晚上去泡妞""}",1,,
40309001,商务男路人,1,"{""shangwunan""}","{""biaoqing2"",""biaoqing10""}","{""分分钟一百万"",""晚上去泡妞""}",1,,
40309002,商务男路人,2,"{""shangwunanbeimian""}","{""biaoqing3"",""biaoqing4""}","{""挣钱不容易啊"",""老板好烦啊""}",1,,
40309003,购物女,1,"{""gouwunv""}","{""biaoqing3"",""biaoqing5""}","{""撞衫了！！！""}",1,,
40309004,购物女背面,2,"{""gouwunv_b""}","{""biaoqing9"",""biaoqing1""}","{""给自己放个假"",""请假去购物！""}",1,,
40309005,情侣背面,2,"{""qinglv_b""}","{""biaoqing7"",""biaoqing8""}","{""今天事情不多"",""我们去吃饭吧""}",1,,
