"id(idx)","辅助描述","功能id(int,id)","开启条件(json,c)","未开启文字提示(str,d)","规则(funcs,t1)","规则描述(funcs,p1)","正式配置",
89600001,当老板（政务）,1,,,,,,
89600002,升级（官职）,2,,,,,,
89600003,关卡战斗,3,,,,,,
89600004,干正事（经营）,4,,,,,,
89600005,小弟（门客）,5,,,"{""专长"",""属性"",""等级"",""技能""}","{""*员工的专长越高，等级越高，属性加成越高、"",""*员工的属性之和即为势力，提高员工属性能快速提高势力值"",""*员工的初始等级上限100，其后每提升一次职位，可突破50级上限"",""*员工的技能用于茶楼触发""}",,
89600006,成就系统,6,,,,,,
89600007,任务系统,7,,,,,,
89600008,每日任务,8,,,,,,
89600009,谈生意（牢房）,9,"[{type:1,value:1}]",通过第2章《业务上门》,"{""谈生意""}","{""*在通关第二章时将结识商界大亨，开启谈生意玩法\n*与商界大亨谈生意时需要消耗酒量\n*通过通关章节可提升酒量上限，每日凌晨将更新酒量，酒量为上限*50%\n*每通关1章节可立即获得25点酒量\n*在和商界大亨谈生意时可获取资源奖励\n*当玩家结识6位商界大亨时可解锁【一键谈生意】功能\n""}","[{type:1,value:2}]",
89600010,电视台（皇宫）,10,,,,,,
89600011,做买卖（通商）,11,"[{type:2,value:10}]",达到 酒业新秀1 解锁玩法,"{""做买卖"",""战斗""}","{""*可通过消耗金币与其他商界富豪交易获得资源，根据城市不同，领取丰厚奖励。城市每日重置"",""*智商越高，做买卖消耗的金币越少""}","[{type:2,value:10}]",
89600012,抢地盘（讨伐）,12,"[{type:1,value:1}]",通关第80章《神秘来信》,"{""抢地盘"",""敌方血量""}","{""抢地盘每日0点重置）"",""每次战斗伤害不累加，战败后敌方恢复满血状态""}","[{type:1,value:80}]",
89600013,商会（联盟）,13,"[{type:2,value:6}]",达到 酒吧大老板3 解锁玩法,,,"[{type:2,value:6}]",
89600014,去散心（寻访）,14,"[{type:2,value:3}]",达到 酒吧小老板3 解锁玩法,"{""去散心"",""美女"",""运势"",""转运""}","{""*可通过去散心获得资源、美女"",""*可通过多次散心触发美女事件提升好感，好感度越高越容易获得"",""*运势的高低会影响去散心触发事件的类型"",""*运势低时，可通过金币、物资进行转运。""}","[{type:2,value:3}]",
89600015,美女系统,15,"[{type:7,value:1}]",获取第一个美女,"{""亲密度"",""魅力"",""约会"",""随机约会"",""技能""}","{""*影响领养孩子属性，亲密度越高，孩子属性越高"",""*影响随机约会获得的美女经验值"",""*获得1点亲密度及美女经验值（有较高概率领养到孩子）"",""*随机和一名已解锁美女约会并且获得美女经验值（有较低概率领养到孩子）"",""*升级技能能使对应员工属性获得提升""}","[{type:7,value:1}]",
89600016,子嗣系统,16,"[{type:3,value:1}]",获取第一个子嗣,"{""孩子属性"",""幼年资质"",""毕业文凭""}","{""*领养母亲的亲密度影响孩子的属性"",""*笨拙、平庸、聪慧、睿智、神童，等i就上限依次为10级、20级、30级、40级、50级（领养母亲亲密度决定孩子资质）"",""*高中、大专、本科、研究生、硕士、博士、博士后，举行婚礼时需有平等的毕业文凭才能结婚（孩子毕业时属性决定毕业文凭）""}","[{type:3,value:1}]",
89600017,联姻系统,17,"[{type:4,value:1}]",第一次高考,"{""结婚""}","{""*毕业孩子可与其他玩家的孩子举办婚礼，结婚后获得对方孩子的属性加成（结婚仅限于同等毕业文凭孩子）""}","[{type:4,value:1}]",
89600018,找乐子（酒楼）,18,"[{type:2,value:5}]",达到 酒吧大老板2 解锁玩法,"{""酒局"",""举办"",""参与""}","{""*酒局分为小型酒局和奢华酒局两种，只有小型酒局可以设置为私人酒局\n*小型酒局可供10人参加，豪华酒局可供50人参加\n"",""*举办酒局需要消耗对应的道具和钻石\n*酒局开启后将持续24小时，如果提前满员将提前关闭对外显示\n*酒局举办成功后将获得积分奖励\n"",""*参与酒局时需要提交礼品，也可以在酒局上捣乱\n*提交礼物的玩家可获得积分奖励，有概率获取酒局材料\n""}","[{type:2,value:5}]",
89600019,狗大户（世界BOSS）,19,,,,,,
89600020,家教（书院）,20,,,,,,
89600021,项目承包（翰林院）,21,"[{type:2,value:7}]",达到 酒吧大亨1 解锁玩法,"{""1抢项目开启规则"",""2项目组的创建与加入"",""3抢项目奖励"",""4抢夺项目胜负规则""}","{""* 富豪等级达到菜鸟小土豪开启，开启后可通过世界'抢项目'进入"",""* 抢项目开启后，玩家可承包项目组或加入项目组\n* 承包项目组需要消耗道具项目企划书，加入项目组无要求\n* 项目组承包创建后，包含创建者在内最多可容纳4个人。\n"",""* 项目组承包后，可持续180分钟获得项目经验，获得的经验与承包者富豪等级有关\n* 项目经验提高可完成不同目标的项目奖励，项目奖励为提升小弟书籍等级。\n"",""胜负判定：\n* 优先判定玩家是否正在使用称号，有称号的一方胜利\n* 若玩家均有使用称号，则判定称号等级，称号等级高的一方胜利\n* 若用户称号等级一致时，富豪等级高获胜\n* 当富豪等级一致时，富豪身价高的一方获胜\n* 当富豪等级与身价均一致时，势力高的一方获胜\n* 当富豪等级、身价、势力均一致时判定失败\n抢夺结算规则：\n* 项目被抢的一方将被踢出项目组，并结算当前获取项目经验 \n* 结算经验时单位为分钟，超出但未满1分钟的秒钟时间不进行结算。\n* 项目被抢的一方1小时之内不可再次抢夺\n* 玩家在主动抢项目失利的情况下，10分钟内不能对同一用户发起抢夺\n* 当富豪等级和身价均一致时，提示无法抢夺，该行为不计对同一用户的辩论CD\n其他规则：\n* 加入者可使用道具担保凭证，1小时内不可被其他人抢夺\n""}","[{type:2,value:7}]",
89600022,讲道理（衙门）,22,"[{type:5,value:15},{type:6,value:1}]",15个小弟且至少有1个小弟达到60级,"{""派遣"",""仇人"",""战斗"",""挑战/复仇"",""一键挑战""}","{""*员工≥60级才可派遣；\n*每日4次正常随机派遣次数，冷却时间60分钟\n*使用驳论凭证可额外增加讲道理次数（每日限用次数：≥60级员工总数/5）\n"",""*击败对方≥，会被记录到对方仇人列表种"",""*员工总资质为攻击力，总属性为血量"",""*可使用驳论凭证对上榜玩家进行挑战或对仇人进行复仇（每名员工每日限用1次）"",""*VIP6解锁一键挑战功能，一键挑战再茶楼冲榜结束前两小时暂停使用""}","[{type:5,value:15},{type:6,value:1}]",
89600023,排行榜,23,,,,,,
89600024,商城系统,24,,,,,,
