"ID{id,int}(idx)","装备类型{equipType,int}(num,equipType)","宝石等级{lv,int}(num,lv)","镶嵌等级（装备强化等级）","品质{qua,int}(num,qua)","属性条数随机权重{attSizeRate,json_intmap}(json,attSizeRate)","属性区间随机权重{attRate,ints}(fun,attRate)","对应的属性类型{attType,ints}(fun,attType)","对应的属性计算类型{calType,ints}(fun,calType)","对应属性区间的属性范围{attRange,json_intAry}(json,attRange)","图标(int,img)","名称(str,nm)","描述(str,desc)","大图标(str,BigImg)",
56800001,1,1,20,1,{1:1},{-1},{5},{2},"[[64,70]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800002,1,1,20,1,{1:1},{-1},{5},{2},"[[70,75]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800003,1,1,20,1,{1:1},{-1},{5},{2},"[[75,81]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800004,1,1,20,1,{1:1},{-1},{5},{2},"[[81,87]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800005,1,1,20,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[94,100],[90,96]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800006,1,1,20,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[100,106],[96,101]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800007,1,1,20,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[106,112],[101,107]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800008,1,1,20,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[112,118],[107,112]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800009,1,1,20,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[130,137],[125,131],[100,200]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800010,1,1,20,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[137,143],[131,137],[100,200]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800011,1,1,20,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[143,149],[137,143],[100,200]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800012,1,1,20,3,{3:1},"{-1,-1,-1}","{5,51,5}","{2,2,3}","[[149,155],[143,149],[100,200]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800013,1,1,20,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[157,170],[150,163],[300,400],[300,400]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800014,1,1,20,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[170,183],[163,175],[300,400],[300,400]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800015,1,1,20,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[183,196],[175,188],[300,400],[300,400]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800016,1,1,20,4,{4:1},"{-1,-1,-1,-1}","{5,51,5,51}","{2,2,3,3}","[[196,210],[188,200],[300,400],[300,400]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800017,1,2,40,1,{1:1},{-1},{5},{2},"[[128,140]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800018,1,2,40,1,{1:1},{-1},{5},{2},"[[140,151]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800019,1,2,40,1,{1:1},{-1},{5},{2},"[[151,163]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800020,1,2,40,1,{1:1},{-1},{5},{2},"[[163,175]]",10045018,红宝石,这个是一颗红宝石。,10045018,
56800021,1,2,40,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[189,200],[180,192]]",10045015,红宝石,这个是一颗红宝石。,10045015,
56800022,1,2,40,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[200,212],[192,203]]",10045016,红宝石,这个是一颗红宝石。,10045016,
56800023,1,2,40,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[212,224],[203,214]]",10045017,红宝石,这个是一颗红宝石。,10045017,
56800024,1,2,40,2,{2:1},"{-1,-1}","{5,51}","{2,2}","[[224,236],[214,225]]",10045018,红宝石,这个是一颗红宝石。,10045018,
