"ID{id,int}(idx)","BOSS名字(str,nm)","方头像(str,h1)","半身像(str,bsx)","需求公会等级{reqGuildLevel,int}(num,lv)","开启消耗公会资金{costGuildMoney,int}(num,costgm)","开启消耗元宝{costTre,int}(num,costzs)","BOSS血量{bossLf,long}(int,hp)","BOSS贡献奖励{baseFightPrize,int}(int,jlgx)","击杀奖励-联盟资金奖励{killGuildMoneyPrize,int}(int,jlzj)","击杀奖励{killPrize,int}","文字表描述1",
55000001,长江企业1号大佬,10031201,10032201,1,200,100,400000000,200,100,89700007,155000001,
55000002,长江企业2号大佬,10031202,10032202,1,400,200,1000000000,500,200,89700007,155000002,
55000003,长江企业3号大佬,10031203,10032203,2,800,400,2400000000,1200,400,89700007,155000003,
55000004,长江企业4号大佬,10031204,10032204,3,1200,600,4200000000,2100,600,89700007,155000004,
55000005,长江企业5号大佬,10031205,10032205,4,1600,800,6400000000,3200,800,89700008,155000005,
55000006,长江企业6号大佬,10031206,10032206,5,2000,1000,9000000000,4500,1000,89700008,155000006,
55000007,长江企业7号大佬,10031207,10032207,6,2400,1200,12000000000,6000,1200,89700008,155000007,
55000008,长江企业8号大佬,10031208,10032208,7,2800,1400,16800000000,8400,1400,89700008,155000008,
55000009,长江企业9号大佬,10031209,10032209,8,3200,1600,22400000000,11200,1600,89700009,155000009,
55000010,长江企业10号大佬,10031205,10032205,9,3600,1800,28800000000,14400,1800,89700009,155000010,
55000011,长江企业11号大佬,10031210,10032210,10,4000,2000,36000000000,18000,2000,89700009,155000011,
