"英雄ID{id,int}(id,number)","英雄名称(chinese_hero_name,string)","中文称号(chinese_nickname,string)",英文名,英文称号,"英雄类型{hero_type,int}","颜色{color_type,int}(color_type,number)","移动方式{move_type,int}(move_type,number)","武器{weapon_type,int}(weapon_type,number)","性别{gender,int}(gender,number)","战斗时头像资源id(battle_head,string)","受伤时头像资源id(injured_head,string)","方头像资源id(quadrate_head,string)","站立立绘资源id(stand_drawing,string)","普通攻击立绘资源id(attack_drawing,string)","奥义攻击立绘资源id(aoyi_drawing,string)","受伤立绘资源id(injured_drawing,string)",音频id,"对话文本(dialog,string)","简介(profile,string)","初始武器技能{weapon_skills,json_funcs}(weapon_skill,json)","初始辅助技能{support_skills,json_funcs}(support_skills,json)","初始奥义技能{aoyi_skills,json_funcs}(aoyi_skills,json)","初始被动技能A{a_skills,json_funcs}(a_skills,json)","初始被动技能B{b_skills,json_funcs}(b_skills,json)","初始被动技能C{c_skills,json_funcs}(c_skills,json)","HP{hps,ints}(hps,array)","攻击{attacks,ints}(attacks,array)","速度{speeds,ints}(speeds,array)","防守{defenses,ints}(defenses,array)","魔防{magic_defenses,ints}(magic_defenses,array)","技巧{techniques,ints}(techniques,array)","幸运{lucks,ints}(lucks,array)","祝福类型{bless_type,int}(bless_type,number)","祝福属性类型1{bless_type_1,int}（bless_type_1,number)","祝福类型值1{bless_value_1,int}(bless_value_1,number)","祝福属性类型2{bless_type_2,int}(bless_type_2,number)","祝福类型值2{bless_value_2,int}(bless_value_2,number)"
20122201,亚美利雅,战场之花,Amelia,Rose of the War,1,2,2,2,0,bh20122201,bh20122201,bh20122201,bb20122201,bb20122201,bb20122201,bb20122201,,,,"[{type:1,param:21120001,value:1},{type:1,param:21120002,value:2},{type:1,param:21120009,value:3},{type:1,param:21120010,value:5}]",[],"[{type:1,param:21350004,value:3},{type:1,param:21350005,value:4}]","[{type:1,param:21510096,value:1},{type:1,param:21510097,value:2},{type:1,param:21510098,value:4}]",[],"[{type:1,param:21530066,value:3},{type:1,param:21530067,value:4},{type:1,param:21530068,value:5}]","{17,38}","{4,25}","{6,25}","{7,26}","{2,16}","{7,23}","{2,15}",0,0,0,0,0
20111101,阿尔方斯,亚斯克王国的王子,Alfonse,Prince of Askr,1,1,1,1,1,bh20111101,bh20111101,bh20111101,bb20111101,bb20111101,bb20111101,bb20111101,,,,"[{type:1,param:21110001,value:1},{type:1,param:21110002,value:2},{type:1,param:21110003,value:3},{type:1,param:21110037,value:5}]",[],"[{type:1,param:21310021,value:2},{type:1,param:21310023,value:4}]","[{type:1,param:21510108,value:1},{type:1,param:21510109,value:2},{type:1,param:21510110,value:4}]",[],"[{type:1,param:21530084,value:3},{type:1,param:21530085,value:4},{type:1,param:21530086,value:5}]","{17,35}","{7,26}","{4,18}","{6,24}","{3,16}","{7,25}","{3,14}",0,0,0,0,0
20131301,露琪娜,伟大的公主,Lucina,Brave Princess,1,3,1,3,0,bh20131301,bh20131301,bh20131301,bb20131301,bb20131301,bb20131301,bb20131301,,,,"[{type:1,param:21130001,value:1},{type:1,param:21130002,value:2},{type:1,param:21130003,value:3},{type:1,param:21130040,value:5}]",[],"[{type:1,param:21310021,value:3},{type:1,param:21310023,value:4},{type:1,param:21310024,value:5}]","[{type:1,param:21510114,value:1},{type:1,param:21510122,value:2},{type:1,param:21510123,value:4}]",[],"[{type:1,param:21530087,value:3},{type:1,param:21530106,value:4},{type:1,param:21530107,value:5}]","{15,33}","{6,25}","{8,27}","{6,20}","{2,13}","{6,20}","{4,20}",0,0,0,0,0
20141401,克莱涅,黑暗狙击手,Clarisse,Sniper in the Dark,1,4,1,4,0,bh20141401,bh20141401,bh20141401,bb20141401,bb20141401,bb20141401,bb20141401,,,,"[{type:1,param:21140001,value:1},{type:1,param:21140002,value:2},{type:1,param:21140027,value:3},{type:1,param:21140028,value:5}]",[],"[{type:1,param:21310001,value:3},{type:1,param:21310002,value:4}]",[],"[{type:1,param:21520107,value:1},{type:1,param:21520108,value:2},{type:1,param:21520109,value:4}]","[{type:1,param:21530045,value:3},{type:1,param:21530046,value:4},{type:1,param:21530047,value:5}]","{16,30}","{5,23}","{6,25}","{4,18}","{3,14}","{4,20}","{6,22}",0,0,0,0,0
20122202,希玛,格拉的公主,Sheena,Princess of Gra,1,2,2,2,0,bh20122202,bh20122202,bh20122202,bb20122202,bb20122202,bb20122202,bb20122202,,,,"[{type:1,param:21120001,value:1},{type:1,param:21120002,value:2},{type:1,param:21120009,value:3},{type:1,param:21120008,value:5}]",[],"[{type:1,param:21350001,value:3},{type:1,param:21350002,value:4}]","[{type:1,param:21510048,value:4}]",[],"[{type:1,param:21530013,value:1},{type:1,param:21530014,value:2},{type:1,param:21530024,value:4}]","{19,37}","{6,22}","{4,18}","{10,28}","{5,24}","{7,25}","{2,18}",0,0,0,0,0
20111102,阿雷武,预言的勇者,Alm,Hero of Prophecy,1,1,1,1,1,bh20111102,bh20111102,bh20111102,bb20111102,bb20111102,bb20111102,bb20111102,,,,"[{type:1,param:21110001,value:1},{type:1,param:21110002,value:2},{type:1,param:21110003,value:3},{type:1,param:21110033,value:5}]",[],"[{type:1,param:21310004,value:3},{type:1,param:21310005,value:4}]","[{type:1,param:21510016,value:1},{type:1,param:21510017,value:2},{type:1,param:21510018,value:4}]","[{type:1,param:21520101,value:3},{type:1,param:21520102,value:4},{type:1,param:21520103,value:5}]",[],"{19,37}","{7,25}","{4,22}","{4,20}","{3,16}","{7,21}","{3,17}",0,0,0,0,0
20131302,夏蓉,亚斯克王国的公主,Sharena,Princess of Askr,1,3,1,3,0,bh20131302,bh20131302,bh20131302,bb20131302,bb20131302,bb20131302,bb20131302,,,,"[{type:1,param:21130001,value:1},{type:1,param:21130002,value:2},{type:1,param:21130003,value:3},{type:1,param:21130039,value:5}]","[{type:1,param:21409001,value:2}]",[],"[{type:1,param:21510019,value:1},{type:1,param:21510020,value:2},{type:1,param:21510021,value:4}]",[],"[{type:1,param:21530013,value:3},{type:1,param:21530014,value:4},{type:1,param:21530015,value:5}]","{17,35}","{6,24}","{6,24}","{5,21}","{3,16}","{6,22}","{4,18}",0,0,0,0,0
20141402,刹那,迷糊蛋,Setsuna,Absent Archer,1,4,1,4,0,bh20141402,bh20141402,bh20141402,bb20141402,bb20141402,bb20141402,bb20141402,,,,"[{type:1,param:21140002,value:1},{type:1,param:21140001,value:2},{type:1,param:21140011,value:3},{type:1,param:21140012,value:5}]","[{type:1,param:21410001,value:3}]",[],"[{type:1,param:21510013,value:3},{type:1,param:21510014,value:4},{type:1,param:21510015,value:5}]","[{type:1,param:21520084,value:1},{type:1,param:21520085,value:2},{type:1,param:21520086,value:4}]",[],"{16,30}","{4,20}","{7,28}","{3,16}","{4,17}","{4,22}","{6,22}",0,0,0,0,0
20122203,海克托尔,奥斯提亚的勇将,Hector,General of Ostia,1,2,2,2,1,bh20122203,bh20122203,bh20122203,bb20122203,bb20122203,bb20122203,bb20122203,,,,"[{type:1,param:21120001,value:1},{type:1,param:21120002,value:2},{type:1,param:21120003,value:3},{type:1,param:21120048,value:5}]",[],"[{type:1,param:21350001,value:3},{type:1,param:21350003,value:4}]","[{type:1,param:21510049,value:5}]",[],"[{type:1,param:21530084,value:1},{type:1,param:21530085,value:2},{type:1,param:21530116,value:4}]","{22,43}","{8,27}","{3,17}","{9,28}","{2,13}","{7,21}","{2,18}",0,0,0,0,0
20131303,多尼,村民,Donnel,Village Hero,1,3,1,3,1,bh20131303,bh20131303,bh20131303,bb20131303,bb20131303,bb20131303,bb20131303,,,,"[{type:1,param:21130001,value:1},{type:1,param:21130002,value:2},{type:1,param:21130005,value:3},{type:1,param:21130006,value:5}]","[{type:1,param:21410001,value:3}]",[],"[{type:1,param:21510013,value:1},{type:1,param:21510014,value:2},{type:1,param:21510015,value:4}]","[{type:1,param:21520129,value:3}]",[],"{15,34}","{5,26}","{3,21}","{4,23}","{2,16}","{6,25}","{4,15}",0,0,0,0,0
