"编码id{id,int}(id,number)","英雄ID{hero_id,int}(hero_id,number)","限制等级{need_level,int}(need_level,number)","转职前称号(pre_nickname,string)","转职后称号(post_nickname,string)","消耗道具数量{cost_items,json_funcs}(cost_items,json)","HP{max_hp,int}(max_hp,number)","攻击{max_attack,int}(max_attack,number)","速度{max_speed,int}(max_speed,number)","防守{max_defense,int}(max_defense,number)","魔防{max_magic_defense,int}(max_magic_defense,number)","技巧{max_technique,int}(max_technique,number)","幸运{max_luck,int}(max_luck,number)","武器技能{weapon_skills,json_funcs}(weapon_skills,json)","辅助技能{support_skills,json_funcs}(support_skills,json)","奥义技能{aoyi_skills,json_funcs}(aoyi_skills,json)","被动技能A{a_skills,json_funcs}(a_skills,json)","被动技能B{b_skills,json_funcs}(b_skills,json)","被动技能C{c_skills,json_funcs}(c_skills,json)"
20522201,20122201,40,重甲骑士,将军,"[{type:2,param:41080007,value:-1}]",59,46,44,45,30,39,28,[],[],[],[],[],[]
20511101,20111101,40,领主,大领主(待定),"[{type:2,param:41080001,value:-1}]",53,45,32,42,29,43,25,[],[],[],[],[],[]
20531301,20131301,40,重甲骑士,将军,"[{type:2,param:41080007,value:-1}]",51,44,46,34,24,34,36,[],[],[],[],[],[]
20541401,20141401,40,弓箭手,狙击手,"[{type:2,param:41080007,value:-1}]",44,41,44,32,25,36,38,[],[],[],[],[],[]
20522202,20122202,40,重甲骑士,将军,"[{type:2,param:41080007,value:-1}]",55,38,32,46,43,43,34,[],[],[],[],[],[]
20511102,20111102,40,战士,勇士,"[{type:2,param:41080001,value:-1}]",55,43,40,36,29,35,31,[],[],[],[],[],[]
20531302,20131302,40,战士,勇者(待定),"[{type:2,param:41080007,value:-1}]",53,42,42,37,29,38,32,[],[],[],[],[],[]
20541402,20141402,40,弓箭手,弓圣,"[{type:2,param:41080007,value:-1}]",44,36,49,29,30,40,38,[],[],[],[],[],[]
20522203,20122203,40,领主,重甲领主,"[{type:2,param:41080007,value:-1}]",64,46,31,47,24,35,34,[],[],[],[],[],[]
20531303,20131303,40,村民,勇者,"[{type:2,param:41080007,value:-1}]",53,47,39,42,30,44,26,[],[],[],[],[],[]
20511103,20111103,40,领主,利刃领主,"[{type:2,param:41080001,value:-1}]",44,36,47,33,39,45,31,[],[],[],[],[],[]
20541403,20141403,40,弓箭手,弓圣,"[{type:2,param:41080007,value:-1}]",44,32,44,20,44,36,38,[],[],[],[],[],[]
20524201,20124201,40,龙骑士,龙骑统帅,"[{type:2,param:41080007,value:-1}]",52,37,37,42,33,43,34,[],[],[],[],[],[]
20511104,20111104,40,领主,领主骑士,"[{type:2,param:41080002,value:-1}]",59,44,31,38,29,39,35,[],[],[],[],[],[]
20531304,20131304,40,领主,大领主,"[{type:2,param:41080007,value:-1}]",55,45,32,42,25,34,36,[],[],[],[],[],[]
20541404,20141404,40,弓箭手,狙击手,"[{type:2,param:41080007,value:-1}]",44,42,42,31,29,40,34,[],[],[],[],[],[]
20531305,20131305,40,领主,大领主(待定),"[{type:2,param:41080007,value:-1}]",47,38,41,38,44,34,30,[],[],[],[],[],[]
20511105,20111105,40,王子,统帅骑士,"[{type:2,param:41080002,value:-1}]",48,42,50,38,30,35,25,[],[],[],[],[],[]
20524202,20124202,40,龙骑士,龙骑统帅,"[{type:2,param:41080007,value:-1}]",56,37,30,49,29,45,30,[],[],[],[],[],[]
20541405,20141405,40,弓箭手,狙击手,"[{type:2,param:41080007,value:-1}]",53,41,32,42,20,30,34,[],[],[],[],[],[]
20534301,20134301,40,天马骑士,隼骑士,"[{type:2,param:41080007,value:-1}]",47,41,44,37,32,38,36,[],[],[],[],[],[]
20524203,20124203,40,龙骑士,龙骑统帅,"[{type:2,param:41080007,value:-1}]",44,38,42,36,41,43,38,[],[],[],[],[],[]
20511106,20111106,40,领主,大领主,"[{type:2,param:41080002,value:-1}]",57,49,32,41,20,45,29,[],[],[],[],[],[]
20541406,20141406,40,弓箭手,狙击手,"[{type:2,param:41080007,value:-1}]",48,39,43,25,31,36,42,[],[],[],[],[],[]
20511107,20111107,40,武士,剑圣,"[{type:2,param:41080002,value:-1}]",50,42,42,36,31,35,25,[],[],[],[],[],[]
20524204,20124204,40,龙骑士,龙骑统帅,"[{type:2,param:41080007,value:-1}]",56,50,32,42,19,43,38,[],[],[],[],[],[]
20534302,20134302,40,飞马骑士,圣飞马骑士,"[{type:2,param:41080007,value:-1}]",44,33,48,31,43,42,40,[],[],[],[],[],[]
20541407,20141407,40,弓箭手,狙击手,"[{type:2,param:41080007,value:-1}]",44,37,44,26,35,36,42,[],[],[],[],[],[]
20524205,20124205,40,龙骑士,龙骑统帅,"[{type:2,param:41080007,value:-1}]",55,50,32,44,24,35,30,[],[],[],[],[],[]
20511108,20111108,40,领主,大领主,"[{type:2,param:41080002,value:-1}]",52,33,45,33,36,45,31,[],[],[],[],[],[]
20534303,20134303,40,天马骑士,隼骑士,"[{type:2,param:41080007,value:-1}]",48,45,45,29,32,38,22,[],[],[],[],[],[]
20541408,20141408,40,弓箭手,狙击手,"[{type:2,param:41080007,value:-1}]",42,43,44,18,41,40,34,[],[],[],[],[],[]
20511109,20111109,40,佣兵,剑客,"[{type:2,param:41080002,value:-1}]",53,47,42,40,29,35,25,[],[],[],[],[],[]
20534304,20134304,40,天马骑士,隼骑士,"[{type:2,param:41080007,value:-1}]",43,45,38,31,42,34,40,[],[],[],[],[],[]
20524206,20124206,40,天马骑士,隼骑士,"[{type:2,param:41080007,value:-1}]",53,44,33,45,24,33,30,[],[],[],[],[],[]
20541409,20141409,40,弓箭手,弓圣,"[{type:2,param:41080007,value:-1}]",48,42,43,32,21,36,44,[],[],[],[],[],[]
20511110,20111110,40,武士,剑圣,"[{type:2,param:41080002,value:-1}]",49,44,45,35,28,35,25,[],[],[],[],[],[]
20524207,20124207,40,龙骑士,龙骑统帅,"[{type:2,param:41080007,value:-1}]",48,41,43,42,29,39,34,[],[],[],[],[],[]
20534305,20134305,40,天马骑士,隼骑士,"[{type:2,param:41080007,value:-1}]",52,37,34,32,44,38,30,[],[],[],[],[],[]
20543401,20143401,40,弓箭手,弓骑士,"[{type:2,param:41080007,value:-1}]",42,43,45,21,36,36,34,[],[],[],[],[],[]
20511111,20111111,40,领主,大领主,"[{type:2,param:41080002,value:-1}]",54,38,39,32,38,33,31,[],[],[],[],[],[]
20534306,20134306,40,天马武者,圣天马武者,"[{type:2,param:41080007,value:-1}]",49,47,42,32,31,28,32,[],[],[],[],[],[]
