"编码ID{id,int}(id,number)","性格名称(char_name,string)","性格组id{group_id,int}(group_id,number)","权重{weight,int}(weight,number)","HP{hp,int}(hp,number)","攻击{attack,int}(attack,number)","速度{speed,int}(speed,number)","防守{defense,int}(defense,number)","魔防{magic_defense,int}(magic_defense,number)","技巧{technique,int}(technique,number)","幸运{luck,int}(luck,number)"
90000001,怕寂寞,1,770,0,2,0,-2,0,0,0
90000002,勇敢,1,698,0,2,-2,0,0,0,0
90000003,固执,1,884,-2,2,0,0,0,0,0
90000004,顽皮,1,374,0,2,0,0,-2,0,0
90000005,大胆,1,130,0,-2,0,2,0,0,0
90000006,悠闲,1,390,0,0,-2,2,0,0,0
90000007,淘气,1,510,-2,0,0,2,0,0,0
90000008,乐天,1,159,0,0,0,2,-2,0,0
90000009,胆小,1,274,0,-2,2,0,0,0,0
90000010,急躁,1,413,0,0,2,-2,0,0,0
90000011,爽朗,1,388,-2,0,2,0,0,0,0
90000012,天真,1,476,0,0,2,0,-2,0,0
90000013,内敛,1,400,2,-2,0,0,0,0,0
90000014,慢吞吞,1,288,2,0,0,-2,0,0,0
90000015,冷静,1,964,2,0,-2,0,0,0,0
90000016,马虎,1,737,2,0,0,0,-2,0,0
90000017,温和,1,777,0,-2,0,0,2,0,0
90000018,温顺,1,304,0,0,0,-2,2,0,0
90000019,自大,1,620,0,0,-2,0,2,0,0
90000020,慎重,1,444,-2,0,0,0,2,0,0
90000021,怕寂寞,2,449,0,2,0,-2,0,0,0
90000022,勇敢,2,573,0,2,-2,0,0,0,0
90000023,固执,2,523,-2,2,0,0,0,0,0
90000024,顽皮,2,445,0,2,0,0,-2,0,0
90000025,大胆,2,308,0,-2,0,2,0,0,0
90000026,悠闲,2,631,0,0,-2,2,0,0,0
90000027,淘气,2,766,-2,0,0,2,0,0,0
90000028,乐天,2,553,0,0,0,2,-2,0,0
90000029,胆小,2,461,0,-2,2,0,0,0,0
90000030,急躁,2,348,0,0,2,-2,0,0,0
90000031,爽朗,2,741,-2,0,2,0,0,0,0
90000032,天真,2,367,0,0,2,0,-2,0,0
90000033,内敛,2,383,2,-2,0,0,0,0,0
90000034,慢吞吞,2,390,2,0,0,-2,0,0,0
90000035,冷静,2,476,2,0,-2,0,0,0,0
90000036,马虎,2,380,2,0,0,0,-2,0,0
90000037,温和,2,645,0,-2,0,0,2,0,0
90000038,温顺,2,372,0,0,0,-2,2,0,0
90000039,自大,2,501,0,0,-2,0,2,0,0
90000040,慎重,2,688,-2,0,0,0,2,0,0
90000041,怕寂寞,3,423,0,2,0,-2,0,0,0
90000042,勇敢,3,516,0,2,-2,0,0,0,0
90000043,固执,3,752,-2,2,0,0,0,0,0
90000044,顽皮,3,489,0,2,0,0,-2,0,0
90000045,大胆,3,366,0,-2,0,2,0,0,0
90000046,悠闲,3,677,0,0,-2,2,0,0,0
90000047,淘气,3,321,-2,0,0,2,0,0,0
90000048,乐天,3,786,0,0,0,2,-2,0,0
90000049,胆小,3,458,0,-2,2,0,0,0,0
90000050,急躁,3,483,0,0,2,-2,0,0,0
90000051,爽朗,3,311,-2,0,2,0,0,0,0
90000052,天真,3,532,0,0,2,0,-2,0,0
90000053,内敛,3,464,2,-2,0,0,0,0,0
90000054,慢吞吞,3,736,2,0,0,-2,0,0,0
