"±àÂëID{id,int}(id,number)","Ó¢ÐÛ±àÂë{hero_id,int}(hero_id,number)","Í»ÆÆ´ÎÊý{level,int}(level,number)","Í»ÆÆÏûºÄ{stage_costs,json_funcs}(stage_costs,json)","ÑªÁ¿{hp,int}(hp,number)","¹¥»÷{attack,int}(attack,number)","·ÀÓù{defense,int}(defense,number)","Ä§·À{magic_defense,int}(magic_defense,number)","ËÙ¶È{speed,int}(speed,number)","¼¼ÇÉ{technique,int}(technique,number)","ÐÒÔË{luck,int}(luck,number)"
20400001,20122201,1,"[{type:3,param:20122201,value:-1}]",2,2,0,0,0,2,0
20400002,20122201,2,"[{type:3,param:20122201,value:-1}]",4,2,2,0,2,2,0
20400003,20122201,3,"[{type:3,param:20122201,value:-1}]",4,4,2,2,2,4,0
20400004,20122201,4,"[{type:3,param:20122201,value:-1}]",4,4,4,2,4,4,2
20400005,20122201,5,"[{type:3,param:20122201,value:-1}]",6,4,4,4,4,4,4
20400006,20122201,6,"[{type:3,param:20122201,value:-1}]",8,6,4,4,4,6,4
20400007,20122201,7,"[{type:3,param:20122201,value:-1}]",10,6,6,4,6,6,4
20400008,20122201,8,"[{type:3,param:20122201,value:-1}]",10,8,6,6,6,8,4
20400009,20122201,9,"[{type:3,param:20122201,value:-1}]",10,8,8,6,6,8,6
20400010,20122201,10,"[{type:3,param:20122201,value:-1}]",12,8,8,8,8,8,8
20400011,20111101,1,"[{type:3,param:20111101,value:-1}]",2,2,0,0,0,2,0
20400012,20111101,2,"[{type:3,param:20111101,value:-1}]",4,2,2,0,2,2,0
20400013,20111101,3,"[{type:3,param:20111101,value:-1}]",4,4,2,2,2,4,0
20400014,20111101,4,"[{type:3,param:20111101,value:-1}]",4,4,4,2,4,4,2
20400015,20111101,5,"[{type:3,param:20111101,value:-1}]",6,4,4,4,4,4,4
20400016,20111101,6,"[{type:3,param:20111101,value:-1}]",8,6,4,4,4,6,4
20400017,20111101,7,"[{type:3,param:20111101,value:-1}]",10,6,6,4,6,6,4
20400018,20111101,8,"[{type:3,param:20111101,value:-1}]",10,8,6,6,6,8,4
20400019,20111101,9,"[{type:3,param:20111101,value:-1}]",10,8,8,6,6,8,6
20400020,20111101,10,"[{type:3,param:20111101,value:-1}]",12,8,8,8,8,8,8
20400021,20131301,1,"[{type:3,param:20131301,value:-1}]",2,2,0,0,0,2,0
20400022,20131301,2,"[{type:3,param:20131301,value:-1}]",4,2,2,0,2,2,0
20400023,20131301,3,"[{type:3,param:20131301,value:-1}]",4,4,2,2,2,4,0
20400024,20131301,4,"[{type:3,param:20131301,value:-1}]",4,4,4,2,4,4,2
20400025,20131301,5,"[{type:3,param:20131301,value:-1}]",6,4,4,4,4,4,4
20400026,20131301,6,"[{type:3,param:20131301,value:-1}]",8,6,4,4,4,6,4
20400027,20131301,7,"[{type:3,param:20131301,value:-1}]",10,6,6,4,6,6,4
20400028,20131301,8,"[{type:3,param:20131301,value:-1}]",10,8,6,6,6,8,4
20400029,20131301,9,"[{type:3,param:20131301,value:-1}]",10,8,8,6,6,8,6
20400030,20131301,10,"[{type:3,param:20131301,value:-1}]",12,8,8,8,8,8,8
20400031,20141401,1,"[{type:3,param:20141401,value:-1}]",2,2,0,0,0,2,0
20400032,20141401,2,"[{type:3,param:20141401,value:-1}]",4,2,2,0,2,2,0
20400033,20141401,3,"[{type:3,param:20141401,value:-1}]",4,4,2,2,2,4,0
20400034,20141401,4,"[{type:3,param:20141401,value:-1}]",4,4,4,2,4,4,2
20400035,20141401,5,"[{type:3,param:20141401,value:-1}]",6,4,4,4,4,4,4
20400036,20141401,6,"[{type:3,param:20141401,value:-1}]",8,6,4,4,4,6,4
20400037,20141401,7,"[{type:3,param:20141401,value:-1}]",10,6,6,4,6,6,4
20400038,20141401,8,"[{type:3,param:20141401,value:-1}]",10,8,6,6,6,8,4
20400039,20141401,9,"[{type:3,param:20141401,value:-1}]",10,8,8,6,6,8,6
20400040,20141401,10,"[{type:3,param:20141401,value:-1}]",12,8,8,8,8,8,8
20400041,20122202,1,"[{type:3,param:20122202,value:-1}]",2,2,0,0,0,2,0
20400042,20122202,2,"[{type:3,param:20122202,value:-1}]",4,2,2,0,2,2,0
20400043,20122202,3,"[{type:3,param:20122202,value:-1}]",4,4,2,2,2,4,0
20400044,20122202,4,"[{type:3,param:20122202,value:-1}]",4,4,4,2,4,4,2
20400045,20122202,5,"[{type:3,param:20122202,value:-1}]",6,4,4,4,4,4,4
