"编码ID{id,int}(id,number)","英雄ID{hero_id,int}(hero_id,number)","对应星级{level,int}(level,number)","道具消耗{cost_items,json_funcs}(cost_items,json)","HP{hp,int}(hp,number)","攻击{attack,int}(attack,number)","速度{speed,int}(speed,number)","防守{defense,int}(defense,number)","魔防{magic_defense,int}(magic_defense,number)","技巧{technique,int}(technique,number)","幸运{luck,int}(luck,number)","已装备武器技能{equiped_weapon_skill,int}(equiped_weapon_skill,number)","已装备辅助技能{equiped_support_skill,int}(equiped_support_skill,number)"
20300001,20122201,1,[],0,0,0,0,0,0,0,21120001,0
20300002,20122201,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",2,2,3,3,1,2,1,21120002,0
20300003,20122201,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",5,5,5,5,4,5,2,21120009,0
20300004,20122201,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",6,6,7,7,5,7,3,21120009,0
20300005,20122201,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",9,9,9,9,7,9,5,21120010,0
20300006,20111101,1,[],0,0,0,0,0,0,0,21110001,0
20300007,20111101,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,3,1,2,1,2,1,21110002,0
20300008,20111101,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,5,4,4,3,5,3,21110003,0
20300009,20111101,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,7,5,6,4,7,4,21110003,0
20300010,20111101,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",8,9,7,8,6,9,5,21110037,0
20300011,20131301,1,[],0,0,0,0,0,0,0,21130001,0
20300012,20131301,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,2,3,2,1,2,2,21130002,0
20300013,20131301,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",4,5,5,4,3,5,4,21130003,0
20300014,20131301,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",5,6,7,6,4,6,5,21130003,0
20300015,20131301,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",8,9,9,7,6,8,8,21130040,0
20300016,20141401,1,[],0,0,0,0,0,0,0,21140001,0
20300017,20141401,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,2,3,1,1,2,2,21140002,0
20300018,20141401,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",4,4,5,4,3,4,5,21140002,0
20300019,20141401,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",5,6,7,5,4,5,6,21140027,0
20300020,20141401,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",7,8,9,7,6,8,9,21140028,0
20300021,20122202,1,[],0,0,0,0,0,0,0,21120001,0
20300022,20122202,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",1,2,1,2,2,2,1,21120002,0
20300023,20122202,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,5,5,3,21120009,0
20300024,20122202,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",5,6,5,6,6,7,4,21120009,0
20300025,20122202,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",8,8,7,8,9,9,7,21120008,0
20300026,20111102,1,[],0,0,0,0,0,0,0,21110001,0
20300027,20111102,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,2,1,2,1,2,1,21110002,0
20300028,20111102,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,3,5,4,21110003,0
20300029,20111102,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,6,5,6,4,7,5,21110003,0
20300030,20111102,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",8,8,8,8,6,8,6,21110033,0
20300031,20131302,1,[],0,0,0,0,0,0,0,21130001,0
20300032,20131302,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",1,2,2,1,1,2,2,21130002,0
20300033,20131302,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",4,4,4,4,3,5,4,21130003,0
20300034,20131302,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",5,6,6,5,4,6,5,21130003,0
20300035,20131302,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",8,8,8,8,6,9,7,21130039,0
20300036,20141402,1,[],0,0,0,0,0,0,0,21140001,0
20300037,20141402,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,1,3,1,2,2,2,21140002,0
20300038,20141402,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",4,4,5,3,3,4,5,21140002,0
20300039,20141402,4,"[{type:2,param:41020007,value:-20},{type:2,param:41020009,value:-2000}]",5,5,7,4,5,5,6,21140011,0
20300040,20141402,5,"[{type:2,param:41020008,value:-20},{type:2,param:41020009,value:-20000}]",7,8,9,6,6,8,9,21140012,0
20300041,20122203,1,[],0,0,0,0,0,0,0,21120001,0
20300042,20122203,2,"[{type:2,param:41020003,value:-5},{type:2,param:41020009,value:-20}]",2,3,1,3,1,2,1,21120002,0
20300043,20122203,3,"[{type:2,param:41020003,value:-10},{type:2,param:41020009,value:-200}]",5,5,4,5,3,5,3,21120003,0
20300044,20122203,4,"[{type:2,param:41020003,value:-20},{type:2,param:41020009,value:-2000}]",6,7,5,7,4,7,4,21120003,0
20300045,20122203,5,"[{type:2,param:41020004,value:-20},{type:2,param:41020009,value:-20000}]",9,9,7,9,6,8,7,21120048,0
20300046,20131303,1,[],0,0,0,0,0,0,0,21130001,0
20300047,20131303,2,"[{type:2,param:41020005,value:-5},{type:2,param:41020009,value:-20}]",2,3,1,3,1,3,2,21130002,0
20300048,20131303,3,"[{type:2,param:41020005,value:-10},{type:2,param:41020009,value:-200}]",5,5,4,5,4,6,3,21130005,0
20300049,20131303,4,"[{type:2,param:41020005,value:-20},{type:2,param:41020009,value:-2000}]",6,7,5,7,5,7,4,21130005,0
20300050,20131303,5,"[{type:2,param:41020006,value:-20},{type:2,param:41020009,value:-20000}]",9,9,8,9,7,10,6,21130006,0
20300051,20111103,1,[],0,0,0,0,0,0,0,21110001,0
20300052,20111103,2,"[{type:2,param:41020001,value:-5},{type:2,param:41020009,value:-20}]",1,1,3,2,1,3,1,21110002,0
20300053,20111103,3,"[{type:2,param:41020001,value:-10},{type:2,param:41020009,value:-200}]",4,4,5,4,4,6,4,21110003,0
20300054,20111103,4,"[{type:2,param:41020001,value:-20},{type:2,param:41020009,value:-2000}]",5,5,7,6,5,8,5,21110003,0
20300055,20111103,5,"[{type:2,param:41020002,value:-20},{type:2,param:41020009,value:-20000}]",7,8,9,7,8,10,6,21110048,0
20300056,20141403,1,[],0,0,0,0,0,0,0,21140001,0
20300057,20141403,2,"[{type:2,param:41020007,value:-5},{type:2,param:41020009,value:-20}]",1,1,3,1,3,2,2,21140002,0
20300058,20141403,3,"[{type:2,param:41020007,value:-10},{type:2,param:41020009,value:-200}]",4,4,5,3,5,4,5,21140007,0
