"编号(idx){id,int}","章节编号{charpterId,int}(num,charpterId)","关卡名称(str,subcharpterId)","关卡坐标(fun,pos)","策划自己看的副本名称","副本类型(num,fbLx)","前置编号{parentId,int}(num,parentId)","怪物编号{monsterId,int}(num,monsterId)","开启等级{openLv,int}(num,openLv)","每日挑战次数{dayFightCount,int}(num,dayFightCount)","需求体力{reqAp,int}(num,reqAp)","扫荡所需道具{sweepReqGid,int}(num,sweepReqGid)","扫荡所需道具数量{sweepReqGidNum,int}(num,sweepReqGidNum)","首次通关奖励id{firstPrizeId,int}(num,firstPrizeId)","通关奖励{prizeId,int}(num,prizeId)","奖励内容|自己看的","游戏币奖励(num,bounsRev)","主角经验奖励{leaderExp,int}(num,mainRoleExp)","角色经验奖励","道具奖励(fun,propsReward)","推荐战力(num,powerRec)",
50010001,50100001,10049001,"{183.82,178.63}",1章_1关,1,0,25000001,1,99,5,0,0,70101001,70101001,111,80,5,50,"{56000007,56000001}",3000,
50010002,50100001,10049002,"{637.82,352.63}",1章_2关,1,50010001,25000002,3,99,5,0,0,70101001,70101002,111,80,5,50,"{56000008,56000001}",3100,
50010003,50100001,10049001,"{599.82,31.63}",1章_3关,3,50010002,25000003,4,99,5,0,0,70101001,70101003,111,80,5,50,"{56000009,56000001}",3200,
50010004,50100002,10049002,"{125.23,170.22}",2章_1关,1,50010003,25000001,4,99,5,0,0,70101001,70101004,111,90,5,50,"{56000010,56000001}",3300,
50010005,50100002,10049001,"{263.49,296.36}",2章_2关,1,50010004,25000002,5,99,5,0,0,70101001,70101005,111,90,5,50,"{56000007,56000001}",3400,
50010006,50100002,10049002,"{529.1,336.38}",2章_3关,1,50010005,25000003,6,99,5,0,0,70101001,70101006,111,90,5,50,"{56000008,56000001}",3500,
50010007,50100002,10049001,"{538.81,47.73}",2章_4关,1,50010006,25000001,7,99,5,0,0,70101001,70101007,111,90,5,50,"{56000009,56000001}",3600,
50010008,50100002,10049002,"{776.65,163.02}",2章_5关,3,50010007,25000002,8,99,5,0,0,70101001,70101008,111,90,5,50,"{56000010,56000001}",3700,
50010009,50100003,10049001,"{166.16,355.36}",3章_1关,1,50010008,25000003,8,99,5,0,0,70101001,70101009,111,90,5,50,"{56000007,56000001}",3800,
50010010,50100003,10049002,"{31.54,211.03}",3章_2关,1,50010009,25000001,9,99,5,0,0,70101001,70101010,111,100,5,50,"{56000008,56000001}",3900,
50010011,50100003,10049001,"{124.92,25.47}",3章_3关,1,50010010,25000002,10,99,5,0,0,70101001,70101011,111,100,5,50,"{56000009,56000001}",4000,
50010012,50100003,10049002,"{357.78,88.54}",3章_4关,1,50010011,25000003,11,99,5,0,0,70101001,70101012,111,100,5,50,"{56000010,56000001}",4100,
50010013,50100003,10049001,"{432.98,342.02}",3章_5关,1,50010012,25000001,11,99,5,0,0,70101001,70101013,111,100,5,50,"{56000007,56000001}",4200,
50010014,50100003,10049002,"{613.69,356.57}",3章_6关,1,50010013,25000002,12,99,5,0,0,70101001,70101014,111,100,5,50,"{56000008,56000001}",4300,
50010015,50100003,10049001,"{714.36,202.54}",3章_7关,1,50010014,25000003,12,99,5,0,0,70101001,70101015,111,110,5,50,"{56000009,56000001}",4400,
50010016,50100003,10049002,"{499.69,9.7}",3章_8关,3,50010015,25000001,13,99,5,0,0,70101001,70101016,111,110,5,50,"{56000010,56000001}",4500,
50010017,50100004,10049001,"{166.16,355.36}",4章_1关,1,50010016,25000002,14,99,5,0,0,70101001,70101017,111,110,5,50,"{56000007,56000001}",4600,
50010018,50100004,10049002,"{31.54,211.03}",4章_2关,1,50010017,25000003,14,99,5,0,0,70101001,70101018,111,110,5,50,"{56000008,56000001}",4700,
