"编号(idx){id,int}","章节名称(str,charpterName)","策划自己看的章节名称","前置编号(num,parentId)","开启等级(num,openLv)","章节头像(str,charpterhead)","章节背景图(str,charpterback)","星级数量{stars,ints}(fun,stars)","奖励物品编号{prizeIds,ints}(fun,prizeIds)",
50100001,10049005,羁绊的起始,0,1,10049006,fuben001,"{3,6,9}","{70102001,70103001,70104001}",
50100002,10049012,羁绊的起始,50100001,4,10049006,fuben001,"{5,10,15}","{70102002,70103002,70104002}",
50100003,10049013,羁绊的起始,50100002,8,10049006,fuben001,"{10,20,30}","{70102003,70103003,70104003}",
50100004,10049014,羁绊的起始,50100003,14,10049006,fuben001,"{10,20,30}","{70102004,70103004,70104004}",
50100005,10049015,羁绊的起始,50100004,18,10049006,fuben001,"{10,20,30}","{70102005,70103005,70104005}",
50100006,10049005,羁绊的起始,50100005,23,10049006,fuben001,"{10,20,30}","{70102006,70103006,70104006}",
50100007,10049012,羁绊的起始,50100006,27,10049006,fuben001,"{10,20,30}","{70102007,70103007,70104007}",
50100008,10049013,羁绊的起始,50100007,31,10049006,fuben001,"{10,20,30}","{70102008,70103008,70104008}",
50100009,10049014,羁绊的起始,50100008,34,10049006,fuben001,"{10,20,30}","{70102009,70103009,70104009}",
50100010,10049015,羁绊的起始,50100009,38,10049006,fuben001,"{10,20,30}","{70102010,70103010,70104010}",
50100011,10049005,羁绊的起始,50100010,41,10049006,fuben001,"{10,20,30}","{70102011,70103011,70104011}",
50100012,10049012,羁绊的起始,50100011,45,10049006,fuben001,"{10,20,30}","{70102012,70103012,70104012}",
50100013,10049013,羁绊的起始,50100012,48,10049006,fuben001,"{10,20,30}","{70102013,70103013,70104013}",
50100014,10049014,羁绊的起始,50100013,51,10049006,fuben001,"{10,20,30}","{70102014,70103014,70104014}",
50100015,10049015,羁绊的起始,50100014,55,10049006,fuben001,"{10,20,30}","{70102015,70103015,70104015}",
50100016,10049005,羁绊的起始,50100015,58,10049006,fuben001,"{10,20,30}","{70102016,70103016,70104016}",
50100017,10049012,羁绊的起始,50100016,61,10049006,fuben001,"{10,20,30}","{70102017,70103017,70104017}",
50100018,10049013,羁绊的起始,50100017,64,10049006,fuben001,"{10,20,30}","{70102018,70103018,70104018}",
50100019,10049014,羁绊的起始,50100018,67,10049006,fuben001,"{10,20,30}","{70102019,70103019,70104019}",
50100020,10049015,羁绊的起始,50100019,70,10049006,fuben001,"{10,20,30}","{70102020,70103020,70104020}",
50100021,10049005,羁绊的起始,50100020,73,10049006,fuben001,"{10,20,30}","{70102021,70103021,70104021}",
50100022,10049012,羁绊的起始,50100021,76,10049006,fuben001,"{10,20,30}","{70102022,70103022,70104022}",
