"进阶id{id,int}(idx)","角色id{hcid,int}(num,hcid)","阶级{grade,int}(num,grade)","角色等级限制{levelLimit,int}(num,levelLimit)","生命(num,lf){lf,int}","物理攻击(num,ptk){ptk,int}","魔法攻击(num,stk){stk,int}","物理防御(num,pdf){pdf,int}","魔法防御(num,sdf){sdf,int}","进阶货币消耗{upGradeCost,json_func}(json,upGradeCost)","道具id1{goodsId1,int}(num,goodsId1)","道具数量1{goodsNum1,int}(num,goodsNum1)","道具id2{goodsId2,int}(num,goodsId2)","道具数量2{goodsNum2,int}(num,goodsNum2)","道具id3{goodsId3,int}(num,goodsId3)","道具数量3{goodsNum3,int}(num,goodsNum3)","道具id4{goodsId4,int}(num,goodsId4)","道具数量4{goodsNum4,int}(num,goodsNum4)",
1,21000001,0,1,0,0,0,0,0,,56000008,1,56000010,1,56000008,1,56000009,1,
2,21000001,1,1,523,285,0,53,42,"{type:4,param:80400001,value:-500}",56000010,1,56000009,1,56000010,1,56000009,1,
3,21000001,2,5,1045,571,0,105,84,"{type:4,param:80400001,value:-1000}",56000007,1,56000010,1,56000007,1,56000010,1,
4,21000001,3,5,1568,856,0,158,126,"{type:4,param:80400001,value:-3100}",56000009,1,56000008,1,56000009,1,56000007,1,
5,21000001,4,10,2613,1427,0,263,210,"{type:4,param:80400001,value:-7200}",56000010,1,56000009,1,56000008,1,56000009,1,
6,21000001,5,15,3397,1855,0,342,273,"{type:4,param:80400001,value:-13700}",56000010,1,56000008,1,56000010,1,56000007,1,
7,21000001,6,20,4181,2283,0,421,336,"{type:4,param:80400001,value:-22800}",56000008,1,56000009,1,56000007,1,56000009,1,
8,21000001,7,25,4965,2711,0,500,399,"{type:4,param:80400001,value:-34800}",56000008,1,56000009,1,56000010,1,56000007,1,
9,21000001,8,30,6533,3567,0,658,525,"{type:4,param:80400001,value:-49900}",56000010,1,56000009,1,56000007,1,56000009,1,
10,21000001,9,35,7579,4137,0,764,609,"{type:4,param:80400001,value:-68100}",56000007,1,56000009,1,56000007,1,56000010,1,
11,21000001,10,40,8624,4708,0,869,693,"{type:4,param:80400001,value:-89800}",56000007,1,56000010,1,56000009,1,56000007,1,
12,21000001,11,45,9669,5279,0,974,777,"{type:4,param:80400001,value:-115000}",56000009,1,56000007,1,56000009,1,56000010,1,
13,21000001,12,50,11760,6420,0,1185,945,"{type:4,param:80400001,value:-143900}",56000010,1,56000008,1,56000007,1,56000009,1,
14,21000001,13,55,13067,7133,0,1317,1050,"{type:4,param:80400001,value:-176600}",56000007,1,56000009,1,56000007,1,56000009,1,
15,21000001,14,60,14373,7847,0,1448,1155,"{type:4,param:80400001,value:-213300}",56000007,1,56000010,1,56000007,1,56000009,1,
16,21000001,15,65,15680,8560,0,1580,1260,"{type:4,param:80400001,value:-253900}",56000010,1,56000009,1,56000009,1,56000007,1,
17,21000002,0,1,0,0,0,0,0,,56000008,1,56000009,1,56000008,1,56000010,1,
18,21000002,1,1,528,283,0,52,42,"{type:4,param:80400001,value:-500}",56000007,1,56000008,1,56000010,1,56000008,1,
19,21000002,2,5,1056,565,0,104,84,"{type:4,param:80400001,value:-1000}",56000008,1,56000010,1,56000008,1,56000009,1,
20,21000002,3,5,1584,848,0,156,126,"{type:4,param:80400001,value:-3100}",56000009,1,56000008,1,56000009,1,56000007,1,
21,21000002,4,10,2640,1413,0,260,210,"{type:4,param:80400001,value:-7200}",56000010,1,56000010,1,56000008,1,56000009,1,
22,21000002,5,15,3432,1837,0,338,273,"{type:4,param:80400001,value:-13700}",56000009,1,56000008,1,56000009,1,56000008,1,
23,21000002,6,20,4224,2261,0,416,336,"{type:4,param:80400001,value:-22800}",56000008,1,56000010,1,56000008,1,56000009,1,
24,21000002,7,25,5016,2685,0,494,399,"{type:4,param:80400001,value:-34800}",56000009,1,56000010,1,56000008,1,56000010,1,
25,21000002,8,30,6600,3533,0,650,525,"{type:4,param:80400001,value:-49900}",56000008,1,56000008,1,56000007,1,56000008,1,
26,21000002,9,35,7656,4099,0,754,609,"{type:4,param:80400001,value:-68100}",56000010,1,56000010,1,56000008,1,56000010,1,
27,21000002,10,40,8712,4664,0,858,693,"{type:4,param:80400001,value:-89800}",56000009,1,56000007,1,56000009,1,56000010,1,
28,21000002,11,45,9768,5229,0,962,777,"{type:4,param:80400001,value:-115000}",56000008,1,56000007,1,56000009,1,56000010,1,
29,21000002,12,50,11880,6360,0,1170,945,"{type:4,param:80400001,value:-143900}",56000010,1,56000008,1,56000007,1,56000008,1,
30,21000002,13,55,13200,7067,0,1300,1050,"{type:4,param:80400001,value:-176600}",56000008,1,56000009,1,56000008,1,56000010,1,
31,21000002,14,60,14520,7773,0,1430,1155,"{type:4,param:80400001,value:-213300}",56000010,1,56000010,1,56000008,1,56000010,1,
32,21000002,15,65,15840,8480,0,1560,1260,"{type:4,param:80400001,value:-253900}",56000009,1,56000010,1,56000009,1,56000007,1,
33,21000003,0,1,0,0,0,0,0,,56000008,1,56000009,1,56000007,1,56000010,1,
34,21000003,1,1,528,280,0,53,43,"{type:4,param:80400001,value:-500}",56000007,1,56000008,1,56000007,1,56000009,1,
35,21000003,2,5,1056,560,0,105,85,"{type:4,param:80400001,value:-1000}",56000007,1,56000009,1,56000007,1,56000010,1,
36,21000003,3,5,1584,840,0,158,128,"{type:4,param:80400001,value:-3100}",56000010,1,56000007,1,56000010,1,56000008,1,
37,21000003,4,10,2640,1400,0,263,213,"{type:4,param:80400001,value:-7200}",56000010,1,56000009,1,56000008,1,56000009,1,
38,21000003,5,15,3432,1820,0,342,277,"{type:4,param:80400001,value:-13700}",56000010,1,56000008,1,56000010,1,56000007,1,
39,21000003,6,20,4224,2240,0,421,341,"{type:4,param:80400001,value:-22800}",56000008,1,56000010,1,56000008,1,56000010,1,
40,21000003,7,25,5016,2660,0,500,405,"{type:4,param:80400001,value:-34800}",56000008,1,56000010,1,56000009,1,56000007,1,
41,21000003,8,30,6600,3500,0,658,533,"{type:4,param:80400001,value:-49900}",56000009,1,56000008,1,56000007,1,56000008,1,
42,21000003,9,35,7656,4060,0,764,619,"{type:4,param:80400001,value:-68100}",56000009,1,56000010,1,56000007,1,56000009,1,
43,21000003,10,40,8712,4620,0,869,704,"{type:4,param:80400001,value:-89800}",56000007,1,56000007,1,56000009,1,56000010,1,
44,21000003,11,45,9768,5180,0,974,789,"{type:4,param:80400001,value:-115000}",56000009,1,56000010,1,56000008,1,56000007,1,
45,21000003,12,50,11880,6300,0,1185,960,"{type:4,param:80400001,value:-143900}",56000010,1,56000008,1,56000007,1,56000009,1,
46,21000003,13,55,13200,7000,0,1317,1067,"{type:4,param:80400001,value:-176600}",56000008,1,56000009,1,56000007,1,56000009,1,
47,21000003,14,60,14520,7700,0,1448,1173,"{type:4,param:80400001,value:-213300}",56000007,1,56000010,1,56000008,1,56000009,1,
48,21000003,15,65,15840,8400,0,1580,1280,"{type:4,param:80400001,value:-253900}",56000009,1,56000008,1,56000009,1,56000007,1,
49,21000004,0,1,0,0,0,0,0,,56000008,1,56000010,1,56000008,1,56000009,1,
50,21000004,1,1,533,280,0,53,42,"{type:4,param:80400001,value:-500}",56000010,1,56000009,1,56000007,1,56000008,1,
51,21000004,2,5,1067,560,0,107,84,"{type:4,param:80400001,value:-1000}",56000008,1,56000009,1,56000008,1,56000009,1,
52,21000004,3,5,1600,840,0,160,126,"{type:4,param:80400001,value:-3100}",56000009,1,56000008,1,56000009,1,56000008,1,
53,21000004,4,10,2667,1400,0,267,210,"{type:4,param:80400001,value:-7200}",56000008,1,56000009,1,56000008,1,56000010,1,
54,21000004,5,15,3467,1820,0,347,273,"{type:4,param:80400001,value:-13700}",56000009,1,56000007,1,56000009,1,56000007,1,
55,21000004,6,20,4267,2240,0,427,336,"{type:4,param:80400001,value:-22800}",56000007,1,56000009,1,56000008,1,56000010,1,
56,21000004,7,25,5067,2660,0,507,399,"{type:4,param:80400001,value:-34800}",56000008,1,56000010,1,56000009,1,56000010,1,
57,21000004,8,30,6667,3500,0,667,525,"{type:4,param:80400001,value:-49900}",56000010,1,56000009,1,56000010,1,56000009,1,
58,21000004,9,35,7733,4060,0,773,609,"{type:4,param:80400001,value:-68100}",56000007,1,56000009,1,56000007,1,56000010,1,
59,21000004,10,40,8800,4620,0,880,693,"{type:4,param:80400001,value:-89800}",56000007,1,56000007,1,56000008,1,56000010,1,
60,21000004,11,45,9867,5180,0,987,777,"{type:4,param:80400001,value:-115000}",56000009,1,56000007,1,56000009,1,56000007,1,
61,21000004,12,50,12000,6300,0,1200,945,"{type:4,param:80400001,value:-143900}",56000010,1,56000008,1,56000010,1,56000009,1,
62,21000004,13,55,13333,7000,0,1333,1050,"{type:4,param:80400001,value:-176600}",56000008,1,56000010,1,56000007,1,56000009,1,
63,21000004,14,60,14667,7700,0,1467,1155,"{type:4,param:80400001,value:-213300}",56000008,1,56000010,1,56000007,1,56000009,1,
64,21000004,15,65,16000,8400,0,1600,1260,"{type:4,param:80400001,value:-253900}",56000009,1,56000008,1,56000008,1,56000008,1,
65,21000005,0,1,0,0,0,0,0,,56000008,1,56000010,1,56000007,1,56000010,1,
66,21000005,1,1,544,0,277,43,53,"{type:4,param:80400001,value:-500}",56000007,1,56000009,1,56000007,1,56000008,1,
67,21000005,2,5,1088,0,555,87,105,"{type:4,param:80400001,value:-1000}",56000008,1,56000009,1,56000008,1,56000010,1,
68,21000005,3,5,1632,0,832,130,158,"{type:4,param:80400001,value:-3100}",56000009,1,56000008,1,56000010,1,56000008,1,
69,21000005,4,10,2720,0,1387,217,263,"{type:4,param:80400001,value:-7200}",56000010,1,56000009,1,56000008,1,56000010,1,
70,21000005,5,15,3536,0,1803,282,342,"{type:4,param:80400001,value:-13700}",56000008,1,56000007,1,56000010,1,56000008,1,
71,21000005,6,20,4352,0,2219,347,421,"{type:4,param:80400001,value:-22800}",56000008,1,56000009,1,56000007,1,56000009,1,
72,21000005,7,25,5168,0,2635,412,500,"{type:4,param:80400001,value:-34800}",56000008,1,56000007,1,56000008,1,56000007,1,
73,21000005,8,30,6800,0,3467,542,658,"{type:4,param:80400001,value:-49900}",56000007,1,56000009,1,56000010,1,56000009,1,
74,21000005,9,35,7888,0,4021,628,764,"{type:4,param:80400001,value:-68100}",56000007,1,56000010,1,56000008,1,56000010,1,
75,21000005,10,40,8976,0,4576,715,869,"{type:4,param:80400001,value:-89800}",56000009,1,56000007,1,56000009,1,56000007,1,
76,21000005,11,45,10064,0,5131,802,974,"{type:4,param:80400001,value:-115000}",56000008,1,56000007,1,56000009,1,56000010,1,
77,21000005,12,50,12240,0,6240,975,1185,"{type:4,param:80400001,value:-143900}",56000010,1,56000008,1,56000007,1,56000008,1,
78,21000005,13,55,13600,0,6933,1083,1317,"{type:4,param:80400001,value:-176600}",56000007,1,56000010,1,56000008,1,56000009,1,
79,21000005,14,60,14960,0,7627,1192,1448,"{type:4,param:80400001,value:-213300}",56000008,1,56000010,1,56000008,1,56000010,1,
80,21000005,15,65,16320,0,8320,1300,1580,"{type:4,param:80400001,value:-253900}",56000007,1,56000008,1,56000007,1,56000007,1,
81,21000006,0,1,0,0,0,0,0,,56000007,1,56000010,1,56000008,1,56000009,1,
82,21000006,1,1,539,0,275,42,54,"{type:4,param:80400001,value:-500}",56000010,1,56000009,1,56000007,1,56000009,1,
83,21000006,2,5,1077,0,549,84,108,"{type:4,param:80400001,value:-1000}",56000008,1,56000010,1,56000007,1,56000009,1,
84,21000006,3,5,1616,0,824,126,162,"{type:4,param:80400001,value:-3100}",56000009,1,56000007,1,56000009,1,56000008,1,
85,21000006,4,10,2693,0,1373,210,270,"{type:4,param:80400001,value:-7200}",56000010,1,56000009,1,56000008,1,56000009,1,
86,21000006,5,15,3501,0,1785,273,351,"{type:4,param:80400001,value:-13700}",56000008,1,56000007,1,56000010,1,56000008,1,
87,21000006,6,20,4309,0,2197,336,432,"{type:4,param:80400001,value:-22800}",56000010,1,56000009,1,56000008,1,56000010,1,
88,21000006,7,25,5117,0,2609,399,513,"{type:4,param:80400001,value:-34800}",56000009,1,56000007,1,56000008,1,56000010,1,
89,21000006,8,30,6733,0,3433,525,675,"{type:4,param:80400001,value:-49900}",56000008,1,56000008,1,56000010,1,56000009,1,
90,21000006,9,35,7811,0,3983,609,783,"{type:4,param:80400001,value:-68100}",56000008,1,56000009,1,56000008,1,56000009,1,
91,21000006,10,40,8888,0,4532,693,891,"{type:4,param:80400001,value:-89800}",56000008,1,56000010,1,56000009,1,56000007,1,
92,21000006,11,45,9965,0,5081,777,999,"{type:4,param:80400001,value:-115000}",56000009,1,56000010,1,56000008,1,56000007,1,
93,21000006,12,50,12120,0,6180,945,1215,"{type:4,param:80400001,value:-143900}",56000007,1,56000009,1,56000010,1,56000009,1,
94,21000006,13,55,13467,0,6867,1050,1350,"{type:4,param:80400001,value:-176600}",56000008,1,56000009,1,56000008,1,56000010,1,
95,21000006,14,60,14813,0,7553,1155,1485,"{type:4,param:80400001,value:-213300}",56000010,1,56000010,1,56000008,1,56000009,1,
96,21000006,15,65,16160,0,8240,1260,1620,"{type:4,param:80400001,value:-253900}",56000008,1,56000009,1,56000007,1,56000007,1,
97,21000007,0,1,0,0,0,0,0,,56000008,1,56000009,1,56000008,1,56000009,1,
98,21000007,1,1,792,121,0,80,64,"{type:4,param:80400001,value:-500}",56000007,1,56000008,1,56000007,1,56000009,1,
99,21000007,2,5,1584,243,0,160,128,"{type:4,param:80400001,value:-1000}",56000007,1,56000010,1,56000008,1,56000010,1,
100,21000007,3,5,2376,364,0,240,192,"{type:4,param:80400001,value:-3100}",56000009,1,56000008,1,56000010,1,56000007,1,
101,21000007,4,10,3960,607,0,400,320,"{type:4,param:80400001,value:-7200}",56000007,1,56000010,1,56000007,1,56000010,1,
102,21000007,5,15,5148,789,0,520,416,"{type:4,param:80400001,value:-13700}",56000010,1,56000008,1,56000010,1,56000008,1,
103,21000007,6,20,6336,971,0,640,512,"{type:4,param:80400001,value:-22800}",56000008,1,56000010,1,56000007,1,56000010,1,
104,21000007,7,25,7524,1153,0,760,608,"{type:4,param:80400001,value:-34800}",56000008,1,56000010,1,56000008,1,56000010,1,
105,21000007,8,30,9900,1517,0,1000,800,"{type:4,param:80400001,value:-49900}",56000010,1,56000008,1,56000010,1,56000009,1,
106,21000007,9,35,11484,1759,0,1160,928,"{type:4,param:80400001,value:-68100}",56000007,1,56000010,1,56000008,1,56000010,1,
107,21000007,10,40,13068,2002,0,1320,1056,"{type:4,param:80400001,value:-89800}",56000009,1,56000007,1,56000009,1,56000007,1,
108,21000007,11,45,14652,2245,0,1480,1184,"{type:4,param:80400001,value:-115000}",56000009,1,56000010,1,56000008,1,56000010,1,
109,21000007,12,50,17820,2730,0,1800,1440,"{type:4,param:80400001,value:-143900}",56000007,1,56000009,1,56000010,1,56000009,1,
110,21000007,13,55,19800,3033,0,2000,1600,"{type:4,param:80400001,value:-176600}",56000007,1,56000010,1,56000007,1,56000010,1,
111,21000007,14,60,21780,3337,0,2200,1760,"{type:4,param:80400001,value:-213300}",56000007,1,56000009,1,56000007,1,56000010,1,
112,21000007,15,65,23760,3640,0,2400,1920,"{type:4,param:80400001,value:-253900}",56000009,1,56000010,1,56000008,1,56000010,1,
113,21000008,0,1,0,0,0,0,0,,56000008,1,56000009,1,56000007,1,56000009,1,
114,21000008,1,1,800,120,0,80,64,"{type:4,param:80400001,value:-500}",56000010,1,56000009,1,56000010,1,56000008,1,
115,21000008,2,5,1600,240,0,160,128,"{type:4,param:80400001,value:-1000}",56000007,1,56000010,1,56000007,1,56000010,1,
116,21000008,3,5,2400,360,0,240,192,"{type:4,param:80400001,value:-3100}",56000009,1,56000007,1,56000010,1,56000007,1,
117,21000008,4,10,4000,600,0,400,320,"{type:4,param:80400001,value:-7200}",56000010,1,56000010,1,56000007,1,56000009,1,
118,21000008,5,15,5200,780,0,520,416,"{type:4,param:80400001,value:-13700}",56000009,1,56000007,1,56000010,1,56000007,1,
119,21000008,6,20,6400,960,0,640,512,"{type:4,param:80400001,value:-22800}",56000010,1,56000010,1,56000008,1,56000009,1,
120,21000008,7,25,7600,1140,0,760,608,"{type:4,param:80400001,value:-34800}",56000008,1,56000010,1,56000008,1,56000010,1,
121,21000008,8,30,10000,1500,0,1000,800,"{type:4,param:80400001,value:-49900}",56000008,1,56000008,1,56000007,1,56000008,1,
122,21000008,9,35,11600,1740,0,1160,928,"{type:4,param:80400001,value:-68100}",56000009,1,56000010,1,56000008,1,56000010,1,
123,21000008,10,40,13200,1980,0,1320,1056,"{type:4,param:80400001,value:-89800}",56000008,1,56000007,1,56000009,1,56000010,1,
124,21000008,11,45,14800,2220,0,1480,1184,"{type:4,param:80400001,value:-115000}",56000009,1,56000007,1,56000008,1,56000010,1,
125,21000008,12,50,18000,2700,0,1800,1440,"{type:4,param:80400001,value:-143900}",56000007,1,56000008,1,56000010,1,56000009,1,
126,21000008,13,55,20000,3000,0,2000,1600,"{type:4,param:80400001,value:-176600}",56000008,1,56000009,1,56000007,1,56000009,1,
127,21000008,14,60,22000,3300,0,2200,1760,"{type:4,param:80400001,value:-213300}",56000010,1,56000009,1,56000007,1,56000010,1,
128,21000008,15,65,24000,3600,0,2400,1920,"{type:4,param:80400001,value:-253900}",56000007,1,56000009,1,56000009,1,56000008,1,
129,21000009,0,1,0,0,0,0,0,,56000008,1,56000009,1,56000007,1,56000010,1,
130,21000009,1,1,660,0,200,53,67,"{type:4,param:80400001,value:-500}",56000007,1,56000008,1,56000010,1,56000009,1,
131,21000009,2,5,1320,0,400,107,135,"{type:4,param:80400001,value:-1000}",56000007,1,56000010,1,56000007,1,56000010,1,
132,21000009,3,5,1980,0,600,160,202,"{type:4,param:80400001,value:-3100}",56000010,1,56000007,1,56000010,1,56000008,1,
133,21000009,4,10,3300,0,1000,267,337,"{type:4,param:80400001,value:-7200}",56000007,1,56000009,1,56000008,1,56000009,1,
