"升星id{id,int}(idx)","角色id{hcid,int}(num,hcid)","星级{star,int}(num,lv)","大星(int,bigstar)","头像","形象","生命(num,lf){lf,int}","物理攻击(num,ptk){ptk,int}","魔法攻击(num,stk){stk,int}","物理防御(num,pdf){pdf,int}","魔法防御(num,sdf){sdf,int}","升星的所有消耗{costList,json_funcs}(json,costList)","角色折算后的碎片数量{prizeList,json_funcs}(json,prizeList)","开启被动技能id",
21200001,21000001,1,1,,,0,0,0,0,0,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:8}]",,
21200002,21000001,2,1,,,215,118,0,22,17,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:12}]",,
21200003,21000001,3,1,,,431,235,0,43,35,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:16}]",,
21200004,21000001,4,1,,,646,353,0,65,52,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:20}]",,
21200005,21000001,5,2,,,969,529,0,98,78,"[{type:1,param:56010001,value:-5}]","[{type:1,param:56010001,value:24}]",,
21200006,21000001,6,2,,,1292,706,0,130,104,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:32}]",,
21200007,21000001,7,2,,,1615,882,0,163,130,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:40}]",,
21200008,21000001,8,2,,,1938,1058,0,195,156,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:48}]",,
21200009,21000001,9,3,,,2369,1293,0,239,190,"[{type:1,param:56010001,value:-10}]","[{type:1,param:56010001,value:56}]",,
21200010,21000001,10,3,,,2800,1529,0,282,225,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:68}]",,
21200011,21000001,11,3,,,3231,1764,0,326,260,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:80}]",,
21200012,21000001,12,3,,,3662,1999,0,369,294,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:92}]",,
21200013,21000001,13,4,,,4308,2352,0,434,346,"[{type:1,param:56010001,value:-15}]","[{type:1,param:56010001,value:104}]",,
21200014,21000001,14,4,,,4954,2704,0,499,398,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:120}]",,
21200015,21000001,15,4,,,5600,3057,0,564,450,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:136}]",,
21200016,21000001,16,4,,,6246,3410,0,629,502,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:152}]",,
21200017,21000001,17,4,,,6892,3763,0,695,554,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:168}]",,
21200018,21000001,18,5,,,7754,4233,0,781,623,"[{type:1,param:56010001,value:-20}]","[{type:1,param:56010001,value:184}]",,
21200019,21000001,19,5,,,8615,4703,0,868,692,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:204}]",,
21200020,21000001,20,5,,,9477,5174,0,955,762,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:224}]",,
21200021,21000001,21,5,,,10338,5644,0,1042,831,"[{type:1,param:56010001,value:-25}]","[{type:1,param:56010001,value:244}]",,
