"(idx){id,int}",-,"(str,n)","(str,d)","(num, p2type)","(str, p2)","{goodsType,int}","{isAutoOpen,bool}","(num,qua)","{collectType,int}","{reqLv,int}(num,rlv)","VIP{reqVip,int}(num,vlv)","{funcs,strs}(str,funcs)","(num,tow)",1,2
30110001,,,¨²10000,,10041023,3,0,1,1,1,0,{all:4$80400001$10000},,130110001,230110001
30110002,,,¨²100000,,10041027,3,0,2,1,1,0,{all:4$80400001$100000},,130110002,230110002
30110003,,,¨²1000000,,10041026,3,0,3,1,1,0,{all:4$80400001$1000000},,130110003,230110003
30110004,,,¨²10000000,,10041024,3,0,4,1,1,0,{all:4$80400001$10000000},,130110004,230110004
30110005,,,¨²10000,,10041025,3,0,1,1,1,0,{all:4$80400004$10000},,130110005,230110005
30110006,,,¨²100000,,10041040,3,0,2,1,1,0,{all:4$80400004$100000},,130110006,230110006
30110007,,,¨²1000000,,10041029,3,0,3,1,1,0,{all:4$80400004$1000000},,130110007,230110007
30110008,,,¨²10000000,,10041028,3,0,4,1,1,0,{all:4$80400004$10000000},,130110008,230110008
30110009,,,¨²10000,,10041046,3,0,1,1,1,0,{all:4$80400003$10000},,130110009,230110009
30110010,,,¨²100000,,10041045,3,0,2,1,1,0,{all:4$80400003$100000},,130110010,230110010
30110011,,,¨²1000000,,10041044,3,0,3,1,1,0,{all:4$80400003$1000000},,130110011,230110011
30110012,,,¨²10000000,,10041038,3,0,4,1,1,0,{all:4$80400003$10000000},,130110012,230110012
30110013,,,¨²1,,10041108,3,0,1,1,1,0,{one:1$30010002$1;1$30010003$1;1$30010004$1;1$30010005$1},,130110013,230110013
30110014,,,¨²8888888888,,10041124,3,0,1,1,1,0,{roul:4$80400001$888|4000;4$80400001$8888|3000;4$80400001$88888|2000;4$80400001$888888|900;4$80400001$8888888|100;},,130110014,230110014
30110015,,,¨²8888888888,,10041080,3,0,1,1,1,0,{roul:4$80400004$888|4000;4$80400004$8888|3000;4$80400004$88888|2000;4$80400004$888888|900;4$80400004$8888888|100;},,130110015,230110015
30110016,,4,,,10041001,3,1,1,1,1,0,{one:1$30030004$1;1$30030007$1;1$30030005$1},,130110016,230110016
30110017,,5,50,,10041001,3,1,1,1,1,0,{one:4$80400002$50;1$30200036$1;1$30110014$1;1$30010002$1;1$30010003$1;1$30010004$1;1$30010005$1},,130110017,230110017
30110018,,,¨²2510,,10041079,3,0,4,1,1,0,{roul:4$80400001$303$20000$1154;4$80400003$302$20000$1154;4$80400004$301$20000$1154;4$80400001$303$50000$769;4$80400003$302$50000$769;4$80400004$301$50000$769;4$80400001$303$100000$385;4$80400003$302$100000$385;4$80400004$301$100000$385;1$30010002$1|769;1$30010003$1|769;1$30010004$1|769;1$30010005$1|769},,130110018,230110018
30110019,,,¨²§Þ,,10041142,3,0,5,1,1,0,{one:1$30030008$1;1$30030009$1;1$30030010$1},,130110019,230110019
30110020,,,¨²§Þ10~1000,,10041001,3,0,4,1,1,0,{roul:4$80400002$10|4676;4$80400002$20|3117;4$80400002$50|2078;4$80400002$100|55;4$80400002$200|37;4$80400002$500|25;4$80400002$1000|12},,130110020,230110020
30110021,,,¨²§Þ,,10041001,3,0,4,1,1,0,{roul:1$30200003$1|3750;1$30200036$1|1250;1$30200026$1|2500;1$30200030$1|2500},,130110021,230110021
30110022,,,¨²§Þ,,10041001,3,0,4,1,1,0,{roul:1$30200003$1|3750;1$30200036$1|1250;1$30200026$1|2500;1$30200030$1|2500},,130110022,230110022
30110101,,,,,10041079,3,0,4,1,1,0,{all:1$30011001$999;1$30011002$999;1$30011003$999;1$30011004$999;1$30011005$999;1$30011006$999;1$30011007$999;1$30010002$999;1$30010003$999;1$30010004$999;1$30010005$999;1$30021001$999;1$30021002$999;1$30021003$999;1$30021004$999;1$30021005$999;1$30021006$999;1$30022001$999;1$30022002$999;1$30022003$999;1$30022004$999;1$30022005$999;1$30022006$999;1$30023001$999;1$30023002$999;1$30023003$999;1$30023004$999;1$30023005$999;1$30023006$999;1$30030001$999;1$30030002$999;1$30030003$999;1$30030004$999;1$30030005$999;1$30030006$999;1$30030007$999;1$30030008$999;1$30030009$999;1$30030010$999;1$30030011$999;1$30030012$999;1$30030013$999;1$30030014$999;1$30030015$999;1$30030016$999;1$30030017$999;1$30030018$999;1$30030019$999;1$30030020$999;1$30030021$999;1$30030027$999;1$30030028$999;1$30030029$999;1$30030030$999;1$30030031$999;1$30030032$999;1$30030033$999;1$30030034$999;1$30030035$999;1$30030036$999;1$30030037$999;1$30200005$999;1$30200040$999;1$30200043$999;1$30200045$999;1$30200046$999},,130110101,230110101
30121011,,,¨²500,,10041015,3,1,1,1,1,0,{roul:1$30200007$1|3360;0|6640},,130121011,230121011
30121012,,,¨²500,,10041013,3,1,1,1,1,0,{roul:1$30200012$1|3360;0|6640},,130121012,230121012
30121013,,,¨²500,,10041012,3,1,1,1,1,0,{roul:1$30200017$1|3360;0|6640},,130121013,230121013
30121014,,,¨²500,,10041014,3,1,1,1,1,0,{roul:1$30200022$1|3360;0|6640},,130121014,230121014
30121021,,,¨²1000,,10041036,3,1,1,1,1,0,{roul:1$30200008$1|2580;0|7420},,130121021,230121021
30121022,,,¨²1000,,10041003,3,1,1,1,1,0,{roul:1$30200013$1|2580;0|7420},,130121022,230121022
30121023,,ùa,¨²1000,,10041037,3,1,1,1,1,0,{roul:1$30200018$1|2580;0|7420},,130121023,230121023
30121024,,,¨²1000,,10041019,3,1,1,1,1,0,{roul:1$30200023$1|2580;0|7420},,130121024,230121024
30121031,,,¨²5000,,10041052,3,1,1,1,1,0,{roul:1$30200009$1|1750;0|8250},,130121031,230121031
30121032,,,¨²5000,,10041020,3,1,1,1,1,0,{roul:1$30200014$1|1750;0|8250},,130121032,230121032
30121033,,,¨²5000,,10041034,3,1,1,1,1,0,{roul:1$30200019$1|1750;0|8250},,130121033,230121033
30121034,,,¨²5000,,10041100,3,1,1,1,1,0,{roul:1$30200024$1|1750;0|8250},,130121034,230121034
30121035,,,¨²50,,10041081,3,1,1,1,1,0,{roul:1$30200036$1|1750;0|8250},,130121035,230121035
30121036,,,¨²50üž,,10041105,3,1,1,1,1,0,{roul:1$30200026$1|1750;0|8250},,130121036,230121036
30121037,,,¨²50,,10041106,3,1,1,1,1,0,{roul:1$30200030$1|1750;0|8250},,130121037,230121037
30121038,,,¨²1,,10041108,3,1,1,1,1,0,{roul:1$30110013$1|1750;0|8250},,130121038,230121038
30122101,,,10,,10041994,3,1,1,1,1,0,{roul:4$80400002$10|2000;0|8000},,130122101,230122101
30122201,,,+1,,10041048,3,1,1,1,1,0,{roul:1$30200042$1|3000;0|7000},,130122201,230122201
30122202,,,+2,,10041042,3,1,1,1,1,0,{roul:1$30200043$1|1500;0|8500},,130122202,230122202
30122301,,,+1,,10041041,3,1,1,1,1,0,{roul:1$30200039$1|2500;0|7500},,130122301,230122301
30122302,,,+2,,10041047,3,1,1,1,1,0,{roul:1$30200040$1|1670;0|8330},,130122302,230122302
30122401,,,,,10041087,3,1,1,1,1,0,{roul:1$30030005$1|4000;0|6000},,130122401,230122401
30122402,,,,,,3,1,1,1,1,0,{roul:1$30030007$1|4000;0|6000},,130122402,230122402
30122403,,,,,10041088,3,1,1,1,1,0,{roul:1$30030006$1|4000;0|6000},,130122403,230122403
30122501,,,5AB1¦Ì,,10041135,3,1,1,1,1,0,{roul:1$30030015$1|2000;0|8000},,130122501,230122501
30122502,,,5AB1¦Ì,,10041134,3,1,1,1,1,0,{roul:1$30030016$1|2000;0|8000},,130122502,230122502
30122503,,,5AB1¦É,,10041140,3,1,1,1,1,0,{roul:1$30030017$1|1000;0|9000},,130122503,230122503
30122504,,,5AB1¦É,,10041133,3,1,1,1,1,0,{roul:1$30030018$1|1000;0|9000},,130122504,230122504
30130001,,boss,boss,,,3,1,1,1,1,0,{roul:1$30200003$1|6000;1$30110013$1|4000},,130130001,230130001
30130002,,boss,boss,,,3,1,1,1,1,0,{roul:1$30200003$1|5000;1$30110013$1|5000},,130130002,230130002
30130003,,boss,boss,,,3,1,1,1,1,0,{roul:1$30200003$1|4000;1$30110013$1|6000},,130130003,230130003
30130004,,boss,boss,,,3,1,1,1,1,0,{roul:1$30200003$1|2000;1$30110013$1|8000},,130130004,230130004
30130005,,boss,boss,,,3,1,1,1,1,0,{roul:1$30200003$1|10000;1$30110013$1|0},,130130005,230130005
30130011,,,,,,3,1,1,1,1,0,{roul:1$30200002$1|5000;0|5000},,130130011,230130011
30130012,,,,,,3,1,1,1,1,0,{roul:1$30200002$1|6000;0|4000},,130130012,230130012
30130013,,,,,,3,1,1,1,1,0,{roul:1$30200002$1|8000;0|2000},,130130013,230130013
30130014,,,,,,3,1,1,1,1,0,{roul:1$30200002$1|9000;0|1000},,130130014,230130014
30130015,,,,,,3,1,1,1,1,0,{roul:1$30200002$1|10000;0|0},,130130015,230130015
30140001,,100,,,,3,1,1,1,1,0,{roul:1$30030015$1|1000;1$30030016$1|1000;0|8000},,130140001,230140001
30140002,,500,,,,3,1,1,1,1,0,{roul:1$30030017$1|1000;1$30030018$1|1000;0|8000},,130140002,230140002
30140003,,,,,,3,1,1,1,1,0,{one:1$30030015$1;1$30030016$1;1$30030017$1;1$30030018$1},,130140003,230140003
30152001,,,,,,3,1,4,1,1,0,{roul:4$80400002$10|450;4$80400002$100|350;0|9200},,130152001,230152001
30152002,,,,,,3,1,5,1,1,0,{all:1$30030030$1},,130152002,230152002
30160002,,,,,,3,1,4,1,1,0,{all:1$30200003$1;1$30200002$1;1$30110014$1;1$30110015$1},,130160002,230160002
30160003,,,,,,3,1,4,1,1,0,{all:1$30110013$1;1$30041006$1;1$30200003$1;1$30200002$1;1$30110002$10;1$30110006$10;1$30110014$1;1$30110015$1},,130160003,230160003
30160004,,,,,,3,1,5,1,1,0,{all:1$30110013$3;1$30041006$2;1$30200003$50;1$30200002$50;1$30200007$2;1$30200012$2;1$30200017$2;1$30200022$2},,130160004,230160004
30160005,,,,,,3,1,4,1,1,0,{all:1$30030014$1;1$30030007$1;1$30030005$1;1$30030006$1;1$30030016$5;1$30030015$5},,130160005,230160005
30160006,,,,,,3,1,5,1,1,0,{all:1$30110013$4;1$30041003$1;1$30041002$1;1$30030005$5;1$30200040$40;1$30200039$20;1$30200043$40;1$30200042$20},,130160006,230160006
30160007,,,,,,3,1,5,1,1,0,{all:1$30110013$1;1$30110018$1;1$30030007$3;1$30030005$5;1$30200040$40;1$30200039$20;1$30200043$40;1$30200042$20},,130160007,230160007
30160008,,,,,,3,1,4,1,1,0,{all:1$30110013$2;1$30200004$1;1$30030007$1;1$30030005$3;1$30200040$20;1$30200039$10;1$30200043$20;1$30200042$10},,130160008,230160008
