"ID{id,int}(idx)","名称","描述","需求主角等级{reqPlayerLv,int}(num,reqPlayerLv)","排序(num,ord)","类型(int,typ)","消耗{cost,json_funcs}(json,cost)","固定奖励，对应GOODS{prize,json_funcs}(json,prize)","文字表描述1","文字表描述2",
30500001,录音笔,指定用户ID进行挑战的时候，需要消耗1个追捕令,1,1,1,"[{type:1,param:30030024,value:-4}]","[{type:1,param:30030013,value:1}]",130500001,230500001,
30500002,挑战书,复仇和挑战时，需要消耗1个挑战书,1,2,1,"[{type:1,param:30030011,value:-1},{type:4,param:80400002,value:-200}]","[{type:1,param:30030012,value:1}]",130500002,230500002,
30500003,比翼鸟,进士、探花联姻道具,1,3,2,"[{type:1,param:30030008,value:-1},{type:4,param:80400002,value:-240}]","[{type:1,param:30030009,value:1}]",130500003,230500003,
30500004,鸳鸯玉,榜眼、状元联姻道具,1,4,2,"[{type:1,param:30030009,value:-1},{type:4,param:80400002,value:-440}]","[{type:1,param:30030010,value:1}]",130500004,230500004,
30500005,企划书,商会建设基本道具,1,5,3,"[{type:1,param:30030037,value:-4}]","[{type:1,param:30030035,value:1}]",130500005,230500005,
30500006,经理制服,突破小弟等级到400,1,6,0,"[{type:1,param:30021005,value:-6}]","[{type:1,param:30021006,value:1}]",130500006,230500006,
30500007,经理工牌,突破小弟等级到400,1,7,0,"[{type:1,param:30022005,value:-6}]","[{type:1,param:30022006,value:1}]",130500007,230500007,
30500008,经理名片,突破小弟等级到400,1,8,0,"[{type:1,param:30023005,value:-6}]","[{type:1,param:30023006,value:1}]",130500008,230500008,
30500009,副经理制服,突破小弟等级到350,1,9,0,"[{type:1,param:30021004,value:-5}]","[{type:1,param:30021005,value:1}]",130500009,230500009,
30500010,副经理工牌,突破小弟等级到350,1,10,0,"[{type:1,param:30022004,value:-5}]","[{type:1,param:30022005,value:1}]",130500010,230500010,
30500011,副经理名片,突破小弟等级到350,1,11,0,"[{type:1,param:30023004,value:-5}]","[{type:1,param:30023005,value:1}]",130500011,230500011,
30500012,主管制服,突破小弟等级到300,1,12,0,"[{type:1,param:30021003,value:-4}]","[{type:1,param:30021004,value:1}]",130500012,230500012,
30500013,主管工牌,突破小弟等级到300,1,13,0,"[{type:1,param:30022003,value:-4}]","[{type:1,param:30022004,value:1}]",130500013,230500013,
30500014,主管名片,突破小弟等级到300,1,14,0,"[{type:1,param:30023003,value:-4}]","[{type:1,param:30023004,value:1}]",130500014,230500014,
30500015,组长制服,突破小弟等级到250,1,15,0,"[{type:1,param:30021002,value:-3}]","[{type:1,param:30021003,value:1}]",130500015,230500015,
30500016,组长工牌,突破小弟等级到250,1,16,0,"[{type:1,param:30022002,value:-3}]","[{type:1,param:30022003,value:1}]",130500016,230500016,
30500017,组长名片,突破小弟等级到250,1,17,0,"[{type:1,param:30023002,value:-3}]","[{type:1,param:30023003,value:1}]",130500017,230500017,
30500018,骨干制服,突破小弟等级到200,1,18,0,"[{type:1,param:30021001,value:-3}]","[{type:1,param:30021002,value:1}]",130500018,230500018,
30500019,骨干工牌,突破小弟等级到200,1,19,0,"[{type:1,param:30022001,value:-3}]","[{type:1,param:30022002,value:1}]",130500019,230500019,
30500020,骨干名片,突破小弟等级到200,1,20,0,"[{type:1,param:30023001,value:-3}]","[{type:1,param:30023002,value:1}]",130500020,230500020,
30500021,卷轴礼包,随机获得1本强化卷轴,1,21,0,"[{type:1,param:30030001,value:-4}]","[{type:1,param:30110013,value:1}]",130500021,230500021,
30500022,高级企划书,商会建设高级道具,1,22,0,"[{type:1,param:30030035,value:-3}]","[{type:1,param:30030036,value:1}]",130500022,230500022,
30500023,奸臣令,消耗一定数量兑换奸臣,1,23,0,"[{type:1,param:30030002,value:-8}]","[{type:1,param:30030020,value:1}]",130500023,230500023,
30500024,巾帼令,消耗一定数量兑换巾帼,1,24,0,"[{type:1,param:30030002,value:-8}]","[{type:1,param:30030021,value:1}]",130500024,230500024,
