"怪物基础ID{id,int}(idx)","英雄id(num,heroid){heroCid,int}","英雄属性偏向{attType,int}(num,attType)","怪物等级(num,dj)","显示星级(num,star)","显示阶级(num,glv)","怪物战力(num,zdl)","速度{speed,int}(num,speed)","血量(num,lf){lf,int}","物理攻击(num,ptk){ptk,int}","魔法攻击(num,stk){stk,int}","物理防御(num,pdf){pdf,int}","魔法防御(num,sdf){sdf,int}","闪避(num,eva){eva,int}","命中(num,hit){hit,int}","暴击(num,crit){crit,int}","韧性(num,duc){duc,int}","爆伤(num,critHurt){critHurt,int}","爆抗(num,critResist){critResist,int}","格挡(num,block){block,int}","穿透(num,pie){pie,int}","技能ID组(fun,gskIds){skillIds,ints}","技能释放配置{releseSkillConfigs,ints}",
22000001,21000001,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010001,41021001,41031001}","{1,2}",
22000002,21000002,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010002,41021002,41031002}","{3,4,5}",
22000003,21000003,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010003,41021003,41031003}","{3,4,5}",
22000004,21000004,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010004,41021004,41031004}","{1,2}",
22000005,21000005,2,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010005,41021005,41031005}","{1,2}",
22000006,21000006,2,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010006,41021006,41031006}","{3,4,5}",
22000007,21000007,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010007,41021007,41031007}","{3,4,5}",
22000008,21000008,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010008,41021008,41031008}","{3,4,5}",
22000009,21000009,2,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010009,41021009,41031009}","{3,4,5}",
22000010,21000010,2,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010010,41021010,41031010}","{1,2}",
22000011,21000011,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010011,41021011,41031011}","{3,4,5}",
22000012,21000012,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010012,41021012,41031012}","{3,4,5}",
22000013,21000013,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010013,41021013,41031013}","{1,2}",
22000014,21000014,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010014,41021014,41031014}","{3,4,5}",
22000015,21000015,2,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010015,41021015,41031015}","{3,4,5}",
22000016,21000016,2,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010016,41021016,41031016}","{1,2}",
22000017,21000017,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010017,41021017,41031017}","{1,2}",
22000018,21000018,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010018,41021018,41031018}","{3,4,5}",
22000019,21000019,2,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010019,41021019,41031019}","{3,4,5}",
22000020,21000020,2,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010020,41021020,41031020}","{3,4,5}",
22000021,21000021,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010021,41021021,41031021}","{3,4,5}",
22000022,21000022,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010022,41021022,41031022}","{1,2}",
22000023,21000023,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010023,41021023,41031023}","{3,4,5}",
22000024,21000024,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010024,41021024,41031024}","{3,4,5}",
22000025,21000025,2,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010025,41021025,41031025}","{1,2}",
22000026,21000026,2,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010026,41021026,41031026}","{3,4,5}",
22000027,21000027,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010027,41021027,41031027}","{3,4,5}",
22000028,21000028,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010028,41021028,41031028}","{1,2}",
22000029,21000029,2,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010029,41021029,41031029}","{1,2}",
22000030,21000030,2,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010030,41021030,41031030}","{3,4,5}",
22000031,21000031,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010031,41021031,41031031}","{3,4,5}",
22000032,21000032,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010032,41021032,41031032}","{3,4,5}",
22000033,21000033,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010033,41021033,41031033}","{3,4,5}",
22000034,21000034,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010034,41021034,41031034}","{1,2}",
22000035,21000035,2,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010035,41021035,41031035}","{3,4,5}",
22000036,21000036,2,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010036,41021036,41031036}","{3,4,5}",
22000037,21000037,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010037,41021037,41031037}","{1,2}",
22000038,21000038,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010038,41021038,41031038}","{3,4,5}",
22000039,21000039,2,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010039,41021039,41031039}","{3,4,5}",
22000040,21000040,2,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010040,41021040,41031040}","{1,2}",
22000041,21000041,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010041,41021041,41031041}","{1,2}",
22000042,21000042,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010042,41021042,41031042}","{3,4,5}",
22000043,21000043,2,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010043,41021043,41031043}","{3,4,5}",
22000044,21000044,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010044,41021044,41031044}","{3,4,5}",
22000045,21000045,2,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010045,41021045,41031045}","{3,4,5}",
22000046,21000046,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010046,41021046,41031046}","{1,2}",
22000047,21000047,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010047,41021047,41031047}","{3,4,5}",
22000048,21000048,2,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010048,41021048,41031048}","{3,4,5}",
22000049,21000049,1,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010049,41021049,41031049}","{1,2}",
22000050,21000050,2,1,1,1,999,0,910,358,358,68,68,121,107,174,87,87,87,121,47,"{41010050,41021050,41031050}","{3,4,5}",
