"怪物组ID{id,int}(idx)","位置1{pos_1,int}(num,pos_1)","位置2{pos_2,int}(num,pos_2)","位置3{pos_3,int}(num,pos_3)","位置4{pos_4,int}(num,pos_4)","位置5{pos_5,int}(num,pos_5)","位置6{pos_6,int}(num,pos_6)","位置7{pos_7,int}(num,pos_7)","位置8{pos_8,int}(num,pos_8)","位置9{pos_9,int}(num,pos_9)","队长形象(num,dzID)","怪物组的主角技能{skillIds,ints}(fun,skillIds)","怪物组的最大魔法{maxMana,int}(num,maxMana)",
25000001,22000005,22000006,22000004,0,22000007,22000008,0,0,0,22000008,"{20200001,20200002,20200003}",100,
25000002,22000005,22000006,22000004,22000010,22000009,0,0,0,0,22000009,"{20200004,20200005,20200006}",100,
25000003,22000006,22000005,22000004,0,22000012,22000011,0,0,0,22000011,"{20200001,20200002,20200003}",100,
25000004,22000001,22000002,22000003,22000004,22000005,0,0,0,0,22000001,"{20200001,20200002,20200003}",100,
25000005,22000006,22000007,22000008,22000009,22000010,0,0,0,0,22000006,"{20200004,20200005,20200006}",100,
25000006,22000011,22000012,22000013,22000014,22000015,0,0,0,0,22000011,"{20200001,20200002,20200003}",100,
25000007,22000016,22000017,22000018,22000019,22000020,0,0,0,0,22000016,"{20200001,20200002,20200003}",100,
25000008,22000021,22000022,22000023,22000024,22000025,0,0,0,0,22000021,"{20200004,20200005,20200006}",100,
25000009,22000026,22000027,22000028,22000029,22000030,0,0,0,0,22000026,"{20200001,20200002,20200003}",100,
25000010,22000031,22000032,22000033,22000034,22000035,0,0,0,0,22000031,"{20200001,20200002,20200003}",100,
25000011,22000036,22000037,22000038,22000039,22000040,0,0,0,0,22000036,"{20200004,20200005,20200006}",100,
25000012,22000041,22000042,22000043,22000044,22000045,0,0,0,0,22000041,"{20200001,20200002,20200003}",100,
25000013,22000046,22000047,22000048,22000049,22000050,0,0,0,0,22000046,"{20200001,20200002,20200003}",100,
