"编号{id,int}(idx)","名称(str,n)","描述(str,d)","图标(str,p1)","成就组(num,cjz)","类型{type,int}(num,tp)","接受条件组{acceptCdits,json_cdits}(json,ac)","完成条件组{finCdits,json_cdits}(json,fc)","自动行为组{autoBehavs,json_behavs}(json,ab)","手动行为组{manualBehavs,json_behavs}(json,mb)","重置类型{loop,str}","文字描述1","文字描述2",
35000001,搞势力,势力达到1000,10042103,3,3,[],"[{type:3,param:6,val:1000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:10000}]}]",n,135000001,235000001,
35000002,搞势力,势力达到5000,,3,3,"[{type:6,param:3,val:35000001}]","[{type:3,param:6,val:5000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:50000}]}]",n,135000002,235000002,
35000003,搞势力,势力达到10000,,3,3,"[{type:6,param:3,val:35000002}]","[{type:3,param:6,val:10000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:100000}]}]",n,135000003,235000003,
35000004,搞势力,势力达到20000,,3,3,"[{type:6,param:3,val:35000003}]","[{type:3,param:6,val:20000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:200000}]}]",n,135000004,235000004,
35000005,搞势力,势力达到30000,,3,3,"[{type:6,param:3,val:35000004}]","[{type:3,param:6,val:30000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:300000}]}]",n,135000005,235000005,
35000006,搞势力,势力达到40000,,3,3,"[{type:6,param:3,val:35000005}]","[{type:3,param:6,val:40000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:400000}]}]",n,135000006,235000006,
35000007,搞势力,势力达到50000,,3,3,"[{type:6,param:3,val:35000006}]","[{type:3,param:6,val:50000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:500000}]}]",n,135000007,235000007,
35000008,搞势力,势力达到70000,,3,3,"[{type:6,param:3,val:35000007}]","[{type:3,param:6,val:70000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:700000}]}]",n,135000008,235000008,
35000009,搞势力,势力达到90000,,3,3,"[{type:6,param:3,val:35000008}]","[{type:3,param:6,val:90000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:900000}]}]",n,135000009,235000009,
35000010,搞势力,势力达到120000,,3,3,"[{type:6,param:3,val:35000009}]","[{type:3,param:6,val:120000,recMode:0}]",[],"[{type:1,funcs:[{type:4,param:80400001,value:1200000}]}]",n,135000010,235000010,
