"编号{id,int}(idx)","名称(str,n)","描述(str,d)","图标(str,p1)","是否活跃度任务(num,ts)","类型{type,int}(num,tp)","接受条件组{acceptCdits,json_cdits}(json,ac)","完成条件组{finCdits,json_cdits}(json,fc)","自动行为组{autoBehavs,json_behavs}(json,ab)","手动行为组{manualBehavs,json_behavs}(json,mb)","重置类型{loop,str}","文字描述1","文字描述2",
35100001,培养小弟,培养小弟10次,10042154,0,2,[],"[{type:3,param:40,val:10,recMode:1}]",[],"[{type:1,funcs:[{type:15,param:0,value:10},{type:10,param:0,value:10}]}]",d,135100001,235100001,
35100002,经营公司,经营公司12次,10042155,0,2,[],"[{type:3,param:1,val:12,recMode:1}]",[],"[{type:1,funcs:[{type:15,param:0,value:10},{type:10,param:0,value:10}]}]",d,135100002,235100002,
35100003,培养人脉,培养人脉12次,10042156,0,2,[],"[{type:3,param:2,val:12,recMode:1}]",[],"[{type:1,funcs:[{type:15,param:0,value:10},{type:10,param:0,value:10}]}]",d,135100003,235100003,
35100004,发现机遇,发现机遇12次,10042157,0,2,[],"[{type:3,param:3,val:12,recMode:1}]",[],"[{type:1,funcs:[{type:15,param:0,value:10},{type:10,param:0,value:10}]}]",d,135100004,235100004,
35100005,老板决策,老板决策12次,10042158,0,2,[],"[{type:3,param:4,val:12,recMode:1}]",[],"[{type:1,funcs:[{type:15,param:0,value:10},{type:10,param:0,value:10}]}]",d,135100005,235100005,
35100006,膜拜牛人,膜拜牛人1次,10042160,0,2,[],"[{type:3,param:12,val:1,recMode:1}]",[],"[{type:1,funcs:[{type:15,param:0,value:5},{type:10,param:0,value:5}]}]",d,135100006,235100006,
35100007,领取福利,领取福利1次,10042161,0,2,[],"[{type:3,param:38,val:1,recMode:1}]",[],"[{type:1,funcs:[{type:15,param:0,value:5},{type:10,param:0,value:5}]}]",d,135100007,235100007,
35100008,秘籍强化,秘籍强化1次,10042162,0,2,[],"[{type:3,param:14,val:1,recMode:1}]",[],"[{type:1,funcs:[{type:15,param:0,value:10},{type:10,param:0,value:10}]}]",d,135100008,235100008,
35100009,慈善事业,慈善事业4次,10042164,0,2,[],"[{type:3,param:11,val:4,recMode:1}]",[],"[{type:1,funcs:[{type:15,param:0,value:10},{type:10,param:0,value:10}]}]",d,135100009,235100009,
35100010,家教学习,参与家教4次,10042166,0,2,[],"[{type:3,param:17,val:4,recMode:1}]",[],"[{type:1,funcs:[{type:15,param:0,value:10},{type:10,param:0,value:10}]}]",d,135100010,235100010,
35100011,联盟建设,建设联盟1次,10042168,0,2,[],"[{type:3,param:25,val:1,recMode:1}]",[],"[{type:1,funcs:[{type:15,param:0,value:10},{type:10,param:0,value:10}]}]",d,135100011,235100011,
35100012,娱乐交际,娱乐交际3次,10042170,0,2,[],"[{type:3,param:34,val:3,recMode:1}]",[],"[{type:1,funcs:[{type:15,param:0,value:5},{type:10,param:0,value:10}]}]",d,135100012,235100012,
35100013,努力赚钱,通过关卡16次,10042159,0,2,[],"[{type:3,param:5,val:16,recMode:1}]",[],"[{type:1,funcs:[{type:15,param:0,value:10},{type:10,param:0,value:10}]}]",d,135100013,235100013,
35100015,随机约会,约会12次,10042163,0,2,[],"[{type:3,param:8,val:12,recMode:1}]",[],"[{type:1,funcs:[{type:15,param:0,value:10},{type:10,param:0,value:10}]}]",d,135100015,235100015,
35100016,度假散心,散心12次,10042165,0,2,[],"[{type:3,param:15,val:12,recMode:1}]",[],"[{type:1,funcs:[{type:15,param:0,value:10},{type:10,param:0,value:10}]}]",d,135100016,235100016,
35100017,辩论道理,讲道理4次,10042152,0,2,[],"[{type:3,param:19,val:4,recMode:1}]",[],"[{type:1,funcs:[{type:15,param:0,value:10},{type:10,param:0,value:10}]}]",d,135100017,235100017,
35100018,喝酒谈事,喝酒谈事35次,10042167,0,2,[],"[{type:3,param:16,val:35,recMode:1}]",[],"[{type:1,funcs:[{type:15,param:0,value:10},{type:10,param:0,value:10}]}]",d,135100018,235100018,
35100019,抢夺地盘,抢地盘10次,10042169,0,2,[],"[{type:3,param:33,val:10,recMode:1}]",[],"[{type:1,funcs:[{type:15,param:0,value:5},{type:10,param:0,value:10}]}]",d,135100019,235100019,
35100021,生意谈判,谈生意1次,10042171,0,2,[],"[{type:3,param:35,val:1,recMode:1}]",[],"[{type:1,funcs:[{type:15,param:0,value:5},{type:10,param:0,value:10}]}]",d,135100021,235100021,
35120001,活跃度达成10,活跃度达成10,,1,2,[],"[{type:3,param:39,val:10,recMode:1}]",[],"[{type:1,funcs:[{type:4,param:80400001,param2:401}]}]",d,135120001,235120001,
35120002,活跃度达成30,活跃度达成30,,1,2,[],"[{type:3,param:39,val:30,recMode:1}]",[],"[{type:1,funcs:[{type:4,param:80400004,param2:401}]}]",d,135120002,235120002,
35120003,活跃度达成60,活跃度达成60,,1,2,[],"[{type:3,param:39,val:60,recMode:1}]",[],"[{type:1,funcs:[{type:4,param:80400001,param2:402}]}]",d,135120003,235120003,
35120004,活跃度达成100,活跃度达成100,,1,2,[],"[{type:3,param:39,val:100,recMode:1}]",[],"[{type:1,funcs:[{type:4,param:80400004,param2:402},{type:11,param:30110016,value:1}]}]",d,135120004,235120004,
35120005,活跃度达成140,活跃度达成140,,1,2,[],"[{type:3,param:39,val:140,recMode:1}]",[],"[{type:1,funcs:[{type:4,param:80400001,param2:403},{type:11,param:30110017,value:1}]}]",d,135120005,235120005,
