"点数{id,int}(idx)","几率{rate,int}(num,rate)",
1,5,
2,10,
3,15,
4,20,
5,25,
6,30,
7,35,
8,40,
9,45,
10,50,
11,55,
12,60,
13,65,
14,70,
15,75,
16,80,
17,85,
18,90,
19,95,
20,100,
21,105,
22,110,
23,115,
24,120,
25,125,
26,130,
27,135,
28,140,
29,145,
30,150,
31,155,
32,160,
33,165,
34,170,
35,175,
36,180,
37,185,
38,190,
39,195,
40,200,
41,205,
42,210,
43,215,
44,220,
45,225,
46,230,
47,235,
48,240,
49,245,
50,250,
51,255,
52,260,
53,265,
54,270,
55,275,
56,280,
57,285,
58,290,
59,295,
60,300,
61,305,
62,310,
63,315,
64,320,
65,325,
66,330,
67,335,
68,340,
69,345,
70,350,
71,355,
72,360,
73,365,
74,370,
75,375,
76,380,
77,385,
78,390,
79,395,
80,400,
81,405,
82,410,
83,415,
84,420,
85,425,
86,430,
87,435,
88,440,
89,445,
90,450,
91,455,
92,460,
93,465,
94,470,
95,475,
96,480,
97,485,
98,490,
99,495,
100,500,
101,505,
102,510,
103,515,
104,520,
105,525,
106,530,
107,535,
108,540,
109,545,
110,550,
111,555,
112,560,
113,565,
114,570,
115,575,
116,580,
117,585,
118,590,
119,595,
120,600,
121,605,
122,610,
123,615,
124,620,
125,625,
126,630,
127,635,
128,640,
129,645,
130,650,
131,655,
132,660,
133,665,
134,670,
135,675,
136,680,
137,685,
138,690,
139,695,
140,700,
141,705,
142,710,
143,715,
144,720,
145,725,
146,730,
147,735,
148,740,
149,745,
150,750,
151,755,
152,760,
153,765,
154,770,
155,775,
156,780,
157,785,
158,790,
159,795,
160,800,
161,805,
162,810,
163,815,
164,820,
165,825,
166,830,
167,835,
168,840,
169,845,
170,850,
171,855,
172,860,
173,865,
174,870,
175,875,
176,880,
177,885,
178,890,
179,895,
180,900,
181,905,
182,910,
183,915,
184,920,
185,925,
186,930,
187,935,
188,940,
189,945,
190,950,
191,955,
192,960,
193,965,
194,970,
195,975,
196,980,
197,985,
198,990,
199,995,
200,1000,
201,1003,
202,1005,
203,1008,
204,1010,
205,1013,
206,1015,
207,1018,
208,1020,
209,1023,
210,1025,
211,1028,
212,1030,
213,1033,
214,1035,
215,1038,
216,1040,
217,1043,
218,1045,
219,1048,
220,1050,
221,1053,
222,1055,
223,1058,
224,1060,
225,1063,
226,1065,
227,1068,
228,1070,
229,1073,
230,1075,
231,1078,
232,1080,
233,1083,
234,1085,
235,1088,
236,1090,
237,1093,
238,1095,
239,1098,
240,1100,
241,1103,
242,1105,
243,1108,
244,1110,
245,1113,
246,1115,
247,1118,
248,1120,
249,1123,
250,1125,
251,1128,
252,1130,
253,1133,
254,1135,
255,1138,
256,1140,
257,1143,
258,1145,
259,1148,
260,1150,
261,1153,
262,1155,
263,1158,
264,1160,
265,1163,
266,1165,
267,1168,
268,1170,
269,1173,
270,1175,
271,1178,
272,1180,
273,1183,
274,1185,
275,1188,
276,1190,
277,1193,
278,1195,
279,1198,
280,1200,
281,1203,
282,1205,
283,1208,
284,1210,
285,1213,
286,1215,
287,1218,
288,1220,
289,1223,
290,1225,
291,1228,
292,1230,
293,1233,
294,1235,
295,1238,
296,1240,
297,1243,
298,1245,
299,1248,
300,1250,
301,1253,
302,1255,
303,1258,
304,1260,
305,1263,
306,1265,
307,1268,
308,1270,
309,1273,
310,1275,
311,1278,
312,1280,
313,1283,
314,1285,
315,1288,
316,1290,
317,1293,
318,1295,
319,1298,
320,1300,
321,1303,
322,1305,
323,1308,
324,1310,
