"符文ID{id,int}(idx)","符文名称(str,name)","符文图标(str,icon)","符文描述(str,desc)","符文最大等级{maxLevel,int}(num,maxLevel)","符文星级{star,int}(num,star)","符文位置{position,int}(num,position)","符文类型{type,int}(num,type)","基础属性类型{attType,int}(num,attType)","计算类型{calType,int}(num,calType)","基础属性下限{minValue,int}(num,minValue)","基础属性上限{maxValue,int}(num,maxValue)","升级经验{exp,ints}(fun,exp)","基础属性成长{growth,int}(num,growth)","附加属性条数权重{additionalValue,json_intmap}(json,additionalValue)","最大附加属性条数{maxAdditionalAtt,int}(num,maxAdditionalAtt)","附加属性类型权重{additionalAtt,json_intmap}(json,additionalAtt)","升级节点{rebuildAttLevel,ints}(fun,rebuildAttLevel)","新增附加属性几率{addAdditionalAttProb,int}(num,addAdditionalAttProb)","作为材料时提供默认经验{materialExp,ints}(fun,materialExp)","作為材料時的消耗{materialCost,json_func}(json,materialCost)",
57000001,1星符文属性火套装1,,,20,1,1,1,51,1,135,150,"{0,400,900,1600,2500,3600,4900,6400,8100,10000,12100,14400,16900,19600,22500,25600,28900,32400,36100,40000}",23,"{0:300,1:100}",1,"{57100001:100,57100002:100,57100003:100,57100004:100,57100005:100,57100006:100,57100007:100,57100008:100,57100009:100}","{1,4,8,12,16,20}",2000,"{200,600,1500,2940,5190,8430,12350,17470,23950,30950,39420,49500,59640,71400,84900,97700,112150,128350,146400,166400}","{type:4,param:80400001,value:-400}",
57000002,1星符文属性土套装1,,,20,1,2,1,2,1,90,100,"{0,400,900,1600,2500,3600,4900,6400,8100,10000,12100,14400,16900,19600,22500,25600,28900,32400,36100,40000}",15,"{0:300,1:100}",1,"{57100010:100,57100011:100,57100012:100,57100013:100,57100014:100,57100015:100,57100016:100,57100017:100}","{1,4,8,12,16,20}",2000,"{200,600,1500,2940,5190,8430,12350,17470,23950,30950,39420,49500,59640,71400,84900,97700,112150,128350,146400,166400}","{type:4,param:80400001,value:-400}",
57000003,1星符文属性风套装1,,,20,1,3,1,4,1,90,100,"{0,400,900,1600,2500,3600,4900,6400,8100,10000,12100,14400,16900,19600,22500,25600,28900,32400,36100,40000}",15,"{0:300,1:100}",1,"{57100018:100,57100019:100,57100020:100,57100021:100,57100022:100,57100023:100,57100024:100,57100025:100}","{1,4,8,12,16,20}",2000,"{200,600,1500,2940,5190,8430,12350,17470,23950,30950,39420,49500,59640,71400,84900,97700,112150,128350,146400,166400}","{type:4,param:80400001,value:-400}",
57000004,1星符文属性水套装1,,,20,1,4,1,5,1,450,500,"{0,400,900,1600,2500,3600,4900,6400,8100,10000,12100,14400,16900,19600,22500,25600,28900,32400,36100,40000}",78,"{0:300,1:100}",1,"{57100026:100,57100027:100,57100028:100,57100029:100,57100030:100,57100031:100,57100032:100,57100033:100}","{1,4,8,12,16,20}",2000,"{200,600,1500,2940,5190,8430,12350,17470,23950,30950,39420,49500,59640,71400,84900,97700,112150,128350,146400,166400}","{type:4,param:80400001,value:-400}",
57000005,1星符文属性明套装1,,,20,1,5,1,51,1,135,150,"{0,400,900,1600,2500,3600,4900,6400,8100,10000,12100,14400,16900,19600,22500,25600,28900,32400,36100,40000}",23,"{0:300,1:100}",1,"{57100034:100,57100035:100,57100036:100,57100037:100,57100038:100,57100039:100,57100040:100,57100041:100,57100042:100}","{1,4,8,12,16,20}",2000,"{200,600,1500,2940,5190,8430,12350,17470,23950,30950,39420,49500,59640,71400,84900,97700,112150,128350,146400,166400}","{type:4,param:80400001,value:-400}",
57000006,1星符文属性暗套装1,,,20,1,6,1,5,1,450,500,"{0,400,900,1600,2500,3600,4900,6400,8100,10000,12100,14400,16900,19600,22500,25600,28900,32400,36100,40000}",78,"{0:300,1:100}",1,"{57100043:100,57100044:100,57100045:100,57100046:100,57100047:100,57100048:100,57100049:100,57100050:100,57100051:100}","{1,4,8,12,16,20}",2000,"{200,600,1500,2940,5190,8430,12350,17470,23950,30950,39420,49500,59640,71400,84900,97700,112150,128350,146400,166400}","{type:4,param:80400001,value:-400}",
57000007,2星符文属性火套装1,,,20,2,1,1,51,1,180,225,"{0,800,1800,3200,5000,7200,9800,12800,16200,20000,24200,28800,33800,39200,45000,51200,57800,64800,72200,80000}",35,"{0:200,1:100}",1,"{57100052:100,57100053:100,57100054:100,57100055:100,57100056:100,57100057:100,57100058:100,57100059:100,57100060:100}","{1,4,8,12,16,20}",2000,"{400,1200,3000,5880,10380,16860,24700,34940,47900,61900,78840,99000,119280,142800,169800,195400,224300,256700,292800,332800}","{type:4,param:80400001,value:-800}",
57000008,2星符文属性土套装1,,,20,2,2,1,2,1,120,150,"{0,800,1800,3200,5000,7200,9800,12800,16200,20000,24200,28800,33800,39200,45000,51200,57800,64800,72200,80000}",23,"{0:200,1:100}",1,"{57100061:100,57100062:100,57100063:100,57100064:100,57100065:100,57100066:100,57100067:100,57100068:100}","{1,4,8,12,16,20}",2000,"{400,1200,3000,5880,10380,16860,24700,34940,47900,61900,78840,99000,119280,142800,169800,195400,224300,256700,292800,332800}","{type:4,param:80400001,value:-800}",
57000009,2星符文属性风套装1,,,20,2,3,1,4,1,120,150,"{0,800,1800,3200,5000,7200,9800,12800,16200,20000,24200,28800,33800,39200,45000,51200,57800,64800,72200,80000}",23,"{0:200,1:100}",1,"{57100069:100,57100070:100,57100071:100,57100072:100,57100073:100,57100074:100,57100075:100,57100076:100}","{1,4,8,12,16,20}",2000,"{400,1200,3000,5880,10380,16860,24700,34940,47900,61900,78840,99000,119280,142800,169800,195400,224300,256700,292800,332800}","{type:4,param:80400001,value:-800}",
57000010,2星符文属性水套装1,,,20,2,4,1,5,1,600,750,"{0,800,1800,3200,5000,7200,9800,12800,16200,20000,24200,28800,33800,39200,45000,51200,57800,64800,72200,80000}",118,"{0:200,1:100}",1,"{57100077:100,57100078:100,57100079:100,57100080:100,57100081:100,57100082:100,57100083:100,57100084:100}","{1,4,8,12,16,20}",2000,"{400,1200,3000,5880,10380,16860,24700,34940,47900,61900,78840,99000,119280,142800,169800,195400,224300,256700,292800,332800}","{type:4,param:80400001,value:-800}",
