"ID{id,int}","类型{type,int}","块{chunk,int}","组{group,int}","序号{number,int}","下标{index,int}","随机数据{funcs,strs}",
70200001,1,1,1,1,1,{all:2$21000001$1},
70200002,1,2,1,1,1,{all:2$21000002$1},
70200003,1,2,1,2,1,{all:2$21000002$1},
70200004,1,2,2,1,1,{all:2$21000004$1},
70200005,1,2,2,2,1,{all:2$21000001$1},
70200006,1,3,1,1,1,{roul:2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100},
70200007,1,3,1,1,2,{roul:2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100},
70200008,1,3,1,1,3,{roul:2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100},
70200009,1,3,1,1,4,{roul:2$21000004$1|100;2$21000004$1|100;2$21000004$1|100;2$21000004$1|100;2$21000004$1|100},
70200010,1,3,1,1,5,{roul:2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100},
70200011,1,3,1,2,1,{roul:2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100},
70200012,1,3,1,2,2,{roul:2$21000001$1|100;2$21000001$1|100;2$21000001$1|100;2$21000001$1|100;2$21000001$1|100},
70200013,1,3,1,2,3,{roul:2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100},
70200014,1,3,1,2,4,{roul:2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100},
70200015,1,3,1,2,5,{roul:2$21000004$1|100;2$21000004$1|100;2$21000004$1|100;2$21000004$1|100;2$21000004$1|100},
70200016,1,3,1,3,1,{roul:2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100;2$21000008$1|100},
70200017,1,3,1,3,2,{roul:2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100},
70200018,1,3,1,3,3,{roul:2$21000001$1|100;2$21000001$1|100;2$21000001$1|100;2$21000001$1|100;2$21000001$1|100},
70200019,1,3,1,3,4,{roul:2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100;2$21000019$1|100},
70200020,1,3,1,4,1,{roul:2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100;2$21000002$1|100},
70200021,2,1,1,1,1,{all:2$21000002$1},
70200022,2,1,1,2,1,{all:2$21000004$1},
