"商店ID{id,int}(idx)","商店类型{type,int}(num,t)","商店存储类型{placeHolder,int}","刷新时间{refreshHours,ints}(fun,rt)","商品刷新规则{refreshRule,str}","刷新规则参数{refreshParams,json_strs}","手动刷新消耗{refreshCosts,ints}(fun,rc)","手动刷新次数{maxRefreshTimes,int}(num,rct)",
52500001,4,1,{0},fix,"[""1"",""2"",""3"",""4"",""5""]",{},0,
52500002,2,1,{0},fix,"[""11"",""12"",""13"",""14"",""15"",""16"",""17"",""18"",""19"",""20"",""21"",""22"",""23"",""24""]",{},0,
52500003,3,1,"{0,2,4,6,8,10,12,14,16,18,20,22}",fix,"[""31"",""31"",""31"",""31"",""31"",""31"",""31"",""31"",""31""]","{10,20,30,40,50,60,70,80,90,100}",10,
52500004,5,1,{0},fix,"[""62"",""63"",""64"",""65"",""66""]",{},0,
52500005,7,1,{0},fix,"[""71"",""72"",""73"",""74"",""75"",""76""]",{},0,
52500006,9,1,{0},fix,"[""82"",""83"",""84"",""85""]",{},0,
52500007,11,1,{0},fix,"[""92"",""93"",""94"",""95"",""96""]",{},0,
52500008,13,1,{0},fix,"[""101"",""102"",""103"",""104"",""105"",""106"",""107"",""108"",""109"",""110"",""111"",""112""]",{},0,
52500009,14,1,{0},fix,"[""121"",""122"",""123""]",{},0,
52500010,6,1,{0},fix,"[""131"",""132""]",{},0,
52500011,8,1,{0},fix,"[""141"",""142""]",{},0,
52500012,10,1,{0},fix,"[""151"",""152""]",{},0,
52500013,12,1,{0},fix,"[""161"",""162""]",{},0,
