"效果ID{id,int}(id,number)","效果类型{type,int}(type,number)","效果播放特效(effect,string)","操作功能编码{func_code,int}(func_code,number)","功能参数{func_param,int}(func_param,number)","效果值类型{value_type,int}(value_type,number)","效果值{value,int}(value,number)","叠加类型{overlay_type,int}(over_lap,number)",备注
22201101,1,,1,1,2,3,1,HP上限+3
22201102,1,,1,1,2,4,2,HP上限+4
22201103,1,,1,1,2,5,3,HP上限+5
22201301,1,,1,3,2,1,4,攻击+1
22201302,1,,1,3,2,2,5,攻击+2
22201303,1,,1,3,2,3,6,攻击+3
22201304,1,,1,3,2,4,7,攻击+4
22201305,1,,1,3,2,5,8,攻击+5
22201306,1,,1,3,2,6,9,攻击+6
22201307,1,,1,3,2,7,10,攻击+7
22201308,1,,1,3,3,125,11,攻击增加以自身为中心除中心的1格范围内的我方目标数量*2
22201309,1,,1,3,3,126,12,攻击增加以自身为中心除中心的2格范围内的我方目标数量*2
22201310,1,,1,3,3,127,13,攻击增加自身强化值合计
22201311,1,,1,3,3,128,14,攻击增加自身弱化值合计
22201312,1,,1,3,3,129,15,攻击增加目标强化值合计
22201313,1,,1,3,3,130,16,攻击增加目标弱化值合计
22201314,2,,1,3,2,-1,888,攻击-1
22201315,2,,1,3,2,-2,888,攻击-2
22201316,2,,1,3,2,-3,888,攻击-3
22201317,2,,1,3,2,-4,888,攻击-4
22201318,2,,1,3,2,-5,888,攻击-5
22201319,2,,1,3,2,-6,888,攻击-6
22201320,2,,1,3,2,-7,888,攻击-7
22201321,1,,1,3,2,1,888,攻击+1(不可叠加)
22201322,1,,1,3,2,2,888,攻击+2(不可叠加)
22201323,1,,1,3,2,3,888,攻击+3(不可叠加)
22201324,1,,1,3,2,4,888,攻击+4(不可叠加)
22201325,1,,1,3,2,5,888,攻击+5(不可叠加)
22201326,1,,1,3,2,6,888,攻击+6(不可叠加)
22201327,1,,1,3,2,7,888,攻击+7(不可叠加)
22201401,1,,1,4,2,1,24,速度+1
22201402,1,,1,4,2,2,25,速度+2
22201403,1,,1,4,2,3,26,速度+3
22201404,1,,1,4,2,4,27,速度+4
22201405,1,,1,4,2,5,28,速度+5
22201406,1,,1,4,2,6,29,速度+6
22201407,1,,1,4,2,7,30,速度+7
22201408,1,,1,4,3,125,31,速度增加以自身为中心除中心的1格范围内的我方目标数量*2
22201409,1,,1,4,3,126,32,速度增加以自身为中心除中心的2格范围内的我方目标数量*2
22201410,2,,1,4,2,-1,888,速度-1
22201411,2,,1,4,2,-2,888,速度-2
22201412,2,,1,4,2,-3,888,速度-3
22201413,2,,1,4,2,-4,888,速度-4
22201414,2,,1,4,2,-5,888,速度-5
22201415,2,,1,4,2,-6,888,速度-6
22201416,2,,1,4,2,-7,888,速度-7
22201417,1,,1,4,2,1,888,速度+1(不可叠加)
22201418,1,,1,4,2,2,888,速度+2(不可叠加)
22201419,1,,1,4,2,3,888,速度+3(不可叠加)
22201420,1,,1,4,2,4,888,速度+4(不可叠加)
22201421,1,,1,4,2,5,888,速度+5(不可叠加)
22201422,1,,1,4,2,6,888,速度+6(不可叠加)
22201423,1,,1,4,2,7,888,速度+7(不可叠加)
22201501,1,,1,5,2,1,40,防守+1
22201502,1,,1,5,2,2,41,防守+2
22201503,1,,1,5,2,3,42,防守+3
22201504,1,,1,5,2,4,43,防守+4
22201505,1,,1,5,2,5,44,防守+5
22201506,1,,1,5,2,6,45,防守+6
22201507,1,,1,5,2,7,46,防守+7
22201508,1,,1,5,3,125,47,防守增加以自身为中心除中心的1格范围内的我方目标数量*2
22201509,2,,1,5,2,-1,888,防守-1
22201510,2,,1,5,2,-2,888,防守-2
22201511,2,,1,5,2,-3,888,防守-3
22201512,2,,1,5,2,-4,888,防守-4
22201513,2,,1,5,2,-5,888,防守-5
22201514,2,,1,5,2,-6,888,防守-6
22201515,2,,1,5,2,-7,888,防守-7
22201516,2,,1,5,1,-3000,55,防守减少30%
22201517,2,,1,5,1,-5000,56,防守减少50%
22201518,2,,1,5,1,-8000,57,防守减少80%
22201519,1,,1,5,2,1,888,防守+1(不可叠加)
22201520,1,,1,5,2,2,888,防守+2(不可叠加)
22201521,1,,1,5,2,3,888,防守+3(不可叠加)
22201522,1,,1,5,2,4,888,防守+4(不可叠加)
22201523,1,,1,5,2,5,888,防守+5(不可叠加)
22201524,1,,1,5,2,6,888,防守+6(不可叠加)
22201525,1,,1,5,2,7,888,防守+7(不可叠加)
22201601,1,,1,6,2,1,58,魔防+1
22201602,1,,1,6,2,2,59,魔防+2
22201603,1,,1,6,2,3,60,魔防+3
22201604,1,,1,6,2,4,61,魔防+4
22201605,1,,1,6,2,5,62,魔防+5
22201606,1,,1,6,2,6,63,魔防+6
22201607,1,,1,6,2,7,64,魔防+7
22201608,1,,1,6,3,125,65,魔防增加以自身为中心除中心的1格范围内的我方目标数量*2
22201609,2,,1,6,2,-1,888,魔防-1
22201610,2,,1,6,2,-2,888,魔防-2
22201611,2,,1,6,2,-3,888,魔防-3
