"条件ID{id,int}(id,number)","条件功能编码{func_code,int}(type,number)","运算符{operator,int}(operator,number)","条件值类型{value_type,int}(value_type,number)","条件值{value,int}(value,number)",备注
22101001,1,0,0,0,由自身发起战斗时
22102001,2,0,0,0,由目标发起战斗时
22103001,3,0,0,0,辅助技能的类型为位移类
22104001,4,0,0,0,使用杖回复我方时
22105001,5,0,0,0,使用杖攻击敌人时
22106001,6,0,0,0,辅助技能的使用方或被使用方为自己
22107001,7,0,0,0,装备防守奥义时
22108001,8,0,0,0,装备攻击奥义时
22109001,9,0,0,0,使用再动时
22110001,10,5,1,2500,自身当前血量小于25%
22110002,10,5,1,3000,自身当前血量小于30%
22110003,10,5,1,4000,自身当前血量小于40%
22110004,10,5,1,5000,自身当前血量小于50%
22110005,10,5,1,7000,自身当前血量小于70%
22110006,10,5,1,7500,自身当前血量小于75%
22110007,10,5,1,8000,自身当前血量小于80%
22110008,10,5,1,9000,自身当前血量小于90%
22110009,10,5,1,9900,自身当前血量小于99%
22110010,10,3,1,2500,自身当前血量大于25%
22110011,10,3,1,5000,自身当前血量大于50%
22110012,10,3,1,7000,自身当前血量大于70%
22110013,10,3,1,7500,自身当前血量大于75%
22110014,10,3,1,8000,自身当前血量大于80%
22110015,10,3,1,9000,自身当前血量大于90%
22110016,10,1,1,10000,自身当前血量为100%
22110017,10,3,2,2,自身当前血量大于2
22111001,11,3,2,80,自身最大血量大于80
22118001,18,1,1,10000,目标当前血量为100%
22127001,27,5,2,-5,敌我当前血量差小于-5
22127002,27,5,2,-3,敌我当前血量差小于-3
22127003,27,5,2,0,敌我当前血量差小于0
22128001,28,5,2,-5,敌我攻击差小于-5
22128002,28,5,2,-3,敌我攻击差小于-3
22128003,28,5,2,0,敌我攻击差小于0
22129001,29,5,2,-5,敌我速度差小于-5
22129002,29,5,2,-3,敌我速度差小于-3
22129003,29,5,2,0,敌我速度差小于0
22130001,30,5,2,-5,敌我防守差小于-5
22130002,30,5,2,-3,敌我防守差小于-3
22130003,30,5,2,0,敌我防守差小于0
22131001,31,5,2,-5,敌我魔防差小于-5
22131002,31,5,2,-3,敌我魔防差小于-3
22131003,31,5,2,0,敌我魔防差小于0
22132001,32,5,2,-5,敌我技巧差小于-5
22132002,32,5,2,-3,敌我技巧差小于-3
22132003,32,5,2,0,敌我技巧差小于0
22133001,33,5,2,-5,敌我幸运差小于-5
22133002,33,5,2,-3,敌我幸运差小于-3
22133003,33,5,2,0,敌我幸运差小于0
22134001,34,5,2,-5,目标魔防与防守差小于-5
22134002,34,3,2,0,目标魔防与防守差大于0
22134003,34,5,2,0,目标魔防与防守差小于0
22135001,35,0,0,0,可以追击
22136001,36,0,0,0,可以反击
22137001,37,0,0,0,兵种为步兵
22138001,38,0,0,0,兵种为骑兵
22139001,39,0,0,0,兵种为飞行
22140001,40,0,0,0,兵种为重装
22141001,41,0,0,0,自身武器为剑
22142001,42,0,0,0,自身武器为枪
22143001,43,0,0,0,自身武器为斧
22144001,44,0,0,0,自身武器为龙石
22145001,45,0,0,0,自身武器为红魔
22146001,46,0,0,0,自身武器为青魔
22147001,47,0,0,0,自身武器为绿魔
22148001,48,0,0,0,自身武器为弓
22149001,49,0,0,0,自身武器为暗器
22150001,50,0,0,0,自身武器为杖
22151001,51,0,0,0,目标武器为剑
22152001,52,0,0,0,目标武器为枪
22153001,53,0,0,0,目标武器为斧
22154001,54,0,0,0,目标武器为龙石
22155001,55,0,0,0,目标武器为红魔
22156001,56,0,0,0,目标武器为青魔
22157001,57,0,0,0,目标武器为绿魔
22158001,58,0,0,0,目标武器为弓
22159001,59,0,0,0,目标武器为暗器
22160001,60,0,0,0,目标武器为杖
22161001,61,0,0,0,与我方相邻时
22162001,62,0,0,0,与敌方相邻时
22163001,63,0,0,0,我方部队内仅有2个以下相同移动手段的单位时
22164001,64,0,0,0,若周围2格内有2名以上我方单位
22165001,65,0,0,0,目标的颜色为红
22166001,66,0,0,0,目标的颜色为蓝
22167001,67,0,0,0,目标的颜色为绿
22168001,68,0,0,0,目标的颜色为无
22169001,69,4,2,0,以自身为中心周围两格内我方与敌方所有单位的差值小于等于0
22169002,69,3,2,0,以自身为中心周围两格内我方与敌方所有单位的差值大于0
22170001,70,0,0,0,在一场战斗中，受到连续攻击时
22171001,71,0,0,0,一场战斗中受到第一次攻击时
22172001,72,0,0,0,有会将速度差距列入条件的技能
22173001,73,0,0,0,当三角互克对自身不利时
22174001,74,0,0,0,周围2各种内有我方步兵或飞行单位
