"技能动画编号(idx)","技能名(str,name)","效果说明(str,desc)","技能分类(num,type)","目标位置(num,targetPos)","移动位置(num,movePos)","前摇动画(str,preAnim)","前摇音效(str,preSound)","前摇特效调用(fun,preEffect)","移动动画(str,moveAnim)","位移时间(num,moveTime)","移动类型(num,moveType)","移动特效调用(fun,moveEffect)","攻击动画(str,atkAnim)","攻击音效(str,atkSound)","自身攻击特效调用(fun,atkSelfEff)","(num,sEffPos) 0不处理、1屏幕中间","目标攻击特效调用(fun,atkTarEff)","目标攻击特效播放点(fun,atkEffTarPos)","受创动画(fun,hurtedAnim)","受创音效(str,hurtedSound)","受创特效调用(fun,hurtedEffect)","返回动画(str,backAnim)","位移时间(num,backTime)","返回类型(num,backType)","返回特效调用(fun,backEffect)","全屏效果类型(num,fullScreenType)","全屏效果调用(str,FSEffect)","黑屏效果调用(num,BSEffect)","隐藏控制(num,hide)","是否显示技能名(num,showSkillName)","技能名资源调用(str,skillRes)","是否调用半身像(num,showBust)","半身像资源调用(str,bustRes)","飞行特效资源调用(fun,flyEff)","偏移时间(fun,offsetTime)","飞行速度(str,flyConf)","飞行道具目标类型(num,hitType)","命中特效(fun,hitEff)","组合动作调用","骨骼坐标(fun,bonePos)","fire次数(num,fireCount)","是否震屏(fun,quake)","是否启用(num,enable)",
4,魔导弩炮,EZ,1,1,0,,,,,,,,skill01_01,,{{'10020022'}},0,,,"{'hit01','hit01',}",,,,,,,,,0,0,1,,,,"{'10020027','10020027'}",,1,0,"{'10020024','10020024'}",,,2,"{1,1}",0,
5,音速圆舞弹,EZ,1,1,0,,,,,,,,skill02_01,,{{'10020023'}},0,,,{'hit02'},,,,,,,,,1,2,1,,,,{'10020029'},,1,0,{'10020026'},,,1,{2},0,
6,普攻,EZ,0,1,0,,,,,,,,attack01_01,,{{'10020021'}},0,,,{'hit01'},,,,,,,,,0,0,0,,,,{'10020027'},,1,0,{'10020024'},,,1,{1},0,
7,神圣制裁,圣骑士,1,1,4,,,,go01,5,0,,skill01_01,,,0,{{'10020035'}},,{'hit01'},,,back01,5,0,,,,0,0,1,,,,,,,,,,,1,{2},0,
8,正义审判,圣骑士,1,1,4,,,,go01,5,0,,skill02_01,,{{'10020033'}},0,{{'10020036'}},,{'hit02'},,,back01,5,0,,,,1,2,1,,,,,,,,,,,1,{2},0,
9,普攻,圣骑士,0,1,1,,,,go01,5,0,,attack01_01,,,0,,,{'hit01'},,{{'10020034'}},back01,5,0,,,,0,0,0,,,,,,,,,,,1,{1},0,
10,少女梦幻击,猫女,1,1,1,,,,go01,5,0,,skill01_01,,,0,,,{'hit02'},,{{'10020045'}},back01,5,0,,,,0,0,1,,,,,,,,,,,1,{2},0,
11,猛喵破爪击,猫女,1,1,1,,,,go01,5,0,,skill02_01,,{{'10020043'}},0,{{'10020046'}},,"{'hit01','hit02',}",,,back01,5,0,,,,1,2,1,,,,,,,,,,,2,"{1,2}",0,
12,普攻,猫女,0,1,1,,,,go01,5,0,,attack01_01,,,0,,,{'hit01'},,{{'10020044'}},back01,5,0,,,,0,0,0,,,,,,,,,,,1,{1},0,
13,痊愈之颂,吉他女,1,1,0,,,,,,,,skill01_01,,,0,,,,,,,,,,,,0,0,1,,,,{'10020058'},,1,0,"{'10020055@9','10020056@8'}",,,1,{0},0,
14,天使之吻,吉他女,1,1,0,,,,,,,,skill02_01,,{{'10020053'}},0,{{'10020057'}},,,,,,,,,,,1,2,1,,,,,,,,,,,1,{0},0,
15,普攻,吉他女,0,1,0,,,,,,,,attack01_01,,,0,,,,,,,,,,,,0,0,0,,,,{'10020058'},,1,0,{'10020054'},,,1,{0},0,
16,爆炎术,南瓜女,1,1,0,,,,,,,,skill01_01,,,0,"{{'10020065@11','10020066@9'}}",,{'hit01'},,,,,,,,,1,0,1,,,,,,,,,,,1,{2},0,
17,红莲咏叹调,南瓜女,1,2,0,,,,,,,,skill02_01,,{{'10020063'}},0,"{{'10020067@11','10020068@9'}}",,{'hit02'},,,,,,,,,1,2,1,,,,,,,,,,,1,{2},0,
18,普攻,南瓜女,0,1,0,,,,,,,,attack01_01,,,0,,,{'hit01'},,,,,,,,,0,0,0,,,,{'10020069'},,1,0,{'10020064'},,,1,{1},0,
