"技能id{id,int}(id,number)","技能名称(name,string)","技能描述(description,string)","前置技能1{pre_1_id,int}(pre_skill_1,number)","前置技能2{pre_2_id,int}(pre_skill_2,number)","技能图标(icon,string)","技能类型{type,int}(type,number)","开启SP消耗{need_sp,int}(sp_cost,number)","效果目标1{effect_1_targets, int}(target_1,number)","效果条件组1{effect_1_conditions, ints}(condition_1,array)","效果id组1{effects_1,ints}(buff_id_1,array)","效果触发点组1{effect_1_trigger_points,ints}(trigger_1,array|number)","效果生效点组1{effect_1_take_effects, ints}(execute_1,array)","持续类型组1(continue_1,array){continue_1,ints}","效果目标2{effect_2_targets, int}(target_2,number)","效果条件组2{effect_2_conditions, ints}(condition_2,array)","效果id组2{effects_2,ints}(buff_id_2,array)","效果触发点组2{effect_2_trigger_points,ints}(trigger_2,array)","效果生效点组2{effect_2_take_effects, ints}(execute_2,array)","持续类型组2(continue_2,array){continue_2,ints}","效果目标3{effect_3_targets, int}(target_3,number)","效果条件组3{effect_3_conditions, ints}(condition_3,array)","效果id组3{effects_3,ints}(buff_id_3,array)","效果触发点组3{effect_3_trigger_points,ints}(trigger_3,array)","效果生效点组3{effect_3_take_effects, ints}(execute_3,array)","持续类型组3(continue_3,array){continue_3,ints}","装备颜色&武器编码组{limit_weapons, ints}(career_limit,array)","装备兵种编码{limit_arms, ints}(arms_limit,array)",限制条件描述
21510001,死线1,攻击、速度+3 防守、魔防-3,0,0,,4,50,2,{},"{22201303,22201403,22201511,22201611}","{1,1,1,1}","{1,1,1,1}","{1,1,1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510002,死线2,攻击、速度+4 防守、魔防-4,21510001,0,,4,100,2,{},"{22201304,22201404,22201512,22201612}","{1,1,1,1}","{1,1,1,1}","{1,1,1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510003,死线3,攻击、速度+5 防守、魔防-5,21510002,0,,4,200,2,{},"{22201305,22201405,22201513,22201613}","{1,1,1,1}","{1,1,1,1}","{1,1,1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510004,狮子奋迅1,攻击、速度、防守、魔防+1 战斗后给予自身造成2点伤害(最多掉至1血、不会致死),0,0,,4,50,2,{},"{22201301,22201401,22201501,22201601,22219002}","{1,1,1,1,25}","{1,1,1,1,25}","{1,1,1,1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510005,狮子奋迅2,攻击、速度、防守、魔防+2 战斗后给予自身造成4点伤害(最多掉至1血、不会致死),21510004,0,,4,100,2,{},"{22201302,22201402,22201502,22201602,22219004}","{1,1,1,1,25}","{1,1,1,1,25}","{1,1,1,1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510006,狮子奋迅3,攻击、速度、防守、魔防+3 战斗后给予自身造成6点伤害(最多掉至1血、不会致死),21510005,0,,4,200,2,{},"{22201303,22201403,22201503,22201603,22219006}","{1,1,1,1,25}","{1,1,1,1,25}","{1,1,1,1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21510007,防守堡垒1,攻击-3、防守+3,0,0,,4,40,2,{},"{22201316,22201503}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510008,防守堡垒2,攻击-3、防守+4,21510007,0,,4,80,2,{},"{22201316,22201504}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510009,防守堡垒3,攻击-3、防守+5,21510008,0,,4,160,2,{},"{22201316,22201505}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21510010,魔防堡垒1,攻击-3、魔防+3,0,0,,4,40,2,{},"{22201316,22201603}","{1,1}","{1,1}","{1,1}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
