"圣印id{id,int}(id,number)","圣印名称(name,string)","圣印描述(description,string)","圣印图标(icon,string)","前置圣印{pre_id,int}(pre_id,number)","后置圣印{rear_id,int}(post_id,number)","技能类型{type,int}(type,number)","是否默认解锁{default_open,int}","解锁条件{skill_id,int}","生产消耗{need_items,json_funcs}(need_items,json)","升级消耗{upgrade_need_items,json_funcs}(upgrade_need_items,json)","效果目标1{effect_1_targets, int}(target_1,number)","效果条件组1{effect_1_conditions, ints}(condition_1,array)","效果id组1{effects_1,ints}(buff_id_1,array)","效果触发点组1{effect_1_trigger_points,ints}(trigger_1,array)","效果生效点组1{effect_1_take_effects, ints}(execute_1,array)","持续类型组1(continue_1,array){continue_1,ints}","效果目标2{effect_2_targets, int}(target_2,number)","效果条件组2{effect_2_conditions, ints}(condition_2,array)","效果id组2{effects_2,ints}(buff_id_2,array)","效果触发点组2{effect_2_trigger_points,ints}(trigger_2,array)","效果生效点组2{effect_2_take_effects, ints}(execute_2,array)","持续类型组2(continue_2,array){continue_2,ints}","效果目标3{effect_3_targets, int}(target_3,number)","效果条件组3{effect_3_conditions, ints}(condition_3,array)","效果id组3{effects_3,ints}(buff_id_3,array)","效果触发点组3{effect_3_trigger_points,ints}(trigger_3,array)","效果生效点组3{effect_3_take_effects, ints}(execute_3,array)","持续类型组3(continue_3,array){continue_3,ints}","装备颜色&武器编码组{limit_weapons, ints}(career_limit,array)","装备兵种编码{limit_arms, ints}(arms_limit,array)",备注
21600001,HP1,HP上限+3,,0,21600002,7,1,21510013,"[{type:2,param:41050001,value:-10},{type:2,param:41020007,value:-100},{type:2,param:41020008,value:-20}]","[{type:2,param:41050001,value:-50},{type:2,param:41020007,value:-200},{type:2,param:41020008,value:-60}]",2,{},{22201101},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600002,HP2,HP上限+4,,21600001,21600003,7,1,21510014,[],"[{type:2,param:41050001,value:-100},{type:2,param:41020007,value:-1000},{type:2,param:41020008,value:-400}]",2,{},{22201102},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600003,HP3,HP上限+5,,21600002,0,7,1,21510015,[],[],2,{},{22201103},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600004,锻炼之证·HP1,HP上限+3,,0,21600005,7,1,0,[],"[{type:2,param:41050001,value:-50},{type:2,param:41020007,value:-200},{type:2,param:41020008,value:-60}]",2,{},{22201101},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600005,锻炼之证·HP2,HP上限+4,,21600004,21600006,7,1,0,[],"[{type:2,param:41050001,value:-100},{type:2,param:41020007,value:-1000},{type:2,param:41020008,value:-400}]",2,{},{22201102},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600006,锻炼之证·HP3,HP上限+5,,21600005,0,7,1,0,[],[],2,{},{22201103},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600007,第1迷宫的霸王1,HP上限+3,,0,21600008,7,1,0,[],"[{type:2,param:41050001,value:-50},{type:2,param:41020007,value:-200},{type:2,param:41020008,value:-60}]",2,{},{22201101},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600008,第1迷宫的霸王2,HP上限+4,,21600007,21600009,7,1,0,[],"[{type:2,param:41050001,value:-100},{type:2,param:41020007,value:-1000},{type:2,param:41020008,value:-400}]",2,{},{22201102},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600009,第1迷宫的霸王3,HP上限+5,,21600008,0,7,1,0,[],[],2,{},{22201103},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
21600010,第6迷宫的霸王1,HP上限+3,,0,21600011,7,1,0,[],"[{type:2,param:41050001,value:-50},{type:2,param:41020007,value:-200},{type:2,param:41020008,value:-60}]",2,{},{22201101},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",0
