"技能id{id,int}(id,number)","技能名称(name,string)","技能描述(description,string)","前置技能1{pre_1_id,int}(pre_skill_1,number)","前置技能2{pre_2_id,int}(pre_skill_2,number)","技能图标(icon,string)","奥义类型{aoyi_type,int}(special_type,number)","技能类型{type,int}(type,number)","奥义CD上限{max_cd,int}(max_cd,number)","开启SP消耗{need_sp,int}(sp_cost,number)","效果目标1{effect_1_targets, int}(target_1,number)","效果条件组1{effect_1_conditions, ints}(condition_1,array)","效果id组1{effects_1,ints}(buff_id_1,array)","效果触发点组1{effect_1_trigger_points,ints}(trigger_1,array)","效果生效点组1{effect_1_take_effects, ints}(execute_1,array)","持续类型组1(continue_1,array){continue_1,ints}","效果目标2{effect_2_targets, int}(target_2,number)","效果条件组2{effect_2_conditions, ints}(condition_2,array)","效果id组2{effects_2,ints}(buff_id_2,array)","效果触发点组2{effect_2_trigger_points,ints}(trigger_2,array)","效果生效点组2{effect_2_take_effects, ints}(execute_2,array)","持续类型组2(continue_2,array){continue_2,ints}","效果目标3{effect_3_targets, int}(target_3,number)","效果条件组3{effect_3_conditions, ints}(condition_3,array)","效果id组3{effects_3,ints}(buff_id_3,array)","效果触发点组3{effect_3_trigger_points,ints}(trigger_3,array)","效果生效点组3{effect_3_take_effects, ints}(execute_3,array)","持续类型组3(continue_3,array){continue_3,ints}","装备颜色&武器编码组{limit_weapons, ints}(career_limit,array)","装备兵种编码{limit_arms, ints}(arms_limit,array)",备注
21310001,星影,给予1.5倍的伤害,0,0,,1,3,3,100,1,{},{22219001},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21310002,凶星,给予1.5倍的伤害,21310001,0,,1,3,2,200,1,{},{22219001},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21310003,流星,给予2.5倍的伤害,21310001,0,,1,3,4,200,1,{},{22219002},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21310004,卧龙,额外造成攻击30%的伤害,0,0,,1,3,4,100,1,{},{22218002},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21310005,龙裂,额外造成攻击30%的伤害,21310004,0,,1,3,3,200,1,{},{22218002},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21310006,龙穿,额外造成攻击50%的伤害,21310004,0,,1,3,4,200,1,{},{22218003},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21310007,剑姬的流星,额外造成速度40%的伤害,0,0,,1,3,2,500,1,{},{22218004},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",限本人
21310008,萤火,额外造成防守50%的伤害,0,0,,1,3,4,100,1,{},{22218006},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21310009,绯炎,额外造成防守50%的伤害,21310008,0,,1,3,3,200,1,{},{22218006},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
21310010,华炎,额外造成防守80%的伤害,21310008,0,,1,3,4,200,1,{},{22218007},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28}","{1,2,3,4}",非杖
