"技能id{id,int}(id,number)","技能名称(name,string)","技能描述(description,string)","前置技能1{pre_1_id,int}(pre_skill_1,number)","前置技能2{pre_2_id,int}(pre_skill_2,number)","技能图标(icon,string)","射程{range,int}(range,number)","辅助类型{aid_type,int}(aid_type,number)","技能类型{type,int}(type,number)","开启SP消耗{need_sp,int}(sp_cost,number)","效果目标1{effect_1_targets, int}(target_1,number)","效果条件组1{effect_1_conditions, ints}(condition_1,array)","效果id组1{effects_1,ints}(buff_id_1,array)","效果触发点组1{effect_1_trigger_points,ints}(trigger_1,array)","效果生效点组1{effect_1_take_effects, ints}(execute_1,array)","持续类型组1(continue_1,array){continue_1,ints}","效果目标2{effect_2_targets, int}(target_2,number)","效果条件组2{effect_2_conditions, ints}(condition_2,array)","效果id组2{effects_2,ints}(buff_id_2,array)","效果触发点组2{effect_2_trigger_points,ints}(trigger_2,array)","效果生效点组2{effect_2_take_effects, ints}(execute_2,array)","持续类型组2(continue_2,array){continue_2,ints}","效果目标3{effect_3_targets, int}(target_3,number)","效果条件组3{effect_3_conditions, ints}(condition_3,array)","效果id组3{effects_3,ints}(buff_id_3,array)","效果触发点组3{effect_3_trigger_points,ints}(trigger_3,array)","效果生效点组3{effect_3_take_effects, ints}(execute_3,array)","持续类型组3(continue_3,array){continue_3,ints}","装备颜色&武器编码组{limit_weapons, ints}(career_limit,array)","装备兵种编码{limit_arms, ints}(arms_limit,array)",备注
21408001,起舞,让指定目标进入可行动的状态，无法使用在拥有【歌唱】、【起舞】的目标上,0,0,0,1,8,2,150,1,{},{22227001},{26},{26},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21408002,歌唱,让指定目标进入可行动的状态，无法使用在拥有【歌唱】、【起舞】的目标上,0,0,0,1,8,2,150,1,{},{22227001},{26},{26},{1},0,{},{},{},{},{},0,{},{},{},{},{},{999},"{1,2,3,4}",
21409001,攻击支援,指定目标的攻击+4,0,0,0,1,9,2,150,1,{},{22201324},{26},{26},{2},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21409002,攻击速度支援,指定目标的攻击及速度+3,21409005,21409001,0,1,9,2,300,1,{},"{22201323,22201419}","{26,26}","{26,26}","{2,2}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21409003,攻击防守支援,指定目标的攻击及防守+3,21409008,21409001,0,1,9,2,300,1,{},"{22201323,22201419}","{26,26}","{26,26}","{2,2}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21409004,攻击魔防支援,指定目标的攻击魔防+3,21409010,21409001,0,1,9,2,300,1,{},"{22201323,22201521}","{26,26}","{26,26}","{2,2}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21409005,速度支援,指定目标的速度+4,0,0,0,1,9,2,150,1,{},{22201420},{26},{26},{2},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21409006,速度防守支援,指定目标的速度防守+3,21409008,21409005,0,1,9,2,300,1,{},"{22201419,22201521}","{26,26}","{26,26}","{2,2}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21409007,速度魔防支援,指定目标的速度魔防+3,21409010,21409005,0,1,9,2,300,1,{},"{22201419,22201621}","{26,26}","{26,26}","{2,2}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21409008,防守支援,指定目标的防守+4,0,0,0,1,9,2,150,1,{},{22201522},{26},{26},{2},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
21409009,防守魔防支援,指定目标的防守魔防+3,21409010,21409008,0,1,9,2,300,1,{},"{22201521,22201621}","{26,26}","{26,26}","{2,2}",0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}","{1,2,3,4}",
