"技能id{id,int}(id,number)","技能名称(name,string)","技能描述(description,string)","前置技能1{pre_1_id,int}(pre_skill_1,number)","前置技能2{pre_2_id,int}(pre_skill_2,number)","技能图标(icon,string)","威力{power,int}(power,number)","射程{range,int}(range,number)","武器类型{weapon_type,int}(weapon_type,number)","技能类型{type,int}(type,number)","开启SP消耗{need_sp,int}(sp_cost,number)","武器克制组{weapon_counters,ints}(weak_weapon,array)","兵种克制组{arms_counters,ints}(weak_arms,array)","攻击次数{attack_times,int}(attack_times,number)","效果目标1{effect_1_targets, int}(target_1,number)","效果条件组1{effect_1_conditions, ints}(condition_1,array)","效果id组1{effects_1,ints}(buff_id_1,array)","效果触发点组1{effect_1_trigger_points,ints}(trigger_1,array)","效果生效点组1{effect_1_take_effects, ints}(execute_1,array)","持续类型组1(continue_1,array){continue_1,ints}","效果目标2{effect_2_targets, int}(target_2,number)","效果条件组2{effect_2_conditions, ints}(condition_2,array)","效果id组2{effects_2,ints}(buff_id_2,array)","效果触发点组2{effect_2_trigger_points,ints}(trigger_2,array)","效果生效点组2{effect_2_take_effects, ints}(execute_2,array)","持续类型组2(continue_2,array){continue_2,ints}","效果目标3{effect_3_targets, int}(target_3,number)","效果条件组3{effect_3_conditions, ints}(condition_3,array)","效果id组3{effects_3,ints}(buff_id_3,array)","效果触发点组3{effect_3_trigger_points,ints}(trigger_3,array)","效果生效点组3{effect_3_take_effects, ints}(execute_3,array)","持续类型组3(continue_3,array){continue_3,ints}","装备颜色&武器编码组{limit_weapons, ints}(career_limit,array)","装备兵种编码{limit_arms, ints}(arms_limit,array)",备注
21110001,铁剑,,0,0,,6,1,1,1,50,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110002,钢剑,,21110001,0,,8,1,1,1,100,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110003,银剑,,21110002,0,,11,1,1,1,200,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110004,银剑+,,21110004,0,,15,1,1,1,300,{},{},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110005,勇者之剑,由自己发动攻击时，攻击2次 速度-5,21110002,0,,5,1,1,1,200,{},{},1,2,{22101001},{22213101},{23},{23},{1},2,{},{22201414},{1},{1},{1},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110006,勇者之剑+,由自己发动攻击时，攻击2次 速度-5,21110005,0,,8,1,1,1,300,{},{},1,2,{22101001},{22213101},{23},{23},{1},2,{},{22201414},{1},{1},{1},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110007,必杀剑,容易发动奥义（发动计量-1）,21110002,0,,7,1,1,1,200,{},{},1,2,{},{22202001},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110008,必杀剑+,容易发动奥义（发动计量-1）,21110007,0,,11,1,1,1,300,{},{},1,2,{},{22202001},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110009,必杀剑锻,容易发动奥义（发动计量-1）,21110002,0,,10,1,1,1,200,{},{},1,2,{},{22202001},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110010,必杀剑锻+,容易发动奥义（发动计量-1）,21110009,0,,14,1,1,1,300,{},{},1,2,{},{22202001},{1},{1},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110011,倭刀,发动奥义时，奥义造成伤害+10,21110002,0,,9,1,1,1,200,{},{},1,1,{},{22217013},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110012,倭刀+,发动奥义时，奥义造成伤害+10,21110011,0,,13,1,1,1,300,{},{},1,1,{},{22217013},{23},{27},{1},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110013,破甲剑,克制重装,21110002,0,,8,1,1,1,200,{},{2},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
21110014,破甲剑+,克制重装,21110013,0,,12,1,1,1,300,{},{2},1,0,{},{},{},{},{},0,{},{},{},{},{},0,{},{},{},{},{},"{1,2,3,4}","{1,2,3,4}",
