"id(idx)","广告图(str,p)","广告(str,d)",
51100001,pj_02,香醇，自然，法国葡萄酒。,
51100002,pj_02,来自法国的浪漫，期待您的品尝!,
51100003,pj_02,源自法国品质保证，价美亲民与君共享。,
51100004,pj_02,法国波尔多的浪漫与您分享!,
51100005,pj_02,醇香味美，天下共享。,
51100006,pj_02,来自波尔多的原料，法国精良的物流，我们诚信的服务。,
51100007,pj_02,积淀醇厚，分享品质!,
51100008,pj_02,香醇葡萄酒，我们记忆的自然味道。,
51100009,pj_02,原装红酒，高贵不贵!,
51100010,pj_02,专业的团体，一流的品质，最好的美酒。,
51100011,pj_02,好葡萄酿造好酒，来自波尔多的醇正。,
51100012,pj_02,品味葡萄美酒，就是这么简单!,
51100013,pj_02,浪漫葡萄酒，品味波尔多。,
51100014,pj_02,波尔原装，价低高档。,
51100015,pj_02,法国红酒醉全球 专业采购尽风流。,
51100016,pj_02,精选进口法兰西宫廷宴酒，纯正，醇香!,
51100017,pj_02,传承法国，保真佳酿。,
51100018,pj_02,优质的葡萄酒不仅只进口，而且会出口。,
51100019,pj_02,源自法国，销往全球。,
51100020,pj_02,您值得信赖的葡萄酒进口商。,
51100021,pj_02,法国尊享，定位全球。,
