"编号{id,int}(idx)","等级{level,int}(num,lv)","经验消耗{cost,int}(num,xh)","增加的书籍等级{bookLvs,json_intmap}(json,blv)",
51000001,1,3683,{20510101:1},
51000002,2,6629,{20520101:1},
51000003,3,15468,{20530101:1},
51000004,4,29462,{20540101:1},
51000005,5,44194,{20510101:1},
51000006,6,58925,{20520101:1},
51000007,7,73656,{20530101:1},
51000008,8,114167,{20540101:1},
51000009,9,154678,{20510201:1},
51000010,10,235699,{20520201:1},
51000011,11,7366,{20510101:1},
51000012,12,13258,{20520101:1},
51000013,13,30963,{20530101:1},
51000014,14,58924,{20540101:1},
51000015,15,88388,{20510101:1},
51000016,16,117850,{20520101:1},
51000017,17,147312,{20530101:1},
51000018,18,228334,{20540101:1},
51000019,19,309356,{20530201:1},
51000020,20,471398,{20540201:1},
51000021,21,14732,{20510101:1},
51000022,22,26516,{20520101:1},
51000023,23,61871,{20530101:1},
51000024,24,117850,{20540101:1},
51000025,25,176774,{20510101:1},
51000026,26,235699,{20520101:1},
51000027,27,294624,{20530101:1},
51000028,28,456667,{20540101:1},
51000029,29,618710,{20510301:1},
51000030,30,942797,{20520301:1},
51000031,31,29462,{20510101:1},
51000032,32,53032,{20520101:1},
51000033,33,123742,{20530101:1},
51000034,34,235699,{20540101:1},
51000035,35,353549,{20510101:1},
51000036,36,471398,{20520101:1},
51000037,37,589248,{20530101:1},
51000038,38,913334,{20540101:1},
51000039,39,1237421,{20530302:1},
51000040,40,1885594,{20540302:1},
51000041,41,58925,{20510101:1},
51000042,42,106065,{20520101:1},
51000043,43,247484,{20530101:1},
51000044,44,471398,{20540101:1},
51000045,45,707098,{20510101:1},
51000046,46,942796,{20520101:1},
51000047,47,1178496,{20530101:1},
51000048,48,1826668,{20540101:1},
51000049,49,2474842,{20510404:1},
51000050,50,3771188,{20520402:1},
51000051,51,117850,{20510101:1},
51000052,52,212130,{20520101:1},
51000053,53,494968,{20530101:1},
51000054,54,942796,{20540101:1},
51000055,55,1414196,{20510101:1},
51000056,56,1885592,{20520101:1},
51000057,57,2356992,{20530101:1},
51000058,58,3653336,{20540101:1},
51000059,59,4949684,{20530402:1},
51000060,60,7542376,{20540403:1},
51000061,61,235700,{20510201:1},
51000062,62,424260,{20520201:1},
51000063,63,989936,{20530201:1},
51000064,64,1885592,{20540201:1},
51000065,65,2828392,{20510201:1},
51000066,66,3771184,{20520201:1},
51000067,67,4713984,{20530201:1},
51000068,68,7306672,{20540201:1},
51000069,69,9899368,{20510301:1},
51000070,70,15084752,{20520301:1},
51000071,71,471400,{20510201:1},
51000072,72,848520,{20520201:1},
51000073,73,1979872,{20530201:1},
51000074,74,3771184,{20540201:1},
51000075,75,5656784,{20510201:1},
51000076,76,7542368,{20520201:1},
51000077,77,9427968,{20530201:1},
51000078,78,14613344,{20540201:1},
51000079,79,19798736,{20530302:1},
51000080,80,30169504,{20540302:1},
51000081,81,942800,{20510201:1},
51000082,82,1697040,{20520201:1},
51000083,83,3959744,{20530201:1},
51000084,84,7542368,{20540201:1},
51000085,85,11313568,{20510201:1},
51000086,86,15084736,{20520201:1},
51000087,87,18855936,{20530201:1},
51000088,88,29226688,{20540201:1},
51000089,89,39597472,{20510404:1},
51000090,90,60339008,{20520402:1},
51000091,91,1885600,{20510201:1},
51000092,92,3394080,{20520201:1},
51000093,93,7919488,{20530201:1},
51000094,94,15084736,{20540201:1},
51000095,95,22627136,{20510201:1},
51000096,96,30169472,{20520201:1},
51000097,97,37711872,{20530201:1},
51000098,98,58453376,{20540201:1},
51000099,99,79194944,{20530402:1},
51000100,100,120678016,{20540403:1},
