"ID{id,int}(idx)","遮罩(num,shadow)","背景资源(funcs,bg)","名字(funcs,name)","文本组(funcs,texts)","半身像组(funcs,hbgroop)","选择项(num,choose)","选择文本组(funcs,cts)","对应跳转(funcs,icids)","文本动画(num,ta)","半身像位置(num,side)","动画资源(str,ani)","手机震动(num,shockp)","屏幕震动(num,shock)","特效(funcs,eff)","音乐(str,music)","音效(funcs,sound)","文本显示位置(num,tside)","中间的提示文字(str,tips)","是否点击(num,click)","剧情UI(num,cui)","背景动画（num,bgan)","是否保存(num,save)",
89200001,1,"{""bg_1""}",,"{""你外出谈完了生意，走在回家的路上。"",""你看见两边昏黄的路灯，才发觉时间已到晚上。"",""生活的压力让你透不过气，但一想到相恋多年的女友雯雯，便有了坚持的动力。""}",,,,"{""89200002""}",1,,,,,,,,0,,0,,,,
89200002,0,"{""bg_2"",""bg_1""}","{""我""}","{""明天有位重要的客户，如果拿下，我的工资肯定会涨!""}",,,,"{""89200003""}",1,,,,,,,,1,,1,,3,,
89200003,0,"{""bg_2""}","{""我"",""我"",""我""}","{""这···这不是雯雯吗！"",""她的包是我上周才买的，一定不会错！"",""可她不是说跟闺蜜去美国旅游了吗？""}",,,,"{""89200004""}",2,1,,,,,,,1,,1,,,,
89200004,0,"{""bg_2""}",,"{""我现在该怎么做？""}",,2,"{""给她发微信"",""上前质问""}","{""89200005"",""89200007""}",0,1,,,,,,,1,,2,0,,,
89200005,0,"{""bg_3""}",,,,,,"{""89200006""}",,,,,,,,,,,1,,3,,
89200006,0,"{""bg_3""}","{""我"",""我"",""我"",""我""}","{""为什么？她居然背叛我！"",""五年了，五年啊！"",""是啊，我没有豪车，也没有豪宅。"",""在物质面前，真心根本就不值钱，不值钱！""}",,,,"{""89200012""}",2,1,,,,,,,1,,1,,,,
89200007,0,"{""bg_4""}","{""我"",""女"",""我"",""女""}","{""你不是说去美国了吗？"",""我···不是···没有···"",""这人是谁！（拽住雯雯的手臂）"",""疼！你放手！（挣扎）""}","{""man2"",""man3""}",,,"{""89200008""}",2,2,,,,,,,1,,1,,,,
89200008,0,"{""bg_4""}","{""男"",""我"",""男""}","{""把你的脏手拿开！别碰我的女人！"",""我俩说话，关你屁事！"",""小杂碎，找死！""}","{""man3"",""man2""}",,,"{""89200009""}",2,2,,,,,,,1,,1,,,,
89200009,0,"{""bg_4"",""quan""}",,,,,,"{""89200010""}",,,,1,1,,,,,,1,,1,,
89200010,0,"{""bg_4""}","{""我""}","{""……（脑子嗡嗡作响，疼痛让我无法出声）""}",,,,"{""89200011""}",1,1,,,,,,,1,,1,,,,
89200011,0,"{""bg_4""}","{""男"",""男""}","{""就你这怂样？离雯雯远点！"",""不然见你一次打一次！""}",,,,"{""89200006""}",2,2,,,,,,,,,1,,,,
89200012,0,"{""bg_jq5""}",,,,,,"{""89200013""}",,,,,,,,,,第二天中午,1,,,,
89200013,0,"{""bg_jq5""}",,,,2,"{""拒绝"",""接听""}","{""89200014"",""89200017""}",,,,,,,,,,,2,1,,,
89200014,0,"{""bg_jq5""}",,"{""你感到有些不安，下意识拒绝了张秘书的来电。她这次电话多半是为了…"",""""}",,,,"{""89200015""}",2,,,,,,,,0,,1,,,,
89200015,0,"{""bg_jq5""}",,"{""你感到有些不安，下意识拒绝了张秘书的来电。她这次电话多半是为了…"",""""}",,,,"{""89200016""}",0,,,1,,,,,0,,1,,,,
89200016,0,"{""bg_jq5""}",,"{""糟糕，我忘了去见客户！"",""公司花了一个月时间才约到他，却被我搞砸了。"",""想想还有什么补救措施…总之，我得赶紧去见周总！"",""她这次电话多半是为了…""}",,,,"{""89200017""}",1,,,,,,,,0,,1,,,,
89200017,0,"{""bg_jq6"",""bg_jq5""}","{""张姐"",""我""}","{""周总非常生气，他让你马上过去。你小心点儿！"",""谢谢张姐，我这就过来。""}",,,,"{""89200018""}",1,,,,,,,,0,,1,,3,,
89200018,0,"{""bg_jq7"",""bg_jq6""}",,,,,,"{""89200019""}",,,,,,,,,,,1,,3,,
89200019,0,"{""bg_jq8"",""bg_jq7""}",,,,,,"{""89200020""}",,,,,,,,,,,1,,3,,
89200020,0,"{""g_jq8""}","{""老板""}","{""你死哪去了！你这个废物！一百万多打了水漂，你就是个蛀虫！""}",,,,"{""89200021""}",1,,,,1,,,,1,周总办公室,1,,,,
89200021,0,"{""g_jq8""}","{""老板""}","{""亏我对你还算信任，狗都不如的垃圾！""}",,,,"{""89200022""}",1,,,,1,,,,1,周总办公室,1,,,,
89200022,0,"{""g_jq8""}","{""老板""}","{""没能力的怂蛋，你连扫厕所都没资格！""}",,,,"{""89200023""}",1,,,,1,,,,1,周总办公室,1,,,,
