"ID{id,int}(idx)","序号{index,int}(num,xh)","名称(str,n)","头像(str,tx)","血量{bossLf,long}(num,h)","宝箱奖励{prizeId,int}","权重奖励{weightPrize,int}","积分奖励{scorePrize,int}","金币奖励系数{moneyRatio,int}","文字描述1",
56100001,1,第1波,10031201,200110,30152001,89700006,3,200,156100001,
56100002,2,第2波,10031209,450310,30152001,89700006,6,220,156100002,
56100003,3,第3波,10031203,800680,30152001,89700006,12,240,156100003,
56100004,4,第4波,10031207,1251300,30152001,89700006,16,260,156100004,
56100005,5,第5波,10031204,1801800,30152001,89700006,20,300,156100005,
56100006,6,第6波,10031208,2452500,30152001,89700006,22,340,156100006,
56100007,7,第7波,10031203,3203900,30152001,89700006,25,400,156100007,
56100008,8,第8波,10031205,4055700,30152001,89700006,30,480,156100008,
56100009,9,第9波,10031202,5008000,30152001,89700006,35,600,156100009,
56100010,10,第10波,10031204,6616900,30152001,89700006,40,800,156100010,
56100011,11,第11波,10031203,8426000,30152001,89700006,45,1200,156100011,
56100012,12,第12波,10031208,11238000,30152001,89700006,50,2400,156100012,
56100013,13,第13波,10031209,20000000,30152001,89700006,50,2400,156100013,
56100014,14,第14波,10031203,50000000,30152001,89700006,50,2400,156100014,
56100015,15,第15波,10031202,100000000,30152001,89700006,50,2400,156100015,
56100016,16,第16波,10031209,200000000,30152001,89700006,50,2400,156100016,
56100017,17,第17波,10031203,400000000,30152001,89700006,50,2400,156100017,
56100018,18,第18波,10031208,600000000,30152001,89700006,50,2400,156100018,
56100019,19,第19波,10031206,800000000,30152001,89700006,50,2400,156100019,
56100020,20,第20波,10031210,1000000000,30152001,89700006,50,2400,156100020,
