"编号{id,int}(idx)","关卡名(str,pname)","关卡节点名(str,name)","描述(str,desc)","章节{chapter,int}(num,zj)","部分{part,int}(num,gk)","序号{ix,int}(num,zdjd)","头像(str,h1)","方头像(str,h2)","半身像(str,hf)","名字(str,bossn)","简介(str,bossd)","背景图(str,bg)","传单颜色(num,bColor)","战斗配置(num,fCfg)","口才{eqen,long}(num,kc)","实力{chance,long}(num,sl)","参数1{param1,long}","参数2{param2,long}","是否boss{boss,bool}(str,boss)","奖励{prize,json_funcs}(json,jl)","文字描述1","文字描述2",
40000111,1章1关,1章1关1点,1章1关1点描述,1,1,0,,,,,,,3,40200009,80,800,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000111,240000111,
40000112,1章1关,1章1关2点,1章1关2点描述,1,1,1,,,,,,,1,40200009,82,808,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000112,240000112,
40000113,1章1关,1章1关3点,1章1关3点描述,1,1,2,,,,,,,2,40200001,84,816,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000113,240000113,
40000114,1章1关,1章1关4点,1章1关4点描述,1,1,3,,,,,,,1,40200001,85,824,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000114,240000114,
40000115,1章1关,1章1关5点,1章1关5点描述,1,1,4,,,,,,,2,40200005,87,832,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000115,240000115,
40000116,1章1关,1章1关6点,1章1关6点描述,1,1,5,,,,,,,3,40200005,89,848,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000116,240000116,
40000117,1章1关,1章1关7点,1章1关7点描述,1,1,6,,,,,,,1,40200007,92,864,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000117,240000117,
40000118,1章1关,1章1关8点,1章1关8点描述,1,1,7,,,,,,,2,40200007,95,880,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5},{type:11,param:30130011,value:1}]",140000118,240000118,
40000121,1章2关,1章2关1点,1章2关1点描述,1,2,0,,,,,,,2,40200003,101,1000,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000121,240000121,
40000122,1章2关,1章2关2点,1章2关2点描述,1,2,1,,,,,,,3,40200003,103,1010,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000122,240000122,
40000123,1章2关,1章2关3点,1章2关3点描述,1,2,2,,,,,,,2,40200009,105,1020,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000123,240000123,
40000124,1章2关,1章2关4点,1章2关4点描述,1,2,3,,,,,,,1,40200009,107,1030,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000124,240000124,
40000125,1章2关,1章2关5点,1章2关5点描述,1,2,4,,,,,,,2,40200006,109,1040,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000125,240000125,
40000126,1章2关,1章2关6点,1章2关6点描述,1,2,5,,,,,,,3,40200006,112,1060,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000126,240000126,
40000127,1章2关,1章2关7点,1章2关7点描述,1,2,6,,,,,,,2,40200009,115,1080,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000127,240000127,
40000128,1章2关,1章2关8点,1章2关8点描述,1,2,7,,,,,,,1,40200009,118,1100,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5},{type:11,param:30130011,value:1}]",140000128,240000128,
40000131,1章3关,1章3关1点,1章3关1点描述,1,3,0,,,,,,,3,40200008,131,1300,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000131,240000131,
40000132,1章3关,1章3关2点,1章3关2点描述,1,3,1,,,,,,,1,40200008,133,1313,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000132,240000132,
40000133,1章3关,1章3关3点,1章3关3点描述,1,3,2,,,,,,,3,40200006,136,1326,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000133,240000133,
40000134,1章3关,1章3关4点,1章3关4点描述,1,3,3,,,,,,,1,40200006,139,1339,10000,400,false,"[{type:4,param:80400001,value:1146},{type:10,param:0,value:5}]",140000134,240000134,
