"ID{id,int}(idx)","名称(str,n)","描述(str,d)","称号等级{level,int}(num,lv)","称号持续时间{duration,int}(num,t)","大图标(str,p1)","小图标(str,p2)","是否显示在栏目(num,off)","文字描述1","文字描述2",
54000001,江湖大佬,《江湖大佬认证书》,18,43200,10042401,10042301,1,154000001,254000001,
54000002,金融大亨,《金融大亨认证书》,17,43200,10042402,10042302,1,154000002,254000002,
54000003,创业天才,《创业天才认证书》,16,43200,10042403,10042303,1,154000003,254000003,
54000004,国民男神,《国民男神认证书》,15,43200,10042404,10042304,1,154000004,254000004,
54000005,社交达人,《社交达人认证书》,14,43200,10042405,10042305,1,154000005,254000005,
54000006,谈判高手,《谈判高手认证书》,13,43200,10042406,10042306,1,154000006,254000006,
54000007,K歌之王,《K歌之王认证书》,12,43200,10042407,10042307,1,154000007,254000007,
54000008,商界领袖,《商界领袖认证书》,11,43200,10042408,10042308,0,154000008,254000008,
54000009,商界精英,《商界精英认证书》,10,43200,10042409,10042309,0,154000009,254000009,
54000010,职场领袖,《职场领袖认证书》,9,43200,10042410,10042310,0,154000010,254000010,
54000011,职场精英,《职场精英认证书》,8,43200,10042411,10042311,0,154000011,254000011,
54000012,交际领袖,《交际领袖认证书》,7,43200,10042412,10042312,0,154000012,254000012,
54000013,交际精英,《交际精英认证书》,6,43200,10042413,10042313,0,154000013,254000013,
54000014,情场领袖,《情场领袖认证书》,5,43200,10042414,10042314,0,154000014,254000014,
54000015,情场精英,《情场精英认证书》,4,43200,10042415,10042315,0,154000015,254000015,
54000016,全球首富,《全球首富认证书》,3,43200,10042416,10042316,0,154000016,254000016,
54000017,情场圣手,《情场圣手认证书》,2,43200,10042417,10042317,0,154000017,254000017,
54000018,公关大师,《公关大师认证书》,1,43200,10042418,10042318,0,154000018,254000018,
