"ID{id,int}(idx)","类型{type,int}","类型(num,t)","选择描述(str,chooseDes)","场景跳转图片(str,datePlace)","跳转剧情(num,plotId)","微信开场剧情(str,startDes)","微信开场描述(str,indexDes)","美女约会开场(funcs,beautyStartDes)","美女约会地点引用(funcs,beautyDatePlace)","剧情(funcs,plotDes)","正确选择项(num,rightChoose)","奖励1{prize1,json_funcs}","奖励2{prize2,json_funcs}","奖励3{prize3,json_funcs}","选项1下一段剧情{nextCid1,int}","选项2下一段剧情{nextCid2,int} ","选项3下一段剧情{nextCid3,int}","剧情开始标志(num,showtime)",
57000011,1,1,,,,今天好像撞到你了。（尴尬）,,,,"{{1,0,1,0,1,0},{{""没关系的，大厅人太多了嘛，的确比较容易撞到。"",""没事，反正你也不是故意的嘛！"",""不小心轻轻碰了一下而已，又不是什么大事。（呲牙）""},{""虽说是这个原因，但下次我还是得小心一点。（露齿笑）"",""嗯，我以后会注意的。（微笑）"",""你真大度。（愉快）""},{""我今天叫你了。你有听到吗？"",""在赌场的时候，你有听到背后有人叫你吗？""},{""啊，当时比较吵，我好像没听到。"",""是吗？我当时没注意到背后有人叫我。""},{""我还以为是我太冒失了，你不想理我呢！"",""原来是这样啊，我就说你怎么没回应我。""},{""怎么会不理你呢！（露齿笑）"",""哈哈，真的没听到嘛！（微笑）""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200001,value:1}]","[{type:42,param:20200001,value:1}]","[{type:42,param:20200001,value:1}]",0,0,0,1,
57000012,1,1,,,,谢谢你陪我一起收集素材。（愉快）,,,,"{{1,0,1,0,1,0},{{""哈哈，我也不想你这么清纯娇小的女生再被人撞倒嘛。"",""别客气，像你这样娇小的女生，就需要一个人在旁边保护你嘛。"",""谢什么，都是些寻常小事。我很乐意陪你一起做这些。""},{""也就你这么眼疾手快，一下就看到我摔倒了，还过来扶我。（露齿笑）"",""你是吃了蜜糖吗？怎么说话这么甜。"",""不愧是我的小学同学，人还是这么好。""},{""这么久没见了，你还好吗？"",""你现在怎么样，过得好不好？""},{""挺好的，做着我喜欢的职业。（愉快）"",""还行，也没有遇到什么比较糟心的事情。（微笑）""},{""嗯，那就好。"",""这样挺不错的。""},{""我觉得你现在也挺好的啊。（微笑）"",""你过得应该也不错吧！（呲牙）""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200001,value:1}]","[{type:42,param:20200001,value:1}]","[{type:42,param:20200001,value:1}]",0,0,0,1,
57000013,1,1,,,,今天心情真的不是很好呢。（悲伤）,,,,"{{1,0,1,0,1,0},{{""我理解，毕竟让你放弃自己喜欢的职业是很痛苦的事情。"",""没关系，只要你愿意，可随时来我的公司。"",""压力不要太大，要适当的放松自己。""},{""他们从来都不知道我想要什么，喜欢什么。"",""我再考虑一下吧，毕竟我还不想放弃自己喜欢的东西。"",""放松不了，爸妈对我的期望太高了。（沮丧）""},{""你一直都这么懂事，偶尔也任性一下吧！"",""像你这么善良清纯的人，是不应该有烦恼的。""},{""嗯，我觉得也是呢。"",""哈哈，你总能哄我开心。""},{""不过，你还是要和你爸妈好好沟通一下。"",""但是，你要跟你爸妈讨论一下，我相信他们能谅解的。""},{""嗯，我知道的。"",""但愿吧！""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200001,value:1}]","[{type:42,param:20200001,value:1}]","[{type:42,param:20200001,value:1}]",0,0,0,1,
57000014,2,1,,,,你平时看剧吗？,,,,"{{1,0,1,0,1,0},{{""事情比较多，所以不怎么看剧呢。"",""额~看的比较少吧！"",""看啊！挺喜欢的。""},{""有些剧挺不错的，你可以偶尔看看嘛！"",""嗯，毕竟你这么忙。"",""没想到你和我一样唉！（愉快）""},{""如果那个剧是你写的话，我想我很爱看。"",""只要那个剧有你参与写作，我可以反复看好几遍。""},{""是吗？我最近在写一个关于赌场的剧呢！"",""这样啊，那我一定要认真写。""},{""我很期待你的作品。（呲牙）"",""我可以第一个看吗？""},{""我不会让你失望的。（露齿笑）"",""可以哦！（微笑）""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200001,value:1}]","[{type:42,param:20200001,value:1}]","[{type:42,param:20200001,value:1}]",0,0,0,1,
57000015,2,1,,,,以前做同学的时候，你好像经常逗我呢！,,,,"{{1,0,1,0,1,0},{{""那个时候觉得你呆呆的，一副不谙世事的样子很招人喜欢。"",""因为我那时对你很有好感，并希望通过这样你能关注到我。"",""你纯洁的像个小兔子一样，我就忍不住很想逗你嘛！""},{""哪有呆呆的，明明很聪明好吧！（露齿笑）"",""原来你有这个小心思啊！（憨笑）"",""哼，你就是看我好欺负。（呲牙）""},{""这么多年过去了，你给我的感觉还是没变。"",""你还是我记忆中的模样。（微笑）""},{""那就好啊，不过是什么感觉呢？（疑惑）"",""你记忆中，我是什么模样啊？（疑惑）""},{""干净澄澈的如雨洗过的天空。"",""像只清纯的小兔子。""},{""居然是这样啊！（害羞）"",""哈哈，真有意思呢！（愉快）""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200001,value:1}]","[{type:42,param:20200001,value:1}]","[{type:42,param:20200001,value:1}]",0,0,0,1,
57000016,2,1,,,,我新写的剧就要出了。,,,,"{{1,0,1,0,1,0},{{""真的吗？我要去看。"",""我迫不及待的想要追剧了。"",""很好，我又有新的事情可做了。""},{""可以啊，首播就在后天呢！"",""恐怕还要等一两天哦！"",""哈哈，新剧不会让你失望的。""},{""这个就是你上次说的那个关于赌场的剧吗？"",""你在赌场收集的资料，对你这次写的剧很有帮助吧！""},{""是的，我呕心沥血的大制作呢！"",""对啊，果然亲自感受后，写出的效果很好呢！""},{""那我一定要狂刷好几遍。（奋斗）"",""这部剧成功的引起了我的注意。""},{""哈哈，不至于吧！（呲牙）"",""嗯，那真是太好了。（微笑）""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200001,value:1}]","[{type:42,param:20200001,value:1}]","[{type:42,param:20200001,value:1}]",0,0,0,1,
57000021,1,1,,,,初次见面，你好呀！（微笑）,,,,"{{1,0,1,0,1,0},{{""你就是今天在沙滩遇到的那个……"",""你今天走的急，我们都还没好好打招呼呢。"",""哇，没想到你会找我聊天。""},{""嗯呢，谢谢你帮我捡到头纱。"",""当时是因为有事嘛！"",""哈哈，不至于这么意外吧！""},{""当时遇到了什么事啊，走的那么急呢？"",""我希望下次还能再那个地方遇见你。""},{""其实也不是什么大事啦！"",""说不定会哦！""},{""你从我身边走过的时候好香啊。"",""你穿着婚纱，让我一下子就你注意到了你。""},{""哈哈，有吗？（微笑）"",""毕竟没有谁会无缘无故穿着婚纱到处跑嘛。""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200002,value:1}]","[{type:42,param:20200002,value:1}]","[{type:42,param:20200002,value:1}]",0,0,0,1,
57000022,1,1,,,,没想到我是个婚纱模特吧！,,,,"{{1,0,1,0,1,0},{{""确实有些意外。"",""我终于知道为什么第一次见你的时候，你穿着婚纱了。"",""你很有当模特的气质。""},{""哈哈，被惊讶到了吧！"",""你当时应该有很多疑惑吧！"",""这你都能看出来。（微笑）""},{""两次看到你穿婚纱，我还以为你重婚了呢！"",""你每天都能穿很好看的衣服，应该有很多女生羡慕你吧！""},{""才没有呢，就会胡思乱想。"",""可能吧，但当模特其实也很辛苦的。""},{""每次见你，你不会都碰巧穿着婚纱吧！"",""我很好奇你为心爱之人的穿的婚纱是什么样的。""},{""当然不会，前几次都是巧合啦！"",""以后你就找到了。""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200002,value:1}]","[{type:42,param:20200002,value:1}]","[{type:42,param:20200002,value:1}]",0,0,0,1,
57000023,1,1,,,,我昨天走在路上，看到一个人的背影，很像你~,,,,"{{1,0,1,0,1,0},{{""啊，我昨天在公司没出去呢。"",""你在外面做什么呢？"",""你是太想我了吧（抱抱）""},{""所以我认错人了嘛（尴尬）"",""我就随便看看首饰，有一件婚纱的搭配不满意呢。"",""好吧，我承认是有那么一点。""},{""下次我陪你逛街，带你去看看我特意为你准备的惊喜。"",""你知道吗？我有一个礼物要送给你。""},{""你第一次送给我的耳环就已经给过我惊喜了。（微笑）"",""好呀，我非常期待呢，就像第一次收到礼物那样。""},{""会有不一样的惊喜哦！"",""还会有更好的，你拭目以待吧。""},{""我好期待啊！"",""嗯嗯，好想知道是什么。""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200002,value:1}]","[{type:42,param:20200002,value:1}]","[{type:42,param:20200002,value:1}]",0,0,0,1,
57000024,2,1,,,,我马上就要去下一个地方拍照了。,,,,"{{1,0,1,0,1,0},{{""什么地方呀？"",""大约什么时候才会回来呢？"",""哈哈，你又要穿新的婚纱啦！""},{""也是在一个海边呢！"",""课可能要一段时间吧！"",""对啊，不过这次尼克看不到了哦！""},{""除了当婚纱模特，你还有其他爱好吗？"",""我想多了解你一下，你能跟我说说你的故事吗？""},{""有啊，我很喜欢设计衣服呢！"",""没什么特别的故事呢，不过我平时蛮喜欢设计东西的。""},{""下次给我看看你设计的东西呗！"",""没想到你还有这个爱好啊。""},{""好啊，设计好看了就给你看。"",""对啊，有没有很意外。（呲牙）""}},{1,1,1,1,1,1}}",1,"[{type:42,param:20200002,value:1}]","[{type:42,param:20200002,value:1}]","[{type:42,param:20200002,value:1}]",0,0,0,1,
