"ID{id,int}","»®÷ÿ≈‰÷√{items,str}",
89700001,1000|10;2000|5,
89700002,5000|5;2000|10;1400|50;800|100;500|200;200|500;100|1000,
89700003,1385|5;2923|6;2308|7;1692|8;1077|9;615|10,
89700004,672|10;1552|11;1414|12;1276|13;1138|14;1000|15;862|16;724|17;586|18;448|19;328|20,
89700005,3000|1;3700|5;1800|10;800|20;600|30;60|50;30|100;6|200;4|300,
89700006,800|30030007;800|30030005;800|30030006;600|30030004;200|30010002;200|30010003;200|30010004;200|30010005;6200|0,
89700007,3334|30021001;3333|30022001;3333|30023001,
89700008,3334|30021002;3333|30022002;3333|30023002,
89700009,3334|30021003;3333|30022003;3333|30023003,
89700010,2000|30200007;2000|30200012;2000|30200017;2000|30200022;2000|30041017,
89700011,2000|30200008;2000|30200013;2000|30200018;2000|30200023;4000|30041017,
89700012,2000|30200009;2000|30200014;2000|30200019;2000|30200024;2000|30041018,
89700013,2000|30011002;2000|30200010;2000|30200015;2000|30200020;2000|30200025;4000|30041018;6000|30021001;6000|30022001;6000|30023001,
89700014,2000|30011003;4000|30200010;4000|30200015;4000|30200020;4000|30200025;4000|30041019;6000|30021002;6000|30022002;6000|30023002,
89700015,2000|30011004;2000|30214111;2000|30214112;2000|30214113;2000|30214114;6000|30041019;6000|30021003;6000|30022003;6000|30023003,
89700016,2000|30011006;4000|30011005;4000|30214111;4000|30214112;4000|30214113;4000|30214114;6000|30041019;4000|30021004;4000|30022004;4000|30023004,
89700017,1667|30030004;3333|30200039;1667|30200040;3333|30200042;1667|30200043;2500|30030007;2500|30030005;2500|30030006;833|30041018,
89700018,1667|30200036;3333|30030001;2500|30030015;2500|30030016;1667|30030002;1667|30200027;833|30200031;0|30041019,
89700019,833|30200037;2500|30030016;2500|30030018;1667|30110013;833|30200028;833|30200032;833|30030021;833|30030020,
89700020,6000|30211100;3000|30211101;1000|30211102,
89700021,6000|30211101;3000|30211102;1000|30211103,
89700022,4000|30211104;2500|30211105;2000|30211106;1500|30211200,
89700023,3000|30211104;2000|30211105;2000|30211106;1500|30211201;1500|30211202,
89700024,6000|30212100;3000|30212101;1000|30212102,
89700025,6000|30212101;3000|30212102;1000|30212103,
89700026,4000|30212104;2500|30212105;2000|30212106;1500|30212107,
89700027,3000|30212104;2000|30212105;2000|30212106;1500|30212107;1500|30212108,
89700028,6000|30213100;3000|30213101;1000|30213102,
89700029,6000|30213101;3000|30213102;1000|30213103,
89700030,4000|30213103;2500|30213104;2000|30213105;1500|30213106,
89700031,3000|30213103;2000|30213104;2000|30213105;1500|30213106;1500|30030014,
89700032,6000|30210100;3000|30210101;1000|30210102,
89700033,6000|30210101;3000|30210102;1000|30210103,
89700034,4000|30210104;2500|30210105;2000|30210106;1500|30030012,
89700035,3000|30210104;2000|30210105;2000|30210106;1500|30030012;1500|30030013,
