"ID{id,int}(idx)","µÈ¼¶{level,int}(num,level)","ÏûºÄ{cost,int}(num,cost)",
21500001,1,0,
21500002,2,100,
21500003,3,159,
21500004,4,228,
21500005,5,310,
21500006,6,408,
21500007,7,525,
21500008,8,664,
21500009,9,828,
21500010,10,1020,
21500011,11,1243,
21500012,12,1500,
21500013,13,1794,
21500014,14,2128,
21500015,15,2505,
21500016,16,2928,
21500017,17,3400,
21500018,18,3924,
21500019,19,4503,
21500020,20,5140,
21500021,21,5838,
21500022,22,6600,
21500023,23,7429,
21500024,24,8328,
21500025,25,9300,
21500026,26,10348,
21500027,27,11475,
21500028,28,12684,
21500029,29,13978,
21500030,30,15360,
21500031,31,16833,
21500032,32,18400,
21500033,33,20064,
21500034,34,21828,
21500035,35,23695,
21500036,36,25668,
21500037,37,27750,
21500038,38,29944,
21500039,39,32253,
21500040,40,34680,
21500041,41,37228,
21500042,42,39900,
21500043,43,42699,
21500044,44,45628,
21500045,45,48690,
21500046,46,51888,
21500047,47,55225,
21500048,48,58704,
21500049,49,62328,
21500050,50,66100,
21500051,51,70023,
21500052,52,74100,
21500053,53,78334,
21500054,54,82728,
21500055,55,87285,
21500056,56,92008,
21500057,57,96900,
21500058,58,101964,
21500059,59,107203,
21500060,60,112620,
21500061,61,118218,
21500062,62,124000,
21500063,63,129969,
21500064,64,136128,
21500065,65,142480,
21500066,66,149028,
21500067,67,155775,
21500068,68,162724,
21500069,69,169878,
21500070,70,177240,
21500071,71,184813,
21500072,72,192600,
21500073,73,200604,
21500074,74,208828,
21500075,75,217275,
21500076,76,225948,
21500077,77,234850,
21500078,78,243984,
21500079,79,253353,
21500080,80,262960,
21500081,81,272808,
21500082,82,282900,
21500083,83,293239,
21500084,84,303828,
21500085,85,314670,
21500086,86,325768,
21500087,87,337125,
21500088,88,348744,
21500089,89,360628,
21500090,90,372780,
21500091,91,385203,
21500092,92,397900,
21500093,93,410874,
21500094,94,424128,
21500095,95,437665,
21500096,96,451488,
21500097,97,465600,
21500098,98,480004,
21500099,99,494703,
21500100,100,509700,
21500101,101,524998,
21500102,102,540600,
21500103,103,556509,
21500104,104,572728,
21500105,105,589260,
21500106,106,606108,
21500107,107,623275,
21500108,108,640764,
21500109,109,658578,
21500110,110,676720,
21500111,111,695193,
21500112,112,714000,
21500113,113,733144,
21500114,114,752628,
21500115,115,772455,
21500116,116,792628,
21500117,117,813150,
21500118,118,834024,
21500119,119,855253,
21500120,120,876840,
21500121,121,898788,
21500122,122,921100,
21500123,123,943779,
21500124,124,966828,
21500125,125,990250,
21500126,126,1014048,
21500127,127,1038225,
21500128,128,1062784,
21500129,129,1087728,
21500130,130,1113060,
21500131,131,1138783,
21500132,132,1164900,
21500133,133,1191414,
21500134,134,1218328,
21500135,135,1245645,
21500136,136,1273368,
21500137,137,1301500,
21500138,138,1330044,
21500139,139,1359003,
21500140,140,1388380,
21500141,141,1418178,
21500142,142,1448400,
21500143,143,1479049,
21500144,144,1510128,
21500145,145,1541640,
21500146,146,1573588,
21500147,147,1605975,
21500148,148,1638804,
21500149,149,1672078,
21500150,150,1705800,
21500151,151,1739973,
21500152,152,1774600,
21500153,153,1809684,
21500154,154,1845228,
21500155,155,1881235,
21500156,156,1917708,
21500157,157,1954650,
21500158,158,1992064,
21500159,159,2029953,
21500160,160,2068320,
21500161,161,2107168,
21500162,162,2146500,
21500163,163,2186319,
21500164,164,2226628,
21500165,165,2267430,
21500166,166,2308728,
21500167,167,2350525,
21500168,168,2392824,
21500169,169,2435628,
21500170,170,2478940,
21500171,171,2522763,
21500172,172,2567100,
21500173,173,2611954,
21500174,174,2657328,
21500175,175,2703225,
21500176,176,2749648,
21500177,177,2796600,
21500178,178,2844084,
21500179,179,2892103,
21500180,180,2940660,
21500181,181,2989758,
21500182,182,3039400,
21500183,183,3089589,
21500184,184,3140328,
21500185,185,3191620,
21500186,186,3243468,
21500187,187,3295875,
21500188,188,3348844,
21500189,189,3402378,
21500190,190,3456480,
21500191,191,3511153,
21500192,192,3566400,
21500193,193,3622224,
21500194,194,3678628,
21500195,195,3735615,
21500196,196,3793188,
21500197,197,3851350,
21500198,198,3910104,
21500199,199,3969453,
21500200,200,4029400,
21500201,201,4294445,
21500202,202,4566210,
21500203,203,4844787,
21500204,204,5130273,
21500205,205,5422762,
21500206,206,5722350,
21500207,207,6029133,
21500208,208,6343209,
21500209,209,6664675,
21500210,210,6993630,
21500211,211,7330171,
21500212,212,7674400,
21500213,213,8026415,
21500214,214,8386317,
21500215,215,8754208,
21500216,216,9130190,
21500217,217,9514365,
21500218,218,9906835,
21500219,219,10307705,
21500220,220,10717080,
21500221,221,11135062,
21500222,222,11561760,
21500223,223,11997277,
21500224,224,12441721,
21500225,225,12895200,
21500226,226,13357820,
21500227,227,13829691,
21500228,228,14310921,
21500229,229,14801621,
21500230,230,15301900,
21500231,231,15811869,
21500232,232,16331640,
21500233,233,16861324,
21500234,234,17401035,
21500235,235,17950886,
21500236,236,18510990,
21500237,237,19081462,
21500238,238,19662417,
21500239,239,20253971,
21500240,240,20856240,
21500241,241,21469340,
21500242,242,22093389,
21500243,243,22728506,
21500244,244,23374809,
21500245,245,24032417,
21500246,246,24701450,
21500247,247,25382028,
21500248,248,26074273,
21500249,249,26778306,
21500250,250,27494249,
21500251,251,28222226,
21500252,252,28962359,
21500253,253,29714774,
21500254,254,30479593,
21500255,255,31256943,
21500256,256,32046950,
21500257,257,32849739,
21500258,258,33665439,
21500259,259,34494176,
21500260,260,35336079,
21500261,261,36191277,
21500262,262,37059899,
21500263,263,37942076,
21500264,264,38837937,
21500265,265,39747614,
21500266,266,40671240,
21500267,267,41608946,
21500268,268,42560865,
21500269,269,43527132,
21500270,270,44507879,
21500271,271,45503244,
21500272,272,46513359,
21500273,273,47538363,
21500274,274,48578391,
21500275,275,49633581,
21500276,276,50704070,
21500277,277,51789997,
21500278,278,52891501,
21500279,279,54008722,
21500280,280,55141799,
21500281,281,56290875,
21500282,282,57456089,
21500283,283,58637585,
21500284,284,59835505,
21500285,285,61049992,
21500286,286,62281190,
21500287,287,63529243,
21500288,288,64794297,
21500289,289,66076497,
21500290,290,67375989,
21500291,291,68692921,
21500292,292,70027439,
21500293,293,71379693,
21500294,294,72749829,
21500295,295,74137998,
21500296,296,75544350,
21500297,297,76969034,
21500298,298,78412203,
21500299,299,79874007,
21500300,300,81354599,
21500301,301,82854132,
21500302,302,84372759,
21500303,303,85910635,
21500304,304,87467913,
21500305,305,89044749,
21500306,306,90641300,
21500307,307,92257721,
21500308,308,93894169,
21500309,309,95550803,
21500310,310,97227779,
21500311,311,98925259,
21500312,312,100643400,
21500313,313,102382362,
21500314,314,104142307,
21500315,315,105923396,
21500316,316,107725790,
21500317,317,109549652,
21500318,318,111395145,
21500319,319,113262433,
21500320,320,115151680,
21500321,321,117063050,
21500322,322,118996710,
21500323,323,120952824,
21500324,324,122931561,
21500325,325,124933087,
21500326,326,126957570,
21500327,327,129005178,
21500328,328,131076081,
21500329,329,133170448,
21500330,330,135288450,
21500331,331,137430256,
21500332,332,139596040,
21500333,333,141785972,
21500334,334,144000225,
21500335,335,146238973,
21500336,336,148502390,
21500337,337,150790650,
21500338,338,153103927,
21500339,339,155442398,
21500340,340,157806240,
21500341,341,160195627,
21500342,342,162610740,
21500343,343,165051754,
21500344,344,167518849,
21500345,345,170012205,
21500346,346,172532000,
21500347,347,175078416,
21500348,348,177651633,
21500349,349,180251834,
21500350,350,182879200,
21500351,351,185533914,
21500352,352,188216160,
21500353,353,190926121,
21500354,354,193663983,
21500355,355,196429931,
21500356,356,199224150,
21500357,357,202046827,
21500358,358,204898149,
21500359,359,207778304,
21500360,360,210687479,
21500361,361,213625865,
21500362,362,216593649,
21500363,363,219591023,
21500364,364,222618177,
21500365,365,225675302,
21500366,366,228762590,
21500367,367,231880233,
21500368,368,235028425,
21500369,369,238207359,
21500370,370,241417229,
21500371,371,244658231,
21500372,372,247930559,
21500373,373,251234411,
21500374,374,254569981,
21500375,375,257937468,
21500376,376,261337070,
21500377,377,264768984,
21500378,378,268233411,
21500379,379,271730549,
21500380,380,275260599,
21500381,381,278823762,
21500382,382,282420240,
21500383,383,286050233,
21500384,384,289713945,
21500385,385,293411580,
21500386,386,297143340,
21500387,387,300909431,
21500388,388,304710057,
21500389,389,308545425,
21500390,390,312415740,
21500391,391,316321209,
21500392,392,320262040,
21500393,393,324238440,
21500394,394,328250619,
21500395,395,332298786,
21500396,396,336383150,
21500397,397,340503922,
21500398,398,344661313,
21500399,399,348855535,
