"id(idx)","地名(str,n)","描述(str,d)","出现npc(fun,npc)","外部地点背景(fun,wd)","事件背景(fun,bj)","美女背景(fun,mv)","小插图(num,xp)","文字描述1","文字描述2",
50600001,海景别墅,,"{50700001,50700004}","{10011001,10011002,10011003,10011004,10011005,10011006}",{10011601},{10011601},10011221,150600001,250600001,
50600002,城市广场,,"{50700002,50700001}","{10011007,10011008,10011009,10011010,10011011,10011012,10011013}",{10011602},{10011602},10011222,150600002,250600002,
50600003,豪华游轮,,"{50700003,50700001}","{10011014,10011015,10011016,10011017,10011018,10011019}",{10011603},{10011603},10011223,150600003,250600003,
50600004,澳门赌场,,"{50700002,50700005}","{10011020,10011021,10011022,10011023,10011024,10011025}",{10011604},{10011604},10011224,150600004,250600004,
50600005,温泉,,"{50700003,50700002}","{10011026,10011027,10011028,10011029,10011030,10011031}",{10011605},{10011605},10011225,150600005,250600005,
50600006,名胜古迹,,"{50700001,50700002}","{10011032,10011033,10011034,10011035,10011036,10011037}",{10011606},{10011606},10011226,150600006,250600006,
50600007,潮流街区,,"{50700003,50700004}","{10011038,10011039,10011040,10011041,10011042,10011043}",{10011607},{10011607},10011227,150600007,250600007,
50600008,五星酒店,,"{50700002,50700003}","{10011044,10011045,10011046,10011047,10011048,10011049}",{10011608},{10011608},10011228,150600008,250600008,
50600009,咖啡馆,,"{50700001,50700003}","{10011050,10011051,10011052,10011053,10011054,10011055}",{10011609},{10011609},10011229,150600009,250600009,
50600010,薰衣草庄园,,{},"{10011056,10011057,10011058,10011059,10011060,10011061}",{10011610},{10011610},10011230,150600010,250600010,
50600011,阳光沙滩,,{},"{10011062,10011063,10011064,10011065,10011066,10011067}",{10011611},{10011611},10011231,150600011,250600011,
50600012,苏州园林,,{},"{10011068,10011069,10011070,10011071,10011072,10011073}",{10011612},{10011612},10011232,150600012,250600012,
50600013,夜总会,,{50700005},"{10011074,10011075,10011076,10011077,10011078,10011079}",{10011613},{10011613},10011233,150600013,250600013,
50600014,长城,,{},"{10011080,10011081,10011082,10011083,10011084,10011085}",{10011614},{10011614},10011234,150600014,250600014,
